,dec temp,habitual tendency,subject
0,0.6419922,2.7014341,0
1,2.2711728,7.17761,1
2,1.9210179,6.824891,2
3,3.2857542,1.0813593,3
4,0.71696377,1.3361495,4
5,1.9640429,6.1979127,5
6,2.1331913,4.283056,6
7,2.7493358,1.2546843,7
8,0.7811821,2.4217508,0
9,4.026286,1.756929,1
10,1.2150888,3.5702834,2
11,5.5375223,0.45634553,3
12,2.295349,0.50081104,4
13,1.8294216,4.7990494,5
14,2.8398583,2.8453386,6
15,1.6343905,3.245835,7
16,0.6721045,3.3459437,0
17,2.2692058,4.165559,1
18,0.7811434,5.197654,2
19,3.1465518,1.4551263,3
20,0.7919688,4.368113,4
21,2.3208413,7.419123,5
22,1.7306601,2.2036943,6
23,2.03937,3.1025257,7
24,1.4411526,0.46826896,0
25,1.9928247,7.7294273,1
26,0.38634327,4.8245993,2
27,4.9966846,0.633066,3
28,1.4921763,1.4204516,4
29,1.6061325,6.074865,5
30,1.1371913,1.6638244,6
31,2.302315,3.6376379,7
32,0.8419755,1.2077614,0
33,2.0692804,6.936851,1
34,1.1940594,4.6211405,2
35,3.7513094,2.252957,3
36,2.0677197,0.7280833,4
37,0.8459443,6.142411,5
38,2.330867,1.8697767,6
39,1.0589757,3.7639058,7
40,0.5895183,0.7844257,0
41,1.7559013,5.5583043,1
42,0.9917826,3.1289558,2
43,3.1291294,3.378355,3
44,0.849141,1.2994491,4
45,1.0343783,7.12301,5
46,1.2184912,1.0167661,6
47,1.5534196,2.4317636,7
48,0.98666203,1.5224869,0
49,1.6301575,1.9535619,1
50,1.31009,3.622146,2
51,3.195951,2.6029143,3
52,3.44029,0.6131495,4
53,1.3303221,6.3211226,5
54,1.3261367,3.2744172,6
55,3.7151291,0.6750941,7
56,0.39567873,2.2909884,0
57,2.484468,8.413096,1
58,0.6365131,1.933896,2
59,3.7453506,4.025857,3
60,1.4226389,1.2374392,4
61,1.715516,5.9714813,5
62,1.5189438,3.0536375,6
63,0.6876915,4.288421,7
64,0.47732997,1.2445955,0
65,1.5067768,8.759235,1
66,0.5695704,2.9702294,2
67,2.7313294,2.2331018,3
68,1.3116692,1.4368944,4
69,0.80472136,4.495673,5
70,1.036794,2.2148361,6
71,1.8485084,2.1380029,7
72,0.49005017,1.4586003,0
73,2.1146336,8.173868,1
74,1.2698222,1.5323545,2
75,1.6052574,0.9293879,3
76,1.4017968,2.309164,4
77,2.3015125,6.4502597,5
78,1.6597657,2.8161156,6
79,2.1175387,1.3281196,7
80,0.64737177,1.4120852,0
81,1.471647,8.429442,1
82,0.5519623,3.811038,2
83,2.1472166,1.6449134,3
84,1.6065814,1.7361693,4
85,0.7673253,4.022965,5
86,1.2145518,1.5950787,6
87,1.486881,2.6568458,7
88,0.9463537,1.1786985,0
89,1.4209173,1.3001978,1
90,1.3921087,5.790508,2
91,2.7968647,1.7798643,3
92,1.4554086,2.7596483,4
93,1.1983206,6.167592,5
94,1.3038948,1.7097543,6
95,2.1762059,3.398131,7
96,0.6422788,2.4096975,0
97,1.0061953,4.1570024,1
98,0.6562198,1.5943673,2
99,3.3537986,0.7721412,3
100,4.465406,0.6973812,4
101,0.9844687,5.658416,5
102,2.1772785,2.6497364,6
103,1.223179,3.1455734,7
104,1.0025761,1.975085,0
105,2.6605203,2.7797003,1
106,1.6329696,2.6315188,2
107,2.6090078,1.2175667,3
108,0.9898233,2.4775193,4
109,2.224503,5.4714704,5
110,2.1259146,0.8997072,6
111,1.4957838,1.8591298,7
112,0.7768104,1.8288906,0
113,1.9732474,7.1524944,1
114,0.4495604,2.6699576,2
115,6.1225843,0.8661475,3
116,1.5162767,1.2353333,4
117,1.0334203,4.1193275,5
118,1.2955697,2.4045558,6
119,2.3694677,1.9101701,7
120,0.79797894,1.174685,0
121,2.1973853,6.465645,1
122,0.8650195,2.8915944,2
123,3.1899538,2.114514,3
124,1.6006172,1.9837005,4
125,1.3491747,6.136279,5
126,1.7534901,1.478795,6
127,1.4790657,2.5191095,7
128,0.6971437,3.4125252,0
129,1.7514322,1.1071777,1
130,1.1687301,3.5898697,2
131,4.290527,0.69448835,3
132,0.79104507,1.915357,4
133,2.1115165,6.8391523,5
134,1.9836606,1.3555329,6
135,1.0785263,2.270514,7
136,0.53541124,4.5050936,0
137,2.1168215,3.1353643,1
138,0.4783444,2.2506669,2
139,4.7725954,0.93276787,3
140,1.4677049,1.298356,4
141,0.5192413,5.173872,5
142,2.0623112,2.0712016,6
143,1.5474658,4.3801446,7
144,0.55482996,1.9583285,0
145,1.6463226,6.370431,1
146,0.7196731,4.970051,2
147,5.4727073,0.74693435,3
148,0.47221258,2.338139,4
149,1.447964,4.393349,5
150,1.219559,5.182032,6
151,2.4427428,5.299181,7
152,0.57182664,2.1529622,0
153,1.675523,2.9840345,1
154,0.65027845,1.2150894,2
155,4.146438,1.8756407,3
156,1.0703186,1.592182,4
157,1.2619033,7.1850233,5
158,1.4186151,2.2541509,6
159,1.5025955,3.1390154,7
160,0.37647104,2.4971607,0
