,locs0,locs1,subject
0,-2.9603891,-1.2515291,0
1,-1.966403,1.2486892,1
2,-2.940921,-2.1509156,2
3,-1.4631093,-0.4546367,3
4,-1.7035217,-2.2052543,4
5,-2.252422,-0.14823952,5
6,-1.5367787,-1.5539412,6
7,-1.1028636,-1.4652652,7
8,-1.9588357,-1.7461939,0
9,-1.3576251,0.29076,1
10,-2.1613402,-2.078445,2
11,0.61420715,-3.188211,3
12,-2.5799854,-1.1080163,4
13,-0.76021266,0.5925807,5
14,-1.885102,-0.7968084,6
15,-1.564368,-0.97128874,7
16,-2.4271548,-1.6350547,0
17,-0.97302353,1.2042036,1
18,-2.5785425,-1.758296,2
19,-0.6066828,-1.554639,3
20,-2.4175613,-1.2155751,4
21,-1.6986197,-0.3016424,5
22,-1.6487775,-0.9030256,6
23,-1.3164065,-0.43290573,7
24,-2.7513537,-0.9399033,0
25,-1.3746624,0.6407516,1
26,-2.6318667,-0.25666338,2
27,-0.13373834,-2.1924117,3
28,-2.8241034,-2.1808767,4
29,-1.1925552,1.0001594,5
30,-1.4363022,-0.6286396,6
31,-1.9735243,-1.0779884,7
32,-2.8861368,-0.05935061,0
33,-1.4073918,-2.107225,1
34,-2.2028418,0.13545376,2
35,-0.2748303,-1.9159788,3
36,-2.6566002,-0.23628438,4
37,-1.3148948,0.9185926,5
38,-1.7239478,-0.2994783,6
39,-1.6556038,-0.8341527,7
40,-2.2464576,-3.2212114,0
41,-1.4529425,0.24069563,1
42,-2.3463352,-2.2950473,2
43,-2.0867205,-0.1906085,3
44,-1.7057831,-1.1627113,4
45,-1.6769457,0.6382929,5
46,-1.8131613,-1.6729594,6
47,-1.0675199,-2.319312,7
48,-2.493298,-1.0953419,0
49,-1.8570192,-0.892068,1
50,-2.4263275,-1.8417501,2
51,-0.21825403,-2.1194994,3
52,-1.8564751,-1.3063483,4
53,-2.2444377,-0.19877598,5
54,-1.3359697,-0.602134,6
55,-1.0120729,-2.0404603,7
56,-2.6012945,-1.297415,0
57,-1.7485851,0.50098485,1
58,-2.9535637,-0.25487542,2
59,-0.5243645,-1.5322678,3
60,-1.9572815,-1.7434075,4
61,-1.4047866,0.6391947,5
62,-1.9476999,-1.5293971,6
63,-1.3514838,-1.0757374,7
64,-2.5435743,-2.126317,0
65,-1.243058,0.5341852,1
66,-1.9499725,-0.58859134,2
67,-0.3000456,-1.6400844,3
68,-3.0366,-1.666913,4
69,-1.4114444,1.6539817,5
70,-2.0855017,-0.8041637,6
71,-1.7655394,-1.2234046,7
