,dec temp,habitual tendency,subject
0,1.0097877,1.230706,0
1,2.1074088,3.6325142,1
2,2.7461886,8.216992,2
3,7.8969865,0.12593764,3
4,0.4698855,3.186751,4
5,1.0819933,4.9246955,5
6,2.1824145,1.4972494,6
7,1.2814296,3.104664,7
8,0.43182725,3.156475,0
9,3.58456,3.9978755,1
10,1.0945374,4.3136806,2
11,4.38149,0.6375623,3
12,1.0732596,0.75187635,4
13,0.9710536,6.4124937,5
14,2.683569,0.61192864,6
15,2.230832,1.2961152,7
16,0.61890054,2.3144133,0
17,2.0344443,4.021036,1
18,1.0612369,4.688727,2
19,3.2657952,0.57874846,3
20,1.02122,1.8274771,4
21,1.6082888,4.4216385,5
22,0.9277969,1.4680754,6
23,1.3414489,4.7345,7
24,0.785499,2.0898917,0
25,1.5902053,1.0458791,1
26,0.98146325,3.4662719,2
27,4.3268514,1.31159,3
28,0.7387028,2.6635578,4
29,1.409673,4.314188,5
30,1.177086,4.706886,6
31,1.3126743,3.4888334,7
32,1.087738,0.8510068,0
33,1.4902598,2.1688197,1
34,0.8717096,4.517015,2
35,1.3572881,4.7795057,3
36,0.44576198,2.4806795,4
37,0.9781859,4.7412086,5
38,1.2069414,3.0761898,6
39,1.7860271,2.569696,7
40,0.6563764,2.2382512,0
41,1.7789576,2.739526,1
42,1.8961495,5.563724,2
43,2.499478,1.6367819,3
44,1.1452816,1.2479677,4
45,1.5105282,5.6820016,5
46,1.8941481,2.718699,6
47,0.7505977,4.7894945,7
48,0.7490033,1.2657936,0
49,1.4666319,2.1954398,1
50,0.8357198,2.2388115,2
51,4.2055078,1.3427882,3
52,0.5581163,2.4045446,4
53,1.6496859,6.6394835,5
54,1.6563723,2.9241803,6
55,2.024355,3.5689087,7
56,0.7603954,1.4864662,0
57,2.2701154,3.4814014,1
58,2.492655,7.821329,2
59,3.4878736,0.8905095,3
60,0.4083762,3.7813673,4
61,1.8783914,5.6853256,5
62,0.93092865,2.810614,6
63,1.7521589,1.8199618,7
64,0.8362689,1.6017005,0
65,2.9075494,3.8958094,1
66,0.76654667,4.6318874,2
67,2.166244,0.7591081,3
68,1.2024446,2.3446784,4
69,1.2009718,6.699486,5
70,2.6147966,0.73015165,6
71,1.8299122,3.586369,7
72,0.7069719,1.8565099,0
73,1.1164901,3.5886903,1
74,1.5756698,5.582481,2
75,0.94226426,4.72356,3
76,0.4212958,4.4195786,4
77,1.6436522,7.789549,5
78,1.6649253,2.9791176,6
79,1.087868,3.908707,7
80,0.71211326,1.014421,0
81,2.2707424,8.570887,1
82,1.1504984,3.7160182,2
83,2.851367,1.5444885,3
84,0.6862018,3.6442313,4
85,0.89751124,4.754983,5
86,1.0755788,2.770122,6
87,3.9625926,1.6733556,7
88,1.3226645,2.3651214,0
89,2.4046264,4.9481173,1
90,1.0735714,4.989914,2
91,4.5081573,0.65518224,3
92,1.7944425,1.2169119,4
93,0.9390085,5.1272354,5
94,1.3533483,2.3049693,6
95,1.2970898,2.6368418,7
96,0.7390673,2.2999668,0
97,2.756516,8.06342,1
98,1.1193769,1.9154818,2
99,2.5785108,0.97886217,3
100,0.27598038,3.8698034,4
101,0.6542021,5.6872196,5
102,1.6951685,3.864421,6
103,2.0465355,2.7037272,7
104,0.8271391,2.9200838,0
105,4.727678,8.85895,1
106,1.3347697,4.1523204,2
107,2.1091678,1.5281087,3
108,1.0287001,1.7950271,4
109,1.5058808,4.587931,5
110,2.9079914,1.2553339,6
111,2.46618,1.7044872,7
112,0.90400904,1.6550834,0
113,1.9880614,4.272234,1
114,0.51907027,2.435966,2
115,2.2232237,2.7125714,3
116,1.2063264,3.3639474,4
117,1.9065413,6.7463846,5
