,locs0,locs1,subject
0,-2.4900467,-2.676492,0
1,-1.2576624,-1.5749179,1
2,-2.676117,-1.4730549,2
3,-1.0792826,-1.885963,3
4,-2.6453023,-1.2928184,4
5,-1.7575895,0.38105226,5
6,-1.7818632,-1.8772755,6
7,-1.8827685,-1.2167588,7
8,-2.4307184,-2.1675181,0
9,-1.1660835,0.43380797,1
10,-2.8576784,-1.046584,2
11,-0.99236184,-1.3951192,3
12,-2.1867197,-1.0446765,4
13,-1.660465,0.3508528,5
14,-1.5516542,-0.8739559,6
15,-1.64222,-1.5227841,7
16,-2.4102883,-1.4633166,0
17,-0.85667646,1.2458957,1
18,-2.5818584,-1.5112541,2
19,-1.1087425,-1.7446297,3
20,-1.6297383,-2.6163878,4
21,-1.4886926,0.4208718,5
22,-1.5742671,-2.094005,6
23,-0.70552427,-1.0222412,7
24,-2.5634348,-0.7595058,0
25,-2.083901,-1.4178332,1
26,-1.8523668,-2.568225,2
27,-0.7046643,-1.6329762,3
28,-1.5983971,-0.92922443,4
29,-1.8570632,-0.5849089,5
30,-1.2160654,-1.3735614,6
31,-1.6897665,-1.5179368,7
32,-2.8349457,-1.4017522,0
33,-1.3684165,-1.1910588,1
34,-2.969296,-1.2363553,2
35,-0.51100135,-2.6206694,3
36,-2.8131027,-0.8578561,4
37,-1.9121734,0.28951037,5
38,-1.9633362,-1.495263,6
39,-1.8287268,-0.71332073,7
40,-2.1620097,-2.3748116,0
41,-1.314508,0.7557306,1
42,-2.848386,-0.24189472,2
43,-1.0113491,-1.8890734,3
44,-2.7469504,-1.8580854,4
45,-1.4568688,-0.6712933,5
46,-2.0010011,-1.665557,6
47,-0.7588619,-1.7121513,7
48,-2.3424444,-1.3711433,0
49,-2.0635033,0.1250419,1
50,-2.7753289,-1.2594054,2
51,-0.6599244,-1.2502006,3
52,-1.5199635,-2.2378278,4
53,-2.5968957,0.22539766,5
54,-1.412904,-2.3117213,6
55,-1.5355359,-0.36483902,7
56,-2.4735522,-1.6351503,0
57,-1.3424925,-1.4215726,1
58,-2.3752496,-1.0346849,2
59,-0.7622115,-2.325736,3
60,-2.5985925,-0.98760915,4
61,-1.6317368,0.9106358,5
62,-1.2848341,-1.5074506,6
63,-1.9587667,-0.88770366,7
64,-2.1323445,-2.1612015,0
65,-0.21769738,3.7134144,1
66,-2.9911032,-1.2543774,2
67,-1.4224293,-1.7793415,3
68,-2.1965203,-0.34139585,4
69,-1.3699684,0.80140316,5
70,-1.3168931,-1.5280201,6
71,-1.6482774,-0.86033005,7
72,-1.9530323,-2.739898,0
73,-0.70088667,0.77522635,1
74,-2.3381538,-1.5050364,2
75,-1.1870427,-2.0957108,3
76,-2.1333218,-2.007982,4
77,-2.8781762,0.11537959,5
78,-2.5387125,0.0024838448,6
79,-1.7352388,-0.32736206,7
80,-2.2941048,-1.1074528,0
81,-0.71193415,0.29388463,1
82,-1.9612321,0.23267746,2
83,-0.11601418,-1.8252014,3
84,-3.5262537,0.2132957,4
85,-2.0138185,-0.11702737,5
86,-1.9198672,-0.039736867,6
87,-1.5741125,-0.9912773,7
88,-2.4417298,-2.0977776,0
89,-0.72137755,-1.3594836,1
90,-2.9635828,-1.326644,2
91,-0.8879279,-1.3501565,3
92,-1.614042,-1.9195113,4
93,-1.9301457,0.10988197,5
94,-1.8569359,-1.3628988,6
95,-2.049411,-0.5682118,7
96,-2.5729263,-1.4963487,0
97,-2.3760715,-1.0411865,1
98,-2.8619952,-1.7027466,2
99,-0.15115547,-1.4246054,3
100,-2.2036512,-1.2760388,4
101,-2.2165592,-0.061983556,5
102,-1.4252131,-1.7532525,6
103,-1.7728105,-1.165259,7
104,-2.8560097,-1.1965649,0
105,-1.6117855,0.4127167,1
106,-3.0393462,-1.3009008,2
107,-1.5882671,-0.9193516,3
108,-1.4013573,-2.333087,4
109,-2.4631932,0.008536041,5
110,-2.1990118,-2.184517,6
111,-0.93406683,-1.7199345,7
112,-2.2135572,-1.9678841,0
113,-0.7307079,-1.3102803,1
114,-2.44651,-1.1737896,2
115,0.020846844,-3.607019,3
116,-1.6130881,-1.5312642,4
117,-2.5912051,0.06354815,5
118,-1.784655,-1.0010846,6
119,-1.6369636,-1.6655854,7
120,-2.1224802,-2.7816973,0
121,-1.553608,-2.718944,1
122,-1.8848412,-0.28824663,2
123,-1.015583,-3.161458,3
124,-2.4927232,-1.5258684,4
125,-1.9321952,0.20259592,5
126,-1.6231221,-0.08182502,6
127,-1.6729041,-1.7451153,7
128,-2.9967442,-2.042354,0
129,-1.5038261,0.7323784,1
130,-2.6688004,-1.4906746,2
131,-0.26197523,-2.0884275,3
132,-1.6793492,-1.9428025,4
133,-2.2023556,1.3716414,5
134,-2.3044462,0.29986346,6
135,-1.4672785,-0.20802414,7
136,-2.5511138,-2.000169,0
137,-1.1449434,-0.92964727,1
138,-2.7730737,0.0075081587,2
139,-0.8963519,-2.4072566,3
140,-1.8322465,-2.4324646,4
141,-2.6525211,-0.37295318,5
142,-1.6458964,-0.81616247,6
143,-1.4269075,-1.2371311,7
144,-2.987383,-0.97146714,0
145,-1.688536,0.074379146,1
146,-2.254707,-0.74407184,2
147,-0.9676765,-1.1152315,3
148,-2.8259768,-0.87234163,4
149,-1.4718207,0.5289845,5
