,locs0,locs1,subject
0,-1.8308325,0.30156183,0
1,-2.6886222,-1.3027003,1
2,-2.1839352,-1.9045796,2
3,-3.6895857,-0.9337704,3
4,-2.6384664,-1.5137544,4
5,-3.0391207,-1.0380796,5
6,-1.2725644,-1.7543595,6
7,-2.2106323,-0.21341142,0
8,-2.500656,-1.3327706,1
9,-2.0468132,-2.009851,2
10,-3.4717433,-1.4182405,3
11,-1.9745501,-2.0259383,4
12,-2.881214,-1.110461,5
13,-1.7880671,-1.8951008,6
14,-1.751962,0.10224785,0
15,-2.3703432,-1.8581958,1
16,-1.8487536,-1.6361526,2
17,-3.0443437,-2.0099642,3
18,-1.9817878,-2.2819352,4
19,-3.2367156,-0.9877075,5
20,-2.1778896,-1.1535447,6
21,-1.7672777,0.16744779,0
22,-2.4066231,-1.7641863,1
23,-3.1034198,-1.1571126,2
24,-3.6580696,-0.62090826,3
25,-2.419634,-0.40379322,4
26,-2.8314905,-1.1688398,5
27,-1.613277,-1.1003397,6
28,-1.675885,0.24693836,0
29,-2.1531262,-1.007303,1
30,-2.5931945,-1.377322,2
31,-3.015557,-1.5653892,3
32,-2.2724643,-2.151982,4
33,-3.2457044,-1.3660988,5
34,-1.66887,-1.8785425,6
35,-1.8540634,0.24767111,0
36,-2.4809906,-2.2904756,1
37,-1.8667076,-1.7890913,2
38,-3.2021885,-1.6180747,3
39,-2.5976825,-1.6619246,4
40,-4.0042605,-1.4685991,5
41,-1.0033455,-2.5115871,6
42,-1.7994779,-0.11005442,0
43,-2.7289495,-0.37814617,1
44,-2.2386177,-1.7249708,2
45,-3.0983245,-1.9980621,3
46,-2.3194363,-2.8660607,4
47,-3.5633495,-1.6179581,5
48,-0.64991665,-1.8572463,6
49,-1.9156379,0.5696384,0
50,-2.987034,-1.2063826,1
51,-2.1518595,-1.8808483,2
52,-3.4349098,-2.2612162,3
53,-2.4487443,-0.92150986,4
54,-3.8995466,-0.97273624,5
55,-1.8544165,-2.0099952,6
56,-1.5688064,0.112164624,0
57,-2.1285367,-0.5065918,1
58,-2.1895375,-1.6599915,2
59,-3.1410737,-2.05462,3
60,-2.9365754,-1.0725535,4
61,-2.7374768,-0.79861903,5
62,-2.3369398,-0.7255124,6
63,-1.536647,0.114756204,0
64,-1.9665442,-2.2508483,1
65,-1.4828101,-2.3580785,2
66,-3.9721498,-1.3903786,3
67,-2.215572,-0.92816114,4
68,-3.5536804,-1.5740075,5
69,-1.7622182,-2.0368907,6
70,-2.0005102,-0.24046189,0
71,-2.0643175,-1.8271005,1
72,-1.3364849,-2.7785468,2
73,-2.6382098,-1.4770181,3
74,-2.696757,-2.3059835,4
75,-3.1438243,-0.932934,5
76,-1.793888,-1.5391072,6
77,-2.0060856,-0.26529127,0
78,-2.6839414,-1.2647812,1
79,-2.4633574,-1.6109033,2
80,-2.9838288,-0.91177547,3
81,-2.3677866,-2.4364855,4
82,-3.20389,-1.4318472,5
83,-1.6531037,-1.7770815,6
84,-2.0279107,0.02297742,0
85,-2.4776309,-1.383162,1
86,-1.7640486,-2.054976,2
87,-2.8082643,-1.4972422,3
88,-2.4877512,-1.7428931,4
89,-2.6653361,-0.91846716,5
90,-2.0816453,-1.3266985,6
91,-2.015969,0.19414356,0
92,-2.1365802,-2.8140833,1
93,-2.7899961,-1.6850239,2
94,-3.5654008,-1.1876194,3
95,-3.2292347,-0.7531173,4
96,-3.5420504,-1.3166485,5
97,-1.8136197,-1.5690683,6
98,-1.9660714,0.38177818,0
99,-2.2925441,-1.2086896,1
100,-1.8048133,-1.7297473,2
101,-3.1290212,-2.2604785,3
102,-2.265302,-1.5236294,4
103,-2.611394,-0.2516516,5
104,-1.0121161,-1.5733731,6
105,-1.4759011,0.12497409,0
106,-2.2226074,-2.6968045,1
107,-0.9134381,-2.4657235,2
108,-3.4416542,-1.6815604,3
109,-1.9624007,-2.6709762,4
110,-2.9090807,-1.1900152,5
111,-1.9145266,-2.3141341,6
112,-2.0055256,0.32166007,0
113,-2.6310139,-1.3418862,1
114,-1.5581906,-2.067349,2
115,-3.1075664,-2.0757155,3
116,-2.5827284,-1.6297425,4
117,-2.5746214,-1.324923,5
118,-1.8115677,-1.6655213,6
119,-2.0874426,0.29730642,0
120,-2.4002569,-1.5248839,1
121,-1.9539102,-2.066051,2
122,-3.5360098,-1.1659195,3
123,-2.2050614,-2.46106,4
124,-3.0248663,-1.0569186,5
125,-1.8915185,-0.87757766,6
126,-1.9680549,0.025708549,0
127,-2.570519,-1.7615364,1
128,-1.1618099,-2.4600892,2
129,-3.6546488,-1.233335,3
130,-2.439641,-1.1210189,4
131,-2.8462873,-1.6597309,5
132,-2.3835866,-1.8594946,6
133,-1.9548713,-0.0486681,0
134,-2.2315378,-2.057889,1
135,-1.4331647,-1.737222,2
136,-2.6526222,-2.6716113,3
137,-2.550659,-1.2349124,4
138,-3.4377587,-1.2916031,5
139,-1.2866614,-1.4348222,6
140,-2.2261004,-0.104378015,0
141,-2.669309,-1.400564,1
142,-2.0177557,-1.8559363,2
143,-3.2301114,-2.132924,3
144,-2.300531,-2.24584,4
145,-3.5651245,-1.2595814,5
146,-2.6615593,-1.3168073,6
147,-2.326388,-0.0048750415,0
148,-2.1053627,-0.95872855,1
149,-2.3778872,-1.2723932,2
150,-3.155414,-2.424022,3
151,-2.1971767,-2.9307299,4
152,-3.1088846,-1.5868995,5
153,-1.5700413,-1.5573704,6
154,-2.3055744,-0.13104469,0
155,-2.4441185,-1.2674596,1
156,-3.1192374,-0.82477665,2
157,-3.418799,-0.993253,3
158,-2.0271792,-1.4182973,4
159,-2.8963773,-1.0524023,5
160,-1.5487709,-2.1347747,6
161,-2.0648916,0.1192051,0
162,-2.7393386,-1.6479661,1
163,-1.7044755,-1.4209257,2
164,-2.9934208,-1.8827301,3
165,-2.5782862,-2.1117353,4
166,-3.357222,-1.133295,5
167,-1.754016,-1.8252921,6
168,-2.3164186,0.39267376,0
169,-2.7676105,-1.8973399,1
170,-2.261693,-1.5484544,2
171,-2.876642,-1.4515533,3
172,-2.229068,-1.9262531,4
173,-2.990468,-0.7851829,5
174,-2.4037397,-1.0028548,6
175,-2.0884006,0.1138254,0
176,-2.3162513,-2.105138,1
177,-1.8191539,-1.6810653,2
178,-3.4338999,-1.7317886,3
179,-2.5923676,-1.8130357,4
180,-2.3580048,-0.73196495,5
181,-1.6962411,-1.0904229,6
182,-2.2005048,0.1656433,0
183,-2.3325956,-2.0315914,1
184,-2.291088,-1.5641856,2
185,-2.8550978,-1.7923138,3
186,-2.499922,-0.94171786,4
187,-2.588034,-0.64920413,5
188,-1.573754,-1.4258435,6
189,-2.1004708,-0.086107254,0
190,-2.6577916,-1.042792,1
191,-2.325168,-1.058857,2
192,-2.9941173,-1.6567003,3
193,-2.6540923,-1.2798084,4
194,-2.8683298,-1.3188809,5
195,-1.5147463,-1.7498322,6
196,-2.4321804,-0.18023944,0
197,-2.2857857,-1.403075,1
198,-1.9892247,-1.6769421,2
199,-3.225186,-1.9752791,3
200,-2.020298,-2.001234,4
201,-3.6832578,-1.1764263,5
202,-1.6961385,-1.5522605,6
203,-2.0688622,0.44820628,0
204,-2.320612,-2.0594287,1
205,-1.6312776,-1.487801,2
206,-2.7588325,-2.5408313,3
207,-2.2222717,-2.2681653,4
208,-2.9245493,-0.72161347,5
209,-1.9373527,-2.2514172,6
210,-2.096269,-0.17243648,0
211,-1.7446474,-1.9141643,1
212,-1.539688,-2.3618476,2
213,-3.3805072,-1.9052279,3
214,-2.5865576,-1.448035,4
215,-2.8813596,-1.619488,5
216,-1.3885007,-2.5060139,6
217,-1.8329672,0.14619443,0
218,-2.6080065,-1.6841655,1
219,-2.3038008,-1.9000987,2
220,-3.1051216,-1.9565405,3
221,-3.0480607,-1.0029867,4
222,-3.1291213,-1.153672,5
223,-2.00276,-1.9069246,6
224,-1.876246,-0.19851795,0
225,-2.7646487,-1.5519052,1
226,-1.161799,-2.4011767,2
227,-3.208108,-2.0023224,3
228,-2.2833927,-1.3992485,4
229,-2.7286541,-1.0858015,5
230,-1.8636128,-2.2703702,6
231,-1.8205731,0.20361976,0
232,-2.0575006,-1.6820874,1
233,-2.4250896,-1.5309788,2
234,-3.2504382,-1.9330511,3
235,-2.063872,-2.4776478,4
236,-3.1017191,-1.2624367,5
237,-0.96603477,-2.1363564,6
238,-2.1595488,-0.19647348,0
239,-2.2631154,-0.3588369,1
240,-2.1591485,-1.51858,2
241,-3.1710875,-1.8132405,3
242,-3.0694604,-1.4253106,4
243,-3.1556242,-1.2556214,5
244,-1.6028963,-1.5832955,6
245,-2.4102168,0.09386264,0
246,-2.645161,-1.7453021,1
247,-2.465827,-1.5155817,2
248,-3.685772,-1.7547134,3
249,-2.5673406,-1.6147462,4
250,-3.113878,-0.5871042,5
251,-1.5979317,-1.1106646,6
252,-2.1063595,0.16269052,0
253,-2.6646621,-2.4775252,1
254,-1.7509807,-1.8878752,2
255,-3.237324,-1.5164428,3
256,-2.7236943,-1.183403,4
257,-3.05812,-1.44629,5
258,-1.1684058,-1.0123855,6
259,-1.5727327,0.15012401,0
260,-2.5444083,-0.96871865,1
261,-1.8196547,-1.9441236,2
262,-2.8997405,-2.5053105,3
263,-2.235203,-1.9698042,4
264,-3.0671813,-1.0173812,5
265,-2.089493,-1.3593681,6
266,-1.5385506,0.3640766,0
267,-2.6822774,-0.91016215,1
268,-1.727908,-1.9289882,2
269,-3.343764,-1.7081221,3
270,-2.440214,-2.9072795,4
271,-3.4247575,-1.2270222,5
272,-1.9423075,-0.41851246,6
273,-2.0118322,0.35553637,0
274,-2.4743707,-1.5613906,1
275,-2.211968,-1.8347936,2
276,-3.2582815,-1.1214899,3
277,-2.6198885,-1.1133385,4
278,-3.7425818,-0.68878,5
279,-1.3855077,-1.8453388,6
280,-2.36993,0.21997392,0
281,-2.2278862,-2.2675009,1
282,-2.5062785,-1.1952924,2
283,-3.303444,-1.4276395,3
284,-1.8819438,-1.1653066,4
285,-3.4225578,-1.3429904,5
286,-1.5314307,-1.7284267,6
287,-1.7190554,0.5267458,0
288,-2.0405006,-1.4619558,1
289,-2.5793087,-0.9294804,2
290,-2.7371988,-1.5031317,3
291,-2.5987778,-1.3720558,4
292,-2.916682,-0.85842085,5
293,-1.6890997,-1.7563506,6
294,-2.2799134,-0.5424523,0
295,-2.433364,-1.6135437,1
296,-1.9549565,-1.7590686,2
297,-4.0708675,-1.1165109,3
298,-2.4611022,-0.8453009,4
299,-3.0527306,-0.914499,5
300,-2.571384,-1.5748551,6
301,-2.0258946,-0.1422154,0
302,-2.702968,-1.5003519,1
303,-2.1290236,-2.043269,2
304,-2.5112927,-2.066422,3
305,-2.267975,-1.320153,4
306,-3.1305864,-1.078068,5
307,-2.592453,-1.5517529,6
308,-2.1502876,-0.46066356,0
309,-2.1665373,-1.7810602,1
310,-2.5434036,-1.1618876,2
311,-2.9713018,-1.7375791,3
312,-2.265146,-1.6712862,4
313,-3.2436664,-0.5757707,5
314,-2.092622,-0.7875094,6
315,-2.04695,0.044861376,0
316,-2.8761702,-1.4201914,1
317,-2.416093,-1.3553205,2
318,-3.3145022,-1.6622729,3
319,-2.2246025,-1.4928696,4
320,-3.30679,-1.2092267,5
321,-2.0160367,-0.70354193,6
322,-1.9932383,0.15232855,0
323,-2.812441,-2.1527681,1
324,-2.5120738,-1.5847822,2
325,-3.2003233,-1.0019057,3
326,-2.346333,-1.7148085,4
327,-3.1909583,-1.7218299,5
328,-2.2058492,-1.2090828,6
329,-2.2394233,0.30822918,0
330,-2.4563046,-1.3815082,1
331,-1.9191028,-1.4837792,2
332,-3.8586178,-1.8145252,3
333,-2.481599,-2.24118,4
334,-3.2677372,-1.2833242,5
335,-1.136379,-2.502509,6
336,-1.9017,0.03128572,0
337,-2.4849548,-0.7849123,1
338,-2.454619,-1.014432,2
339,-2.494659,-2.64477,3
340,-1.9260945,-1.8232372,4
341,-2.630149,-1.0859716,5
342,-1.9031874,-1.6885786,6
343,-2.3469837,-0.12832087,0
344,-2.4851303,-1.4981627,1
345,-2.5379736,-1.2054698,2
346,-3.0538156,-2.0097806,3
347,-3.124287,-0.8405111,4
348,-3.0480602,-0.24128568,5
349,-1.6243944,-1.5712405,6
350,-2.0193214,0.24746825,0
