,dec temp,habitual tendency,subject
0,1.8025348,4.6735344,0
1,1.2808313,1.7983007,1
2,0.7752298,0.99922025,2
3,0.4683788,1.7497915,3
4,0.4234166,1.2740359,4
5,0.6635436,1.8713291,5
6,1.0806082,1.323763,6
7,0.84613466,4.383947,0
8,0.765998,1.4588003,1
9,0.9179782,1.4841664,2
10,0.3461159,1.2186993,3
11,0.52245396,2.8124866,4
12,0.8235648,3.2716794,5
13,0.89610463,1.6416283,6
14,0.70381176,5.3609724,0
15,0.5965953,1.4178402,1
16,0.69853294,1.9286382,2
17,0.22726016,1.6539276,3
18,0.95276916,1.769964,4
19,0.35857114,2.9745579,5
20,0.8333193,1.1043601,6
21,1.3551723,4.4840736,0
22,0.80348766,1.4443647,1
23,0.8487528,2.1598463,2
24,0.5259425,1.6575239,3
25,0.49972922,3.2439497,4
26,0.30933496,1.9683895,5
27,1.060508,1.0583844,6
28,1.0184785,4.896167,0
29,0.6056678,1.6437879,1
30,0.87653905,1.6493304,2
31,0.38742292,0.98075926,3
32,0.5984149,2.1329372,4
33,0.46288577,2.1059842,5
34,0.63037395,2.6436007,6
35,0.73588634,4.67667,0
36,0.9682934,0.87184906,1
37,1.2269038,1.1094382,2
38,0.38686717,0.7587218,3
39,1.0348945,0.3329674,4
40,0.46609238,1.9223447,5
41,1.5363275,1.7178177,6
42,1.1448538,5.7329555,0
43,0.6175119,1.5610595,1
44,0.896146,1.5952392,2
45,0.37727818,1.6086557,3
46,0.7304459,1.8136679,4
47,0.3554175,1.9546889,5
48,1.7632638,1.1949633,6
49,1.1028265,5.1001263,0
50,0.5175619,1.9630268,1
51,3.243805,0.5698853,2
52,0.37497208,0.628191,3
53,0.85020804,1.8324978,4
54,0.31615365,2.7958343,5
55,1.1738343,2.278822,6
56,0.70632637,4.9260387,0
57,0.61705345,1.0127825,1
58,1.1482086,1.6879165,2
59,0.29215935,0.7751154,3
60,0.5204605,2.338874,4
61,0.22506589,2.4986572,5
62,2.4001086,1.2853622,6
63,1.3405889,4.719989,0
64,0.6667862,1.0962343,1
65,2.2441766,0.6085574,2
66,0.36796868,1.0266029,3
67,0.6157133,2.6797552,4
68,0.39000717,2.4125884,5
69,2.0498557,1.2704383,6
70,1.2204967,5.055179,0
71,0.66209817,2.5534983,1
72,0.57380015,2.5568032,2
73,0.45624727,0.84246904,3
74,1.2573065,1.3427573,4
75,0.28247395,0.93128175,5
76,0.75396466,3.7200837,6
77,1.0327842,5.7519555,0
78,0.5462382,2.472298,1
79,1.0817926,1.3276012,2
80,0.32272023,1.3489196,3
81,0.8996031,1.4432162,4
82,0.28424403,1.7847227,5
83,1.7833704,1.6180978,6
84,0.8415589,4.5424833,0
85,0.78486234,2.371221,1
86,2.8242035,0.99519,2
87,0.47515213,0.8277536,3
88,0.53712434,2.4531136,4
89,0.51944745,2.0655518,5
90,1.1374166,1.5217454,6
91,1.3220377,4.597092,0
92,0.7204047,0.7719958,1
93,0.7112637,3.3967993,2
94,0.34638223,1.0032426,3
95,0.80909365,2.3069909,4
96,0.3435896,2.2954423,5
97,0.7876333,3.4853086,6
98,1.0961599,5.1725683,0
99,0.67018324,1.8845354,1
100,0.5208334,3.1293836,2
101,0.45618173,1.2434299,3
102,1.1352323,1.3138833,4
103,0.66227967,1.7374266,5
104,0.8927048,1.3379064,6
105,1.5077012,4.2874804,0
106,0.74480367,3.3265715,1
107,0.72652096,2.8991013,2
108,0.26100516,2.4400077,3
109,0.8636702,1.0123913,4
110,0.50760233,3.8006625,5
111,1.4651327,1.3975371,6
112,1.2283006,5.142995,0
113,0.61319745,1.5195024,1
114,2.235293,1.0060712,2
115,0.33534345,1.7667773,3
116,1.1297295,2.951211,4
117,0.40908474,2.9808316,5
118,0.5405595,2.374046,6
119,1.641779,3.8905265,0
120,0.8632134,2.1666882,1
121,0.7174671,1.6370316,2
122,0.33623156,1.0604643,3
123,0.81075454,4.265774,4
124,0.61545837,2.9946961,5
125,1.17498,1.7353508,6
126,0.86853385,4.7745295,0
127,0.90183586,1.0914996,1
128,1.2258495,1.3884009,2
129,0.28039512,1.4446126,3
130,0.88619757,1.3004135,4
131,0.67296493,2.7097378,5
132,2.3154788,1.8811078,6
133,0.7482583,4.8088007,0
134,0.58834475,2.841044,1
135,1.1505591,1.7112659,2
136,0.3119165,1.235348,3
137,0.8314967,2.9253314,4
138,0.33771914,2.4607959,5
139,1.508494,1.9198744,6
140,1.0101308,4.341366,0
141,1.1351237,1.3988049,1
142,0.63990784,3.0742047,2
143,0.34295645,2.872821,3
144,0.89561707,1.397435,4
145,0.28603467,2.4879751,5
146,1.464312,1.3323737,6
147,1.0685383,5.4325285,0
148,0.91581166,1.5426891,1
149,1.4879586,1.7558229,2
150,0.3818099,0.80105484,3
151,0.51328415,1.3520193,4
152,0.38642856,1.6888192,5
153,1.9459319,0.39103475,6
154,0.747136,4.772454,0
155,1.0836941,1.4216082,1
156,0.41253474,1.25638,2
157,0.36892712,0.60696626,3
158,0.682376,1.3360231,4
159,0.4844408,2.3881516,5
160,1.4904869,1.1107843,6
161,1.4054798,4.5702014,0
162,1.0985622,1.984829,1
163,1.3103578,0.9946949,2
164,0.41508937,1.4217334,3
165,0.7060755,2.0298214,4
