,locs0,locs1,subject
0,-2.0332441,-0.84675074,0
1,-2.1190302,-1.4570079,1
2,-1.3665946,-1.6935966,2
3,-2.4368005,-1.3183668,3
4,-1.2373626,-1.377416,4
5,-1.78687,-0.9022625,5
6,-0.86883974,-2.0580776,6
7,-1.3014491,0.20612276,0
8,-2.0607526,-1.0379469,1
9,-2.9018526,-1.3107071,2
10,-2.9455996,-1.162337,3
11,-1.5377243,-2.758117,4
12,-1.1838577,-0.46854413,5
13,-2.164721,-2.1786785,6
14,-1.6334015,0.0745313,0
15,-1.8903162,-1.5194535,1
16,-1.5963434,-0.98076326,2
17,-1.7116184,-1.9903271,3
18,-2.2269583,-0.12586033,4
19,-1.8822494,-0.68533957,5
20,-1.1917593,-0.9540468,6
21,-1.6016443,0.5601753,0
22,-1.9494829,-0.54284257,1
23,-2.032366,-1.9597361,2
24,-0.96220577,-1.0858955,3
25,-1.7283252,-0.8116116,4
26,-1.7439002,-1.5042572,5
27,-2.0255938,-1.5628792,6
28,-1.4862653,0.80386794,0
29,-1.8340089,-1.1677283,1
30,-2.6462436,-0.93246365,2
31,-2.3117435,-1.0107049,3
32,-1.5574055,-2.4240308,4
33,-0.74798775,-0.4703887,5
34,-1.3972441,-1.7524414,6
35,-1.2992258,0.19956994,0
36,-1.2087493,-1.7812344,1
37,-2.2664685,-1.0811669,2
38,-2.6503425,-1.5894718,3
39,-1.9611284,-1.7336377,4
40,-1.9644586,-1.3821874,5
41,-1.7647084,-1.3377756,6
42,-1.7006965,0.49295813,0
43,-2.194179,-1.0784762,1
44,-1.9038324,-1.6442138,2
45,-1.4879999,-1.6060631,3
46,-2.1549358,-1.1852069,4
47,-3.846724,-0.7993773,5
48,-1.1029743,-2.411696,6
49,-1.7460216,0.8625259,0
50,-1.6136153,-1.542177,1
51,-1.5133245,-2.3459253,2
52,-2.5007317,-1.1542697,3
53,-2.4245534,-0.6034876,4
54,-2.5001597,-1.2749559,5
55,-1.3013926,-1.5417202,6
56,-1.8216246,0.026901081,0
57,-1.8027422,-1.1081767,1
58,-1.9675082,-1.7206045,2
59,-3.2295835,-1.5902718,3
60,-1.6403806,-1.54998,4
61,-2.7324147,-0.7655127,5
62,-1.15433,-1.089657,6
63,-1.010092,1.567842,0
64,-2.4175026,-1.2521955,1
65,-2.19621,-2.102947,2
66,-2.267306,-1.4808236,3
67,-1.0571752,-2.9390922,4
68,-0.65564585,-1.4697595,5
69,-1.9992969,-0.9153732,6
70,-1.4147617,0.38472092,0
71,-1.1626631,-1.9203029,1
72,-1.4501686,-2.6093154,2
73,-1.6457763,-1.0266958,3
74,-2.537468,-1.1401005,4
75,-0.70824635,-1.8355768,5
76,-1.2613201,-1.8918427,6
77,-1.6797112,0.59352463,0
78,-2.1102684,-0.20581889,1
79,-1.6330005,-1.491537,2
80,-2.5487344,-0.6035367,3
81,-1.1836469,-0.62706935,4
82,-2.0558822,-1.0633472,5
83,-1.2859522,-1.2821844,6
84,-1.2858348,0.98522604,0
85,-2.144234,0.073108196,1
86,-2.1904197,-1.1950041,2
87,-4.1686196,-2.0044014,3
88,-1.9350302,-1.1180807,4
89,-2.4771214,-0.56412935,5
90,-1.7813275,-0.82946223,6
91,-1.7407224,-0.45907056,0
92,-2.243259,-1.3080318,1
93,-2.2451873,-1.3150513,2
94,-1.9518949,-1.3507776,3
95,-1.5883458,-1.6453758,4
96,-2.652462,-0.99181783,5
97,-1.8956761,-1.9501612,6
98,-1.7948314,0.5641531,0
99,-2.2679741,-0.6698422,1
100,-1.7463925,-1.5888985,2
101,-2.7261465,-2.3863301,3
102,-2.2399592,-1.159462,4
103,-2.9809377,-1.1996295,5
104,-1.1963512,-1.4903221,6
105,-2.2373295,-0.4321903,0
106,-2.2495165,-0.6688756,1
107,-2.7701602,-0.85721004,2
108,-1.0203842,-1.0050986,3
109,-1.137161,-1.9756892,4
110,-0.6589887,-0.5924951,5
111,-1.4386857,-1.5858011,6
112,-1.4189367,0.14279611,0
113,-1.6980765,-1.3653313,1
114,-1.793078,-2.0614007,2
115,-2.1692069,-1.4699221,3
116,-1.817407,-1.1926972,4
117,-1.8464464,-0.8003735,5
118,-2.0024524,0.2723794,6
119,-1.922357,0.62801677,0
120,-2.3807573,-1.4474208,1
121,-2.166191,-0.84973145,2
122,-2.0052438,-0.5662651,3
123,-1.6356698,-1.3471295,4
124,-2.794024,-1.3888378,5
125,-1.2063068,-1.4456285,6
126,-1.6741512,0.6253898,0
127,-1.8915081,-1.2354419,1
128,-1.7664227,-2.7019033,2
129,-0.49853063,-1.2467676,3
130,-2.3506134,-1.9139366,4
131,-1.8045704,-1.252114,5
132,-2.2881348,-0.93613815,6
133,-1.2375143,1.2185818,0
134,-1.7402514,-1.6808267,1
135,-1.2235771,-1.4865888,2
136,-1.4394329,-0.74784666,3
137,-1.851709,-1.0615634,4
138,-2.7550247,-1.0753425,5
139,-1.4146103,-1.9869318,6
140,-2.0939565,-0.8265507,0
141,-1.8884932,-0.9632913,1
142,-1.4966669,-1.7863828,2
143,-2.2171042,-1.3262607,3
144,-1.5164996,-1.902251,4
145,-2.0282989,-1.0190544,5
146,-2.4911537,-0.70309246,6
147,-2.0451732,-0.4873501,0
148,-2.6796007,-1.3000064,1
149,-1.7103496,-1.5107591,2
150,-1.6969341,-0.7954556,3
151,-2.0690742,-1.293465,4
152,-1.8710271,-0.8897345,5
153,-1.5339588,-1.3406537,6
154,-1.3963135,0.23929188,0
155,-1.9162863,-1.3716508,1
156,-2.1846695,-2.242144,2
157,-2.3663998,-1.439492,3
158,-1.509484,-1.9353865,4
159,-0.96826947,-0.8057837,5
160,-1.6186599,-1.9601996,6
161,-1.7267287,0.38173652,0
162,-1.7184551,-0.7108208,1
163,-2.4194982,-1.3999275,2
164,-2.5422196,-1.7539552,3
165,-1.8128728,-2.7347043,4
166,-1.7174882,-1.1486522,5
167,-2.0292306,-0.73785156,6
168,-1.388831,0.44067228,0
169,-2.102981,-1.2777473,1
170,-1.6207999,-2.1113532,2
171,-3.606667,-1.6306417,3
172,-1.7258817,-2.6092548,4
173,-0.87211275,-0.661976,5
174,-1.0517402,-1.4985056,6
175,-2.0260897,0.040786266,0
176,-1.5595624,-1.7354378,1
177,-1.7333902,-1.9110352,2
178,-2.1677258,-1.7545421,3
179,-1.3184559,-1.3359402,4
180,-0.6858293,-1.0837343,5
181,-2.0838664,-1.9520413,6
182,-1.394111,1.1224215,0
183,-2.0936782,-1.1924944,1
184,-2.113913,-1.7692819,2
185,-1.5044836,-1.5597043,3
186,-1.3783419,-0.8639203,4
187,-2.2811503,-1.0609146,5
188,-1.5652202,0.13110268,6
189,-1.8980937,0.09486744,0
190,-2.3071835,-1.8029053,1
191,-2.7705579,-1.5965796,2
192,-1.2094492,-1.3328475,3
193,-1.5543883,-1.3076031,4
194,-1.8722192,-1.2826574,5
