,dec temp,habitual tendency,subject
0,1.1468754,1.8797,0
1,1.6416515,4.74788,1
2,0.9940236,2.4308684,2
3,2.551615,1.7272466,3
4,1.2479438,1.4099683,4
5,2.091403,6.9374914,5
6,2.8177643,2.8838017,6
7,2.2688043,1.9770325,7
8,1.2012844,1.5305989,0
9,2.3660626,1.9490737,1
10,0.9006529,3.8606591,2
11,2.3700306,1.2368487,3
12,0.81484914,1.5228717,4
13,2.1011636,6.1773057,5
14,2.267458,2.2247465,6
15,3.2736561,4.8722167,7
16,0.8996069,0.73898566,0
17,1.1148002,4.098536,1
18,2.2894936,8.1033745,2
19,3.6055658,1.5091275,3
20,0.6065886,4.260971,4
21,2.29449,7.585814,5
22,1.1874479,4.2687473,6
23,3.766594,3.055726,7
24,1.0952117,0.9519464,0
25,2.1760273,6.6443486,1
26,1.5694907,7.0380025,2
27,2.9764867,1.2925653,3
28,1.263141,1.2046137,4
29,2.1252182,7.039971,5
30,1.5407987,2.6146417,6
31,1.592461,2.1092715,7
32,0.37213862,1.7602358,0
33,2.205029,7.2067156,1
34,1.0912056,3.7534447,2
35,3.1859488,1.8306898,3
36,0.64836407,1.3442621,4
37,1.779837,7.30647,5
38,1.588855,3.0447416,6
39,4.109683,3.7842085,7
40,0.71337694,3.68201,0
41,2.3013964,7.674284,1
42,0.86402303,5.510595,2
43,4.1310663,1.4681215,3
44,0.37380213,4.5088387,4
45,2.3562028,7.833299,5
46,1.9728463,3.3474712,6
47,1.4974309,4.7991996,7
48,0.5007907,1.3319438,0
49,3.2187243,9.084255,1
50,0.89822024,2.6086383,2
51,2.632679,2.7026033,3
52,0.45373756,5.8983,4
53,1.566156,5.471751,5
54,1.5007918,3.2516983,6
55,3.531554,0.7666915,7
56,0.4580807,1.1649853,0
57,3.0875754,8.250843,1
58,1.4391842,5.1400614,2
59,3.6203685,2.9804635,3
60,1.3159775,2.5444407,4
61,2.213821,6.08705,5
62,1.4901919,3.0767324,6
63,1.822568,2.610344,7
64,0.8242858,2.5233326,0
65,1.4705968,7.940193,1
66,1.0918598,5.14272,2
67,4.2054086,1.3604147,3
68,2.2753649,0.8014056,4
69,0.48722398,5.5859585,5
70,1.7280545,2.7053382,6
71,1.098236,4.9334965,7
72,0.61672354,1.2247325,0
73,1.808386,3.5131,1
74,1.5992886,7.109007,2
75,2.5027547,2.3982937,3
76,0.66202885,3.1065621,4
77,1.4919871,7.1913557,5
78,1.799441,0.91763204,6
79,3.7830439,1.8454828,7
80,0.92426217,3.8229501,0
81,3.3901258,9.164708,1
82,1.4927037,6.4352093,2
83,2.7590811,1.1398827,3
84,2.077963,2.2751226,4
85,1.5247415,4.8168244,5
86,2.0668666,1.6949806,6
87,1.6647221,1.3893855,7
88,1.1850743,4.3402286,0
89,3.0738494,4.913644,1
90,0.78821504,5.1608424,2
91,6.272943,0.37677044,3
92,0.49518055,3.167381,4
93,2.5783982,7.414813,5
94,1.1328329,2.937036,6
95,0.73834604,2.8942566,7
96,0.8998671,1.3375173,0
97,2.237431,8.731013,1
98,2.6218488,7.569721,2
99,3.124317,1.7343129,3
100,1.2234567,1.6151911,4
101,2.6259005,7.0854588,5
102,2.3770154,0.2590499,6
103,2.219973,3.7537696,7
104,1.3338547,2.7829444,0
105,2.5480711,7.6072884,1
106,0.8330467,4.604871,2
107,3.7388759,2.6243625,3
108,1.0621374,2.7618804,4
109,3.4368143,7.705572,5
110,2.7248707,0.7316197,6
111,1.5823983,2.794879,7
112,0.52299577,1.8037492,0
113,2.647022,7.773862,1
114,0.5993993,3.2262397,2
115,2.7404425,0.8694204,3
116,0.5297582,2.4278176,4
117,0.85425854,7.5778522,5
118,1.391719,1.456554,6
119,1.4312761,4.9513144,7
120,0.7826858,1.087202,0
121,2.9764872,8.955617,1
122,0.9042621,4.536459,2
123,3.000821,0.95334285,3
124,1.1316698,1.3556069,4
125,1.3174386,5.493052,5
126,1.4635748,3.0202246,6
127,1.1247267,4.9397583,7
128,0.84093094,3.06577,0
129,1.8073485,4.3718867,1
130,0.8372328,3.6875482,2
131,3.728578,0.7033605,3
132,0.9510118,1.4243532,4
133,1.3797436,6.8869276,5
134,2.116396,1.326916,6
135,0.9996706,4.2302485,7
136,0.8433073,2.7154975,0
137,1.4076835,5.2601714,1
138,1.1015818,6.659855,2
139,5.1365604,0.68824595,3
140,1.6339605,0.5406548,4
141,2.767612,7.9698763,5
142,1.3798832,2.8176289,6
143,2.2564564,0.8442056,7
144,1.3468384,2.3435774,0
145,1.7992644,2.0021229,1
146,1.1406864,6.4735746,2
147,5.7754893,0.8939436,3
148,2.067753,0.9117663,4
149,1.3159838,5.705409,5
150,2.626697,0.78745574,6
151,1.6400678,1.4741725,7
152,0.64320713,4.0908055,0
153,2.5460098,4.7708817,1
154,0.7750449,4.68557,2
155,0.9253421,1.8796502,3
156,0.82503736,1.4842083,4
157,0.947551,5.217089,5
158,1.4305599,4.7160087,6
159,3.234846,1.3346208,7
160,0.63197976,1.2348661,0
161,1.9112387,1.9741577,1
162,1.4243145,5.2901707,2
163,2.185025,3.0315156,3
164,0.79848754,3.2863352,4
165,2.3105292,6.376462,5
166,2.6318338,1.0405238,6
167,2.8740754,2.3488948,7
168,1.0955604,1.9693726,0
169,1.9072498,8.542276,1
170,1.4918708,5.432371,2
171,4.2060227,0.9108275,3
172,0.8031371,3.7167394,4
173,1.1346486,5.601954,5
174,2.6072562,1.1570345,6
175,0.9774942,3.075994,7
176,0.6616866,1.3641014,0
177,2.7056453,9.302631,1
178,1.1070454,5.482792,2
179,3.1062245,1.4559069,3
180,1.0262027,3.12199,4
181,1.6285338,6.5833693,5
182,1.7634766,2.2227283,6
183,2.2931414,2.5708704,7
184,0.71775746,2.8801198,0
185,1.5943074,4.407807,1
186,0.63175833,5.284903,2
187,4.116771,1.8774074,3
188,0.64831764,3.9638827,4
189,1.2833358,5.2211614,5
190,2.1508162,1.3900633,6
191,2.3143628,3.4600234,7
192,0.597121,1.1765242,0
193,1.2321362,5.108998,1
194,0.6204035,3.836588,2
195,0.9631722,3.6907613,3
196,2.1531324,1.2667761,4
197,1.9426789,6.939596,5
198,2.0985448,0.963807,6
199,1.7352386,2.7206945,7
200,0.6001156,3.5308213,0
201,1.2931479,5.4730134,1
202,1.6122593,6.026013,2
203,4.0726037,1.2138274,3
204,1.7841463,1.5869731,4
205,0.9971934,6.2748556,5
206,2.2887013,1.5494597,6
207,3.492304,1.0541512,7
208,0.8378004,0.99068964,0
209,3.12707,9.088411,1
210,1.0455494,6.2339187,2
211,2.6011806,2.5270686,3
212,0.67066044,2.9408684,4
213,1.9120429,6.8989563,5
214,1.3920853,0.52814335,6
215,3.2880635,1.3899559,7
216,0.91466475,1.6626966,0
217,1.4155152,7.8997664,1
218,1.3801097,6.225642,2
219,4.6409283,1.5222483,3
220,0.80760133,1.2820543,4
221,2.031286,7.6176405,5
222,1.8714036,1.8450944,6
223,2.314869,2.0926895,7
224,0.6841875,3.039247,0
225,1.1794536,4.1437845,1
226,1.0268505,5.4576187,2
227,1.7387975,0.97019106,3
228,0.7129922,1.6300921,4
229,1.3541168,3.8335156,5
230,1.2922726,3.1738105,6
231,0.724217,5.135564,7
232,0.5394859,3.86379,0
233,1.8507833,3.2457685,1
234,1.3799073,3.6675878,2
235,4.1152434,1.050691,3
236,0.97720677,1.9678642,4
237,0.729835,5.943266,5
238,1.3576503,3.6575003,6
239,0.514547,3.20838,7
240,1.3551886,1.3968906,0
241,1.6226888,4.744223,1
242,1.1316353,4.05708,2
243,4.3014293,0.63953274,3
244,0.7865677,1.9003198,4
245,2.3149278,5.207616,5
246,1.2996656,2.1814806,6
247,1.8306603,6.0265675,7
248,1.924784,0.77616185,0
249,1.1721207,1.927728,1
250,1.3859065,6.5106964,2
251,3.7281096,0.74596024,3
252,1.1994919,2.112408,4
253,1.9298482,6.678134,5
254,1.1718819,1.7295084,6
255,1.7909276,3.1025267,7
256,0.63490397,1.9306589,0
257,1.5821855,2.4141262,1
258,1.3758011,5.1623483,2
259,2.9891539,3.0881615,3
260,2.1052678,0.9191023,4
261,1.6844492,6.7146344,5
262,1.8788819,1.6348612,6
263,0.74788564,3.570201,7
264,0.8646948,0.7198742,0
265,3.1567967,5.225338,1
266,0.67928934,4.064109,2
267,4.1095395,3.5944128,3
268,1.8733524,0.31758818,4
269,1.3227608,5.818222,5
270,1.249869,1.7167295,6
271,2.3509007,1.5859681,7
272,1.5247455,1.5172697,0
273,2.2287323,6.255765,1
274,1.0862687,5.303975,2
275,5.6427917,0.64732903,3
276,0.71886075,1.832127,4
277,1.3388634,3.869239,5
278,1.1608925,2.426543,6
279,1.1091168,2.3072472,7
280,0.57956684,2.248066,0
281,2.0532012,5.1099772,1
282,1.3406879,6.4195185,2
283,4.917727,1.0741466,3
284,1.1610358,0.76453155,4
285,0.98990405,4.2096925,5
286,1.7537267,1.7631112,6
287,1.1388729,4.2997847,7
288,1.0550655,3.2405124,0
289,2.9111466,7.07191,1
290,1.1769952,6.0550146,2
291,3.0850408,1.0184506,3
292,2.003055,1.7167768,4
293,1.7551256,6.1147137,5
294,1.2220057,2.7765632,6
295,1.9536781,1.1835954,7
296,0.7736197,3.331685,0
297,1.4949734,5.4434114,1
298,0.6271627,2.6481686,2
299,4.700731,1.1196023,3
300,0.60004854,1.9940156,4
301,1.7832989,6.5785904,5
302,1.3839817,1.3989955,6
303,1.1842484,1.2507606,7
304,0.97802335,1.1224899,0
305,0.88794327,6.0532575,1
306,2.0598528,6.808468,2
307,3.4966562,1.2628107,3
308,0.38760707,5.2399836,4
309,2.3643498,4.9359612,5
310,1.8016438,1.3524889,6
311,3.4530094,1.2862663,7
312,0.63696593,1.027316,0
313,3.2861423,8.764687,1
314,0.96351737,4.057265,2
315,5.0223184,0.6267748,3
316,2.0391552,0.80046654,4
317,1.8014021,7.8444357,5
318,2.9319632,1.1687291,6
319,1.8730253,2.9123883,7
320,0.9562617,1.4079113,0
321,2.3995895,8.051273,1
322,0.9357298,5.1211333,2
323,1.7231438,1.3459878,3
324,1.0211111,2.3690014,4
325,1.5448027,6.8022866,5
