,locs0,locs1,subject
0,-1.8052762,-0.34452134,0
1,-0.19098115,-1.0569788,1
2,-1.0941323,-0.34834862,2
3,0.91429424,-1.2476628,3
4,0.03766036,-0.28173977,4
5,-1.0748737,1.4970636,5
6,-0.59581065,-0.5448303,6
7,-1.878549,0.89277893,7
8,1.238848,-1.8382105,0
9,-1.1494533,0.98950756,1
10,0.09227055,-0.23703413,2
11,1.0544043,-0.93179417,3
12,-1.9365942,-0.03585416,4
13,-0.5221803,0.17780876,5
14,-1.7645543,-1.52979,6
15,-1.3775315,0.4458487,7
16,-2.6030366,0.096797645,0
17,-0.18376496,-0.9755528,1
18,-0.07786733,1.239188,2
19,0.34059745,-2.6484149,3
20,-0.3639745,-0.9590575,4
21,-1.3129816,0.441242,5
22,-0.81603914,2.0077906,6
23,-0.107649624,0.6020497,7
24,-2.3683012,-0.13361615,0
25,-0.33158982,-0.4080743,1
26,-0.22672737,0.08415979,2
27,0.311393,-1.061182,3
28,-0.32160985,-0.38079643,4
29,-1.7708519,0.23851478,5
30,-1.1073408,1.2374244,6
31,-1.6192379,-0.23187397,7
32,0.24772793,-0.83779526,0
33,-0.5093616,-0.5270773,1
34,0.08818346,0.10659163,2
35,1.3547375,0.38553876,3
36,-1.9465292,-1.4823799,4
37,-0.5138695,0.70085084,5
38,-1.8970811,0.18245289,6
39,-0.31071186,0.20431066,7
40,-1.927033,-0.16596645,0
41,0.5030565,-0.08588621,1
42,-1.3152906,0.65209216,2
43,-1.2964208,0.496072,3
44,-0.89196223,-1.5882202,4
45,-0.84350437,0.75475866,5
46,-0.39049774,-0.6978933,6
47,0.20478177,1.7945197,7
48,-0.2954591,-1.5334432,0
49,-0.56525683,1.3632767,1
50,-0.045134246,-0.25470847,2
51,-0.9937935,-1.3936238,3
52,-2.5930815,1.164031,4
53,-1.3594685,0.101549745,5
54,-0.6357582,-1.201231,6
55,-0.52327394,0.92680395,7
56,-1.17069,-0.78531194,0
57,-0.44941503,0.20578715,1
58,-0.6834004,-1.1243292,2
59,-0.21824984,-0.84190583,3
60,-0.7238369,-1.2049289,4
61,-1.2549756,-0.42000926,5
62,-0.61887527,-1.487223,6
63,-1.6666584,1.069954,7
64,-1.8798146,-0.28241873,0
65,-0.8663098,-0.7106302,1
66,-1.2598932,0.4125703,2
67,0.45024657,0.7133059,3
68,-1.5975806,-0.5126174,4
69,-1.2366122,0.42924577,5
70,-1.0350131,-1.4746786,6
71,-1.2057314,-0.21390708,7
72,-1.3416198,-1.0072293,0
73,-0.35000944,0.6028142,1
74,-1.0580411,-1.5440632,2
75,-1.0507404,-0.7300056,3
76,-0.6102207,-0.9808366,4
77,-1.0492135,0.4280709,5
78,-2.3176546,-1.7027197,6
79,-1.6110077,-0.097817466,7
80,-0.63290906,-0.84774816,0
81,-0.91393197,0.5453304,1
82,-0.63514197,0.36707026,2
83,-0.2808377,2.0549457,3
84,-0.88586813,-0.29467344,4
85,0.34504628,2.0287175,5
86,-0.84007674,-1.1514744,6
87,-0.5991604,-0.7741593,7
88,-1.2058804,-0.054671824,0
89,-0.34502164,0.25996214,1
90,-0.45570534,0.32218277,2
91,-1.2038735,-0.6879034,3
92,-2.0984457,-0.29032648,4
93,-1.3576999,0.11092377,5
94,-0.22909147,0.24001226,6
95,-0.672581,-0.17250769,7
96,-1.525425,-1.2849097,0
97,-1.6440178,0.28654486,1
98,0.022715151,-0.7751305,2
99,0.6794882,-0.49667966,3
100,-0.60711765,-1.2585144,4
101,-1.1543485,0.5161885,5
102,-1.1607488,-0.11317924,6
103,-1.040536,-1.01102,7
104,-1.9113269,-0.6686952,0
105,-1.8213999,-0.6114267,1
106,-1.1757039,0.029823795,2
107,-1.4188565,-0.58819497,3
108,-0.42196232,-0.9629002,4
109,-0.6625308,1.433154,5
110,-0.029827356,0.6660966,6
111,-0.9350363,1.4981643,7
112,-2.4071956,-0.46631297,0
113,-0.5787464,0.52524376,1
114,-2.434247,1.7538695,2
115,-0.4865079,1.5952787,3
116,-0.3805017,-0.6314383,4
117,-1.327034,0.20968735,5
