,dec temp,habitual tendency,subject
0,0.47666556,2.7574506,0
1,2.4762826,4.168438,1
2,0.5833908,2.8186727,2
3,2.6236715,6.742642,3
4,1.4066556,1.5570753,4
5,1.7147875,5.8390903,5
6,0.72322315,6.555457,6
7,0.8110294,6.192618,7
8,0.5577075,4.3011417,0
9,3.1512568,5.2481613,1
10,0.41974562,4.547872,2
11,3.5282984,4.650199,3
12,1.3219495,0.73791146,4
13,1.5714939,8.065803,5
14,0.6029283,8.0288725,6
15,1.6686091,4.6014743,7
16,0.47146422,1.5423471,0
17,2.7997546,2.6703022,1
18,1.0255351,0.9192573,2
19,2.0989947,0.65942377,3
20,1.0880039,3.1318207,4
21,0.7101935,5.79362,5
22,2.2088146,3.6319516,6
23,0.76925147,6.909516,7
24,0.6623092,1.618507,0
25,2.0656638,2.4232798,1
26,1.1512698,2.352686,2
27,1.2553035,4.7322803,3
28,1.3718863,2.6501307,4
29,1.4340566,6.671881,5
30,0.8456794,7.952549,6
31,0.91789174,7.3141007,7
32,0.46411064,2.8448248,0
33,2.1592317,2.7288756,1
34,0.7200638,2.110896,2
35,2.05939,2.1771476,3
36,0.81689405,1.3716918,4
37,1.6109742,7.648204,5
38,1.2170608,7.6329517,6
39,1.1492277,7.0859632,7
40,1.1163527,2.1384878,0
41,2.3266234,6.461753,1
42,1.0764135,2.5792704,2
43,1.5795984,6.414254,3
44,1.1489501,0.59669363,4
45,1.85578,6.786434,5
46,3.5800579,0.7018616,6
47,1.4945589,3.681282,7
48,0.6708865,1.1785628,0
49,2.0736473,5.2721996,1
50,0.87537044,1.0173317,2
51,3.7324712,5.6554418,3
52,0.72649777,1.8993063,4
53,2.7526517,7.5811334,5
54,2.16333,1.4313399,6
55,1.8324437,6.316283,7
56,0.72905594,1.0684602,0
57,1.376682,1.4818634,1
58,1.2970877,1.3014061,2
59,2.3011312,2.9978662,3
60,1.0912576,0.6866137,4
61,1.4123644,6.6272697,5
62,2.406814,4.611211,6
63,1.7050257,3.0342972,7
64,0.44259575,1.1086345,0
65,1.4901537,2.9718232,1
66,0.7465419,1.3220865,2
67,0.98207206,5.0773363,3
68,0.9367094,1.1895682,4
69,0.5069286,4.761251,5
70,0.6742459,3.3016598,6
71,0.67346525,8.128151,7
72,0.35653913,3.3960981,0
73,2.392442,3.5298564,1
74,0.93820083,0.57210225,2
75,3.1117299,3.987894,3
76,1.1933864,0.82434714,4
77,1.3472197,5.596428,5
78,1.6918117,4.985061,6
79,2.2043564,3.7760103,7
80,0.6042148,0.9319535,0
81,3.55804,4.808292,1
82,1.1211848,1.5001218,2
83,1.3037897,2.1747515,3
84,1.3195376,2.0691032,4
85,0.7094925,5.1347437,5
86,1.2170477,4.6023016,6
87,2.2301536,2.667682,7
88,0.6957126,1.6303365,0
89,3.8523312,6.625879,1
90,0.8749318,1.9061702,2
91,1.1332324,5.434332,3
92,1.4866238,1.0039023,4
93,0.49167895,7.899094,5
94,0.97105974,3.7426715,6
95,2.9873464,3.7798953,7
96,0.5817882,3.017528,0
97,1.6103238,5.083205,1
98,0.926008,2.697825,2
99,4.3193693,2.1488001,3
100,0.77232987,1.7746593,4
101,0.46932414,4.7787256,5
102,1.5331662,3.6677384,6
103,0.8063608,6.6922274,7
104,0.634166,0.70775956,0
105,3.5333273,5.108938,1
106,0.95799994,1.2079688,2
107,3.443912,0.76269275,3
108,1.796597,0.80567175,4
109,0.4315302,6.436694,5
110,1.1763457,4.7867813,6
111,1.5792415,3.530381,7
112,0.5250027,2.3009727,0
113,3.3331456,4.325965,1
114,0.65630025,1.1573,2
115,1.4478495,2.4423192,3
116,0.5765856,2.5732567,4
117,1.4664358,6.6706705,5
118,0.88774145,3.6582546,6
119,0.78736854,4.953209,7
120,0.65197057,0.7174643,0
121,0.9577224,4.6392193,1
122,0.74797773,1.5356028,2
123,2.7818325,3.1396298,3
124,1.5113649,0.6358527,4
125,1.636669,6.0559635,5
126,1.7935643,1.8169545,6
127,2.8495944,1.7242014,7
128,0.5607683,3.064716,0
129,3.6441314,7.1345115,1
130,0.74765056,0.65186566,2
131,2.4819815,6.839623,3
132,1.8010069,0.96208805,4
133,0.5207238,6.5095387,5
134,1.4858091,6.5313363,6
135,1.4196552,3.3641486,7
136,0.7133348,2.126444,0
137,1.6054623,2.8432336,1
138,1.457717,1.1801667,2
139,2.332609,1.3563285,3
140,0.8287313,2.2093024,4
141,0.9405318,5.9162197,5
142,1.290663,6.7832947,6
143,1.6643853,1.365,7
144,0.5067511,1.4857323,0
145,2.4521835,6.5409536,1
146,1.1937884,0.80036336,2
147,1.7477888,1.7665715,3
148,1.0767248,3.2294927,4
149,1.6167777,5.539033,5
150,0.8342011,5.5415773,6
151,2.2576306,6.698004,7
152,1.5342891,0.6445158,0
153,3.127558,5.6312494,1
154,1.0088072,1.2355922,2
155,1.9575201,3.5550957,3
156,0.88444954,2.1706805,4
157,0.8199841,6.2050686,5
158,1.2053387,3.9472585,6
159,1.1814927,4.1813927,7
160,0.7111114,0.8162218,0
161,1.3123097,6.251667,1
162,0.9637308,3.9691281,2
163,2.524055,6.853901,3
164,1.7161869,0.46496037,4
165,1.843188,6.7860355,5
166,0.8749768,5.42149,6
167,1.3371015,7.8534517,7
168,0.5356019,1.5428915,0
169,2.1273718,4.5694356,1
170,0.7049909,1.9121852,2
171,3.8301153,2.8563762,3
172,0.55748415,1.4053298,4
173,0.94840825,6.9183645,5
174,1.2942014,2.959461,6
175,0.99627703,4.0912447,7
176,0.47306237,0.9075764,0
177,3.3460734,7.259984,1
178,0.82241404,0.8953696,2
179,4.8316584,0.70557153,3
180,0.35568777,2.7031515,4
181,1.4910326,5.4487715,5
182,0.66808134,2.8827243,6
183,0.6809229,4.9188056,7
184,0.43574995,2.2547135,0
185,2.1386387,7.5574875,1
186,0.7679986,1.1181996,2
187,1.2977452,2.1861796,3
188,1.0471554,0.82510996,4
189,0.82738155,7.2904086,5
190,1.8738749,4.7767396,6
191,0.90815187,3.9509737,7
192,0.5239611,2.5225205,0
193,3.3198476,6.0099983,1
194,0.97870344,2.0022864,2
195,1.0760603,2.9492078,3
196,1.2199321,2.7770429,4
197,1.0483739,6.1545224,5
198,1.0364498,4.1117024,6
199,0.79926336,7.485036,7
200,0.9233921,0.8560473,0
201,2.75595,4.9640727,1
202,0.91079473,1.7474744,2
203,2.2210314,1.8416412,3
204,0.7825259,1.2306331,4
205,1.4819913,8.100004,5
206,0.7429503,7.470461,6
207,2.6290402,6.041726,7
208,0.4821614,3.3468416,0
209,3.4188442,3.4195735,1
210,0.80627084,1.2572381,2
211,1.7283764,2.3364825,3
212,0.85212755,1.728075,4
213,1.3044195,6.548329,5
214,1.5102084,1.6278238,6
215,1.4507387,2.862325,7
216,0.631809,1.6211474,0
217,3.415924,7.9053664,1
218,0.9976676,1.9495012,2
219,2.265767,5.613824,3
220,1.5120294,3.1764364,4
221,1.7441546,8.194609,5
222,1.8467252,2.1686954,6
223,1.3901441,1.516449,7
224,0.3936749,3.4636154,0
225,1.6323334,7.9580264,1
226,0.80165493,1.6185688,2
227,1.1136131,6.3573294,3
228,1.8558325,2.8770533,4
229,1.38034,7.5764947,5
230,1.7450054,3.4451165,6
231,0.92642736,3.4405968,7
232,0.5353513,2.2669468,0
233,1.7669063,8.329514,1
234,0.8752259,1.3175323,2
235,1.1396586,5.510086,3
236,1.1064267,0.7317653,4
237,0.8062876,4.885634,5
238,2.2556245,4.463825,6
239,2.453236,2.121686,7
240,0.6547905,2.1950247,0
241,2.314789,3.2665298,1
242,0.7426372,3.502793,2
243,4.276972,1.427961,3
244,1.6200736,0.5471754,4
245,0.8139337,4.808818,5
246,2.0455027,2.5788455,6
247,1.7115963,6.3868027,7
248,0.7394458,1.34906,0
249,2.8936543,6.5917306,1
250,1.3752974,0.40886196,2
251,1.3875974,6.170575,3
252,2.3882089,0.66919017,4
253,0.5552623,4.5444403,5
254,1.3213477,6.8510795,6
255,1.532024,6.095023,7
256,0.8868803,1.3449858,0
257,2.088751,6.822615,1
258,1.0643976,2.1005752,2
259,1.4254059,3.7829976,3
260,1.1417243,2.0411494,4
261,0.7254101,6.2058764,5
262,1.0266434,7.1202145,6
263,1.9880223,5.2294693,7
264,0.68662316,1.1647986,0
265,3.0920339,5.741501,1
266,0.7840922,1.113932,2
267,1.6451479,2.5798688,3
268,1.8180621,1.2080945,4
269,2.105909,7.386488,5
270,1.0291897,4.339034,6
271,0.77664524,3.9709468,7
272,0.5214299,1.7215937,0
273,1.5209606,4.894666,1
274,0.84015036,0.7609589,2
275,1.0377367,6.774831,3
276,0.3389734,3.7608383,4
277,0.586478,6.6933355,5
278,1.1547884,5.5841637,6
279,1.693438,7.932041,7
280,0.75256383,1.0353556,0
281,0.72499526,1.3151954,1
282,0.9603336,0.95898557,2
283,4.091875,0.53848004,3
284,0.97458595,0.8045462,4
285,1.1848999,5.1903844,5
286,1.1950384,2.0814528,6
287,2.8233826,3.9144673,7
288,0.8379212,1.2848277,0
289,1.7464247,3.8584673,1
290,0.54279196,3.444613,2
291,1.6622953,4.4667344,3
292,1.6246122,1.306877,4
293,0.98231083,6.4826303,5
294,1.9592974,2.5739527,6
295,1.2035035,7.4962406,7
296,0.726988,1.8804297,0
297,1.8376126,3.707183,1
298,1.4506799,0.69630533,2
299,4.0225105,2.4456391,3
300,0.33400708,4.6152897,4
301,0.8172214,7.3999763,5
302,0.951051,4.346103,6
303,0.99494755,6.6346455,7
304,0.626328,1.8969029,0
305,1.6267171,2.3628945,1
306,0.6695426,2.3074944,2
307,1.38078,6.624005,3
308,1.4093632,1.9592332,4
309,1.2589341,6.313713,5
310,1.2817591,4.0424833,6
311,1.8428533,3.6142735,7
312,0.6986907,1.0533764,0
313,2.537472,5.361302,1
314,1.1916904,3.6216257,2
315,4.125213,1.9996405,3
316,0.9736795,1.4640237,4
317,0.6735704,5.571379,5
318,1.2067673,4.5929084,6
319,2.3801322,6.198458,7
320,0.5480122,1.9020058,0
321,2.0769851,3.3207428,1
322,0.790094,3.7784958,2
323,2.6178532,1.4682405,3
324,1.0670979,1.7872372,4
325,1.0433755,5.174979,5
326,2.524848,2.3208787,6
327,1.0033121,5.5978727,7
328,0.77342683,2.6069846,0
329,1.1653926,7.8471823,1
330,1.5982485,1.7417592,2
331,2.5776384,3.1770613,3
332,1.2019973,1.9970702,4
333,0.40917766,6.3649945,5
334,1.4978888,8.038545,6
335,0.445613,5.436337,7
336,0.86433864,0.92786646,0
337,3.4870777,4.9360943,1
338,1.1162574,1.3386974,2
339,3.4025848,0.6968412,3
340,1.3853539,1.4106435,4
341,0.37525776,4.6464224,5
342,1.0359364,6.600735,6
343,1.3862895,5.280217,7
344,0.8063567,1.4556099,0
345,2.7817855,5.8275084,1
346,0.6812204,2.933252,2
347,2.4010775,4.528021,3
348,1.4059734,0.871268,4
349,0.7398054,3.5065227,5
350,0.8891315,3.2905498,6
351,2.5419998,3.7490938,7
352,0.6676601,2.637525,0
353,2.0995505,4.209409,1
354,1.5024327,1.215423,2
355,1.2300943,6.584292,3
356,0.7441246,5.1177855,4
357,0.71725696,3.1018484,5
358,0.9290929,6.8050313,6
359,2.1059155,2.965383,7
360,0.93277895,1.0364559,0
361,3.1285074,3.2599888,1
362,1.6336595,1.3879122,2
363,4.6231647,2.0436766,3
364,1.1589624,0.5363139,4
365,1.4435505,7.9422445,5
366,1.5007601,4.0273876,6
367,2.2814848,7.3679566,7
368,0.58185774,1.5376686,0
369,1.9827932,3.9693513,1
370,0.975239,0.9153738,2
371,3.2115963,3.7131476,3
372,1.0693668,1.5846722,4
373,0.9784997,6.782994,5
374,1.1984239,2.5274744,6
375,1.7020414,2.5936084,7
376,0.8671889,1.5475795,0
377,2.0745444,2.306592,1
378,1.2933786,1.9642376,2
379,1.7737331,5.374598,3
380,0.8301054,3.1895962,4
381,1.390975,7.058898,5
382,0.64796174,5.929098,6
383,1.2399797,4.5867167,7
384,0.99785495,0.66537315,0
385,1.282932,5.770624,1
386,1.074976,1.0711111,2
387,1.8748913,4.322129,3
388,1.4953592,1.3165885,4
389,0.8856987,6.470482,5
390,1.2077967,3.0071754,6
391,1.6954913,3.246175,7
392,0.23691082,5.463531,0
393,3.2359657,4.733469,1
394,0.69135296,3.3196473,2
395,1.0156549,1.3614963,3
396,1.5072451,0.8676218,4
397,0.6160035,4.721845,5
398,1.8301952,5.1899157,6
399,1.144707,3.6820471,7
400,0.50757617,2.360346,0
401,1.7749677,5.732899,1
402,1.1691101,1.1269245,2
403,3.0046368,3.4599977,3
404,1.2732995,2.057962,4
405,0.7172347,7.8016434,5
406,1.3981075,4.423555,6
407,2.2188892,3.3135102,7
408,0.70698893,0.8330647,0
409,1.7546071,3.5354085,1
410,0.5583518,3.1097283,2
411,0.8671428,3.3149574,3
412,1.2705307,0.5361562,4
413,1.0359119,6.5743656,5
414,2.406624,3.212476,6
415,1.4106076,7.3551426,7
416,0.6844908,0.92218906,0
