,locs0,locs1,subject
0,-0.52899766,0.95718914,0
1,-1.7314087,-1.6956084,1
2,-1.5560622,-0.19495487,2
3,0.3425728,-1.6169467,3
4,-1.4839474,-1.9593432,4
5,-0.45808148,-0.56331116,5
6,-1.9712679,-1.4020805,6
7,-1.4099429,0.7212722,0
8,-1.9513859,-0.19912088,1
9,-1.6970528,-1.631702,2
10,-2.4697936,-1.0098518,3
11,-1.1351645,-1.6188953,4
12,-0.3245132,-1.5259995,5
13,-2.3815744,-1.1351029,6
14,-1.9165065,0.36818802,0
15,-1.8262892,-1.6205047,1
16,-2.231819,-0.28448808,2
17,-1.1747065,-1.0400352,3
18,-2.109993,-0.72117263,4
19,-3.190179,-0.6383386,5
20,-1.8322365,-0.7103894,6
21,-1.2276303,0.38176978,0
22,-2.3567743,-2.7402573,1
23,-0.9022136,-2.0041277,2
24,-1.6672786,-1.2356951,3
25,-2.0989285,-1.0175171,4
26,-0.08452535,-0.96481436,5
27,-1.6893578,-0.16054368,6
28,-2.0785997,0.68882823,0
29,-1.1104093,-1.4614784,1
30,-1.341815,-2.2180028,2
31,-1.4203037,-1.9967098,3
32,-1.667921,-1.4761742,4
33,-3.5812998,-0.32943183,5
34,-1.874123,-0.42548406,6
35,-1.7770909,0.39348596,0
36,-1.863115,-0.73497254,1
37,-1.2996808,-2.061677,2
38,-3.813538,0.04641497,3
39,-2.7492208,-0.27033782,4
40,-2.8635292,-0.72335273,5
41,-0.9541281,-2.3522913,6
42,-1.5214893,0.7038698,0
43,-1.8736726,-1.8078063,1
44,-2.0596294,-2.4800823,2
45,-1.2449207,-1.4969304,3
46,-1.9271688,-1.5301585,4
47,-2.2904649,-1.016027,5
48,-2.151659,-0.98171675,6
49,-1.3808757,0.93721527,0
50,-2.3022099,-1.4296933,1
51,-1.5906874,-0.67689896,2
52,-2.137478,0.014383435,3
53,-1.4210602,-3.2000704,4
54,-2.9773884,-0.45066726,5
55,-2.4529302,-0.6440431,6
56,-1.4742513,0.22767639,0
57,-1.8127302,-1.4803841,1
58,-2.065638,-0.5264188,2
59,-1.605377,-1.2254204,3
60,-1.5307442,-2.41033,4
61,-2.8632946,-1.3709288,5
62,-2.180218,-0.5457619,6
63,-1.2224536,1.521872,0
64,-1.9498277,-1.2248062,1
65,-1.3301356,-1.8066885,2
66,-1.4564264,-1.1944506,3
67,-1.5931606,-0.50950634,4
68,-1.4941623,-0.8226897,5
69,-1.8948586,-0.15015745,6
70,-0.9415097,1.6715333,0
71,-1.21456,-1.0039458,1
72,-1.4725876,-0.8331778,2
73,-0.9175555,-1.2446738,3
74,-2.2861178,0.19722176,4
75,-1.6716483,-1.085348,5
76,-1.4113497,-2.0965002,6
77,-1.173152,0.3504411,0
78,-1.0005512,-0.18276274,1
79,-2.307352,-1.5565464,2
80,-1.613003,-1.4019849,3
81,-1.8990403,-3.5078456,4
82,-0.80353224,-1.3986106,5
83,-1.3254452,-2.5864344,6
84,-0.629956,2.9483788,0
85,-1.9062257,-1.213455,1
86,-2.699522,-0.90609896,2
87,-1.598318,-0.9622557,3
88,-2.767572,-2.013332,4
89,-1.6929193,-0.70947546,5
90,-1.3506367,-1.3936045,6
91,-0.97598195,1.2258077,0
92,-2.0626616,-1.0445186,1
93,-1.945051,-1.0851333,2
94,-1.1671884,-1.6334023,3
95,-1.1219466,-2.2640433,4
96,-2.0366888,-1.9304727,5
97,-1.6811674,-0.35252786,6
98,-1.3098694,0.3299867,0
99,-2.0256052,-1.5118704,1
100,-1.7944977,-1.0507605,2
101,-3.2777693,-1.740761,3
102,-2.1517925,-1.5642576,4
103,-0.6018604,-1.2024127,5
104,-1.3855478,-1.5116496,6
105,-2.1417248,0.1698631,0
106,-1.8849154,-1.5161278,1
107,-1.6546979,-2.354251,2
108,-2.934157,-0.8285183,3
109,-1.8303337,-1.3499863,4
110,-1.6535609,-0.73583084,5
111,-1.4359444,-0.44131768,6
112,-1.5713928,0.28192002,0
113,-1.8705003,-1.367397,1
114,-2.188268,-1.5672468,2
115,-1.0125288,-1.8036268,3
116,-2.1769276,-0.94796515,4
117,-1.5129293,-1.7455826,5
118,-1.8767474,-0.8892059,6
119,-1.5509454,-0.23865551,0
120,-1.6216378,-0.11989784,1
121,-1.0488508,-1.9717369,2
122,-3.222385,-1.1629145,3
123,-1.3435713,-2.9390554,4
124,-2.6416886,-1.0632994,5
125,-1.5419589,-1.0245492,6
126,-1.8081465,0.03284794,0
127,-1.845563,-1.9587195,1
128,-2.2067358,-0.9065987,2
129,-1.5478079,-1.1273162,3
130,-2.2392092,-0.39095628,4
131,-1.7974138,-0.9418917,5
132,-1.433745,-1.3359269,6
133,-1.6985478,0.08312976,0
134,-2.2737768,-1.259575,1
135,-1.4270971,-1.4849149,2
136,-1.5904663,-1.5590975,3
137,-1.0043669,-0.39350617,4
138,-0.8811998,-1.0789896,5
139,-1.5793539,-1.3184872,6
140,-1.140524,1.0191208,0
141,-1.7491417,-0.13372505,1
142,-1.7594444,-1.1943496,2
143,-1.6945509,-0.5878359,3
144,-1.6634911,-0.21546757,4
145,0.38052523,-1.3842483,5
146,-2.331795,-0.9281839,6
147,-1.2937422,1.1253537,0
148,-1.5189583,-1.7306745,1
149,-1.9124154,-1.68686,2
150,-2.332924,-0.87445766,3
151,-1.5644529,-2.0529058,4
152,-2.6607776,-0.8584845,5
153,-2.18533,-2.8195024,6
154,-1.4956899,0.73640794,0
155,-1.7273098,-1.938206,1
156,-1.8122878,-1.3002851,2
157,-4.2382803,-0.93060297,3
158,-1.4875628,-1.9995577,4
159,-0.78612447,-0.4651078,5
160,-1.6756874,-0.9563843,6
161,-1.3650445,-0.010623813,0
162,-1.3358808,0.088900685,1
163,-1.0308769,-2.0568202,2
164,-0.49148703,-0.9426406,3
165,-1.5482693,-1.7321172,4
166,-1.6418363,-0.9288022,5
167,-2.2216773,-0.4812079,6
168,-1.5895154,1.2293712,0
169,-1.9065074,-2.9670913,1
170,-2.5864396,-0.61243856,2
171,-2.6202364,-1.2519159,3
172,-1.4500833,-1.5942764,4
173,-0.46583056,-1.6285751,5
174,-0.8007212,-0.19735825,6
175,-1.3850298,1.2019196,0
176,-2.0915883,-0.9309044,1
177,-0.9915201,-2.974304,2
178,-0.6424453,-1.4648564,3
179,-2.1189926,-1.8290634,4
180,-0.56678534,-0.7618154,5
181,-1.219563,-2.031372,6
182,-1.403417,0.4831964,0
183,-0.98185134,-1.7894442,1
184,-2.2074125,-1.3926839,2
185,-1.4043007,-1.5738761,3
186,-1.4361489,-1.0060928,4
187,-1.26359,-1.5300653,5
188,-0.87335885,-1.1127524,6
189,-1.813439,0.6654536,0
190,-1.220504,-1.2253904,1
191,-0.9832887,-1.6407319,2
192,-2.4580936,-1.0140047,3
193,-0.9394798,-1.7425976,4
194,-1.9908903,-1.0884861,5
195,-1.6888837,-0.8417197,6
196,-0.7075214,0.9763374,0
