,dec temp,habitual tendency,subject
0,1.109369,5.8487463,0
1,0.73136985,1.5187712,1
2,1.086964,1.4300603,2
3,0.29315326,1.553505,3
4,0.7157494,1.5011464,4
5,0.37689644,2.4678156,5
6,1.5796189,1.420646,6
7,0.88525057,7.081552,0
8,0.856404,1.6042017,1
9,0.7954428,1.0141615,2
10,0.78317875,1.1812476,3
11,1.0767395,0.9887979,4
12,0.39388034,3.3685455,5
13,1.0403366,2.1656098,6
14,0.9376297,6.4337597,0
15,0.7666942,1.7055371,1
16,0.8832413,2.1958847,2
17,0.3603006,1.1650127,3
18,0.556872,2.2730255,4
19,0.40425158,2.6190324,5
20,1.886415,1.3458837,6
21,1.4178704,5.3108244,0
22,0.828721,2.027544,1
23,1.6162598,0.84015185,2
24,0.4638626,1.4732946,3
25,1.1863292,1.3837209,4
26,0.5984259,4.171815,5
27,2.2451515,1.5712814,6
28,1.4976119,5.850842,0
29,0.5904253,1.4664351,1
30,0.97033453,0.7834555,2
31,0.3458215,1.7889202,3
32,1.1352493,1.8494028,4
33,0.40017214,2.7558076,5
34,1.0725313,2.4163582,6
35,1.6195058,4.6324444,0
36,0.60811085,1.5004542,1
37,1.0853624,0.5561213,2
38,0.36841977,2.30563,3
39,0.95916367,1.2613584,4
40,0.3608411,1.0064696,5
41,1.4239634,2.3587806,6
42,0.95638716,5.2576947,0
43,0.5527008,2.294476,1
44,0.70373386,0.9812364,2
45,0.5290947,1.2894771,3
46,1.2235887,1.1567878,4
47,0.2937905,3.3155177,5
48,2.356043,0.91783845,6
49,0.89413714,5.627504,0
50,0.9914151,1.5767593,1
51,0.44311833,3.069843,2
52,0.31610256,1.2039744,3
53,0.8064073,1.5200586,4
54,0.6967746,4.742291,5
55,1.0169704,2.8574495,6
56,1.2093388,5.161975,0
57,0.99854076,0.5035884,1
58,0.67897296,2.0183344,2
59,0.28546923,2.0553823,3
60,0.7340252,2.317085,4
61,0.48263085,3.0917668,5
62,1.4566212,2.138817,6
63,1.0463129,4.9892774,0
64,0.7443169,2.398645,1
65,0.80264914,1.5655457,2
66,0.35230988,2.5085616,3
67,1.0016861,2.0220172,4
68,0.27689084,1.5838673,5
69,1.7775406,0.9639766,6
70,1.106328,7.781707,0
71,1.0804081,0.63732177,1
72,0.5696387,2.3168576,2
73,0.5135534,1.7092134,3
74,0.4765699,1.4644849,4
75,1.0469835,3.1587138,5
76,0.92080986,1.1347346,6
77,1.4206343,6.622242,0
78,0.8354862,0.7263117,1
79,0.6925815,2.125335,2
80,0.25612763,1.7527108,3
81,0.97224927,1.8379687,4
82,0.533363,3.3650403,5
83,1.3540053,1.2626357,6
84,1.7230223,7.0463333,0
85,0.62055564,2.6947756,1
86,0.50772166,2.274003,2
87,0.6497152,1.3530693,3
88,1.270009,0.83734035,4
89,0.47389016,3.2988672,5
90,1.9446955,0.659068,6
91,1.2994498,4.438719,0
92,0.68839675,1.2066809,1
93,0.37808794,2.4915054,2
94,0.3434427,1.4978038,3
95,0.6595207,2.780734,4
96,0.45956838,3.4733894,5
97,1.6429951,0.80889195,6
98,0.92601573,4.5435524,0
99,0.60896295,1.8963954,1
100,1.0929008,1.0807302,2
101,0.3311683,1.3657993,3
102,0.860284,1.5000278,4
103,0.3852373,1.9836502,5
104,0.9147699,1.870969,6
105,1.7320504,7.502008,0
106,1.1529946,1.6234558,1
107,0.82938844,2.7831583,2
108,0.5849909,1.6784215,3
109,0.91398156,2.0954287,4
110,0.53324413,3.6601307,5
111,2.205026,0.5942037,6
112,1.4418484,5.1947446,0
113,0.77752703,1.3417841,1
114,0.9285877,0.7870091,2
115,0.20237641,1.9449185,3
116,0.41385832,2.3318875,4
117,0.49040183,2.5801303,5
118,1.6694636,1.7015098,6
119,0.80976784,2.4950907,0
120,0.5895924,2.2108848,1
121,2.0412655,0.36485004,2
122,0.27636784,1.0848536,3
123,0.82435846,0.6181997,4
124,0.6230413,3.8913918,5
125,0.80545396,3.223809,6
126,2.3972635,7.83947,0
127,0.97998744,1.3687196,1
128,1.0332073,1.9929351,2
129,0.27732244,1.9878302,3
130,0.6939163,3.9746633,4
131,0.34697235,1.5967923,5
132,0.6074822,1.8606819,6
133,2.3791995,7.016642,0
134,0.5437298,2.2273903,1
135,1.1143031,1.1180515,2
136,0.46466947,1.8289423,3
137,1.0468743,1.5768216,4
138,0.47348395,2.9635713,5
139,0.8095246,2.7617035,6
140,1.8269974,7.343698,0
141,0.61580133,1.9837649,1
142,0.9226165,1.5764152,2
143,0.29968688,1.4615963,3
144,1.0627457,1.8600835,4
145,0.26059288,2.725019,5
146,1.2961214,1.8959358,6
147,2.2252493,6.813741,0
148,0.93240654,2.0869431,1
149,0.99969685,1.7107236,2
150,0.17983818,1.8902874,3
151,0.93250513,0.8366885,4
152,0.4990425,2.241289,5
153,2.1197686,0.7667271,6
154,1.2594177,4.80161,0
155,0.538507,1.3059233,1
156,1.8933867,0.6470671,2
157,0.39402694,2.0699148,3
158,0.86882186,1.4076777,4
159,0.79842794,5.176821,5
160,1.1680315,2.164001,6
161,1.3821135,4.1292753,0
162,0.62176067,1.752861,1
163,0.64635694,3.1302538,2
164,0.3205678,3.7027745,3
165,0.6833833,1.1571897,4
166,0.45100287,2.9049494,5
167,1.1078968,0.83377475,6
168,1.1789217,5.8544965,0
169,0.6447644,1.6393564,1
170,0.7812869,1.8778335,2
171,0.3755784,2.8833756,3
172,1.1406639,0.49514845,4
173,0.32176256,3.4885552,5
174,1.0072976,2.6218033,6
175,1.6453391,7.5385833,0
176,0.7184357,0.88972306,1
177,0.9923407,1.682278,2
178,0.500217,1.1289678,3
179,0.8190123,2.390345,4
180,0.25148413,2.8399122,5
181,0.4646598,2.7895207,6
182,2.0778546,7.985984,0
183,0.88960713,1.3233339,1
184,1.5831196,0.7396629,2
185,0.57736194,0.8712337,3
186,0.8185112,1.2595594,4
187,0.38182688,3.3220232,5
188,0.7824875,2.2352984,6
189,1.8903642,8.194117,0
190,0.6815641,1.1263468,1
191,0.540003,2.254408,2
192,0.39829826,2.0809522,3
193,0.69479704,1.6334155,4
194,0.5516217,5.6404095,5
195,2.9796994,0.25380883,6
196,2.5114336,7.762512,0
197,0.80797404,2.1787276,1
198,0.6011777,2.2382479,2
199,0.44601265,1.7453886,3
200,1.4055728,0.368368,4
201,0.49295408,3.3660483,5
202,1.2000431,1.6430943,6
203,2.147641,4.277993,0
204,0.8338291,2.1300173,1
205,1.2265308,0.9243435,2
206,0.3478718,1.8266506,3
207,0.94578207,0.87325245,4
208,0.40865305,3.625638,5
209,2.0276766,1.2802659,6
210,0.9316479,5.092511,0
211,0.7980103,0.6891451,1
212,1.2748827,0.77845263,2
213,0.42777058,1.8332063,3
214,0.94443375,1.8934499,4
215,0.22616684,1.5228814,5
216,1.0606697,2.0714753,6
217,0.87236696,7.5915995,0
218,0.587385,1.3137975,1
219,0.75538105,1.3979553,2
220,0.38934764,1.3082008,3
221,0.9137216,1.5516918,4
222,0.3423682,3.4904952,5
223,0.9531064,1.2466147,6
224,1.7699958,7.8472385,0
225,0.83149064,1.8401719,1
226,1.0474238,1.2527022,2
227,0.35675943,0.65765905,3
228,0.5506195,1.71435,4
229,0.69091594,3.3262148,5
230,1.0544561,1.6994729,6
231,1.5818907,7.1291656,0
232,0.50052327,1.9726341,1
233,1.2869892,1.0225714,2
234,0.29237348,1.3768833,3
235,0.95028013,1.6548779,4
236,0.5199899,4.739276,5
237,1.0104268,1.9469256,6
238,2.4782615,7.0231624,0
239,1.1501834,0.44195142,1
240,0.63642865,1.6497824,2
241,0.37276775,1.2041956,3
242,0.81276965,1.6433705,4
243,0.3165324,3.12053,5
244,1.6345798,3.1128452,6
245,1.9222844,6.0198717,0
246,0.68906003,2.970491,1
247,0.7161354,2.7334344,2
248,0.5284413,0.6857157,3
249,0.8674779,2.2111096,4
250,0.25358602,2.6616502,5
251,1.5363683,1.9026814,6
252,1.563769,4.897318,0
253,1.0651419,0.7161748,1
254,1.2497498,1.0474756,2
255,0.31295848,1.7253863,3
256,1.256645,0.48146906,4
257,0.53622866,2.548554,5
258,0.819263,3.6171026,6
259,1.482012,7.28969,0
260,0.79234624,1.1313955,1
261,1.0109868,1.8961502,2
262,0.36069277,2.1584942,3
263,1.0495735,0.74929243,4
264,0.90022695,2.5510793,5
265,1.5224881,1.2395169,6
266,1.1918304,4.522467,0
267,0.7072357,2.2761145,1
268,1.2247623,0.86916053,2
269,0.5468093,2.0578997,3
270,0.7282566,1.6507697,4
271,0.49595404,4.649388,5
272,1.2670547,0.62492675,6
273,0.91183954,6.316047,0
274,0.48507866,1.4065156,1
275,1.3486995,0.5687306,2
276,0.456339,2.10165,3
277,0.8541851,1.273089,4
278,0.45896792,3.1119804,5
279,1.5585853,1.5517424,6
280,1.0084553,5.6102076,0
281,0.66694844,1.4983683,1
282,1.0616078,0.82740724,2
283,0.3685087,1.8329303,3
284,1.5552232,0.38712528,4
285,0.4123391,2.85025,5
286,1.1161581,1.1393838,6
287,1.6421766,7.809619,0
288,0.84416914,3.0948367,1
289,0.9712526,2.1775725,2
290,0.2703568,1.4826698,3
291,0.6712054,2.4311373,4
292,0.37021744,1.9655715,5
293,1.7756861,1.6064725,6
294,1.2853981,6.6531076,0
295,0.7678977,1.0928649,1
296,0.65859485,1.7126203,2
297,0.22492525,0.97623384,3
