,locs0,locs1,subject
0,-2.6612298,-1.0658119,0
1,-1.9318457,-1.1159871,1
2,0.47188106,-0.42967606,2
3,0.31893522,-1.4937645,3
4,-2.9216127,-0.5157784,4
5,-2.4130583,-1.9620278,5
6,-1.3892672,-1.3337927,6
7,-2.0683942,-0.6238948,0
8,-1.6225703,-0.106561564,1
9,-0.51641387,-0.3648978,2
10,0.22968125,-1.5823535,3
11,-3.7192392,-1.6512685,4
12,-2.6731105,-1.1205406,5
13,-1.7810631,-0.0021167397,6
14,-1.9033139,-1.0797427,0
15,-2.4524293,1.2874256,1
16,-1.2294439,-0.83777297,2
17,-0.8940995,-0.84236693,3
18,-3.1624677,-1.054205,4
19,-2.3805997,-1.474223,5
20,-1.8649265,-0.26963004,6
21,-1.862192,-0.9749832,0
22,-1.958327,-1.0471221,1
23,0.16592738,0.44016466,2
24,0.07859851,-0.9987431,3
25,-3.8076777,-1.3317915,4
26,-2.7008615,-1.6513588,5
27,-1.0739338,-1.4975293,6
28,-2.1601868,-2.3117528,0
29,-2.4964132,-0.13193052,1
30,0.3070424,-1.3699597,2
31,0.12224351,-0.60637766,3
32,-4.202859,-2.5788324,4
33,-2.644924,-1.4847301,5
34,-2.0414367,-0.09878749,6
35,-2.109333,0.040729284,0
36,-1.3251991,0.09761815,1
37,-1.4630878,-0.6543125,2
38,0.27278984,-0.62457746,3
39,-3.8154485,-1.9489096,4
40,-2.4831173,-1.3516505,5
41,-1.3332897,-0.25246662,6
42,-1.8645155,-0.9776803,0
43,-1.7783297,-0.89210755,1
44,-0.30846524,0.48803732,2
45,0.2655438,-2.0215163,3
46,-2.1636777,-1.0224688,4
47,-2.3329628,-1.6763711,5
48,-1.5731351,-0.6164978,6
49,-1.444485,-1.2129153,0
50,-1.970005,-1.0342306,1
51,-0.66454744,-1.0531315,2
52,-0.22033168,-1.3245512,3
53,-3.531043,-2.3547134,4
54,-2.133106,-1.5192535,5
55,-1.0853115,-0.1783328,6
56,-1.2024865,-1.0179878,0
57,-1.900144,0.93634933,1
58,-0.095909745,-0.19011244,2
59,1.0312011,-1.5568107,3
60,-4.101155,-2.2307944,4
61,-2.3820672,-1.1961516,5
62,-1.2692068,-0.65200734,6
63,-1.1364641,-1.5632429,0
64,-2.0888042,0.5121353,1
65,-1.021836,-0.092399985,2
66,0.5006515,-0.48331332,3
67,-3.2894502,-1.0077554,4
68,-2.1547894,-1.107938,5
69,-1.2822745,-0.9032094,6
70,-1.8367782,-1.4840608,0
71,-2.4027214,-0.3843038,1
72,-1.0410197,-0.21028477,2
73,0.35219592,-0.6664069,3
74,-2.7924757,-0.7485645,4
75,-2.0862308,-1.8239957,5
76,-1.0971215,-0.58066624,6
77,-1.5731229,-0.21236026,0
78,-1.6123067,-0.75952184,1
79,-1.8527261,-0.35834217,2
80,0.2892658,-1.4607812,3
81,-2.3181515,0.15714514,4
82,-2.579053,-1.9557256,5
83,-0.77032113,-0.99144745,6
84,-2.238337,-1.1227331,0
85,-1.7357029,1.2569157,1
86,-0.64313877,-0.33791047,2
87,0.74139893,-1.3293805,3
88,-3.4182863,-1.2990217,4
89,-2.1991456,-1.7146202,5
90,-1.63248,-1.33512,6
91,-1.7700105,-1.1102096,0
92,-2.6827319,0.33968967,1
93,0.18789658,-0.29363692,2
94,0.65179163,-0.76147586,3
