,dec temp,habitual tendency,subject
0,6.9347687,1.1264087,0
1,0.31552318,4.3873262,1
2,1.6112518,3.2985697,2
3,0.9865768,2.3051503,3
4,0.9865085,5.0157743,4
5,5.3889203,1.6138899,5
6,1.5462404,1.8871126,6
7,0.6758498,4.533834,0
8,4.640456,2.0933475,1
9,1.9237065,3.8972023,2
10,1.588415,2.1914818,3
11,1.8373175,3.6949852,4
12,3.8214328,1.5341581,5
13,4.935235,1.8366776,6
14,1.0963088,5.9666576,0
15,1.0851525,5.5217323,1
16,0.6590265,4.3029127,2
17,1.5609267,1.0206753,3
18,1.3363307,2.0897887,4
19,3.0546885,3.6349397,5
20,1.9250662,1.5350888,6
21,0.062269963,7.545766,0
22,0.31094635,3.141789,1
23,0.67375886,3.055213,2
24,3.1870518,3.037567,3
25,1.4748393,3.5122056,4
26,1.5024045,3.738434,5
27,2.2940187,1.2964046,6
28,2.3607733,4.4376516,0
29,7.350136,2.8175416,1
30,2.1725743,3.4414105,2
31,2.6133702,5.175194,3
32,1.9775085,6.0866175,4
33,0.47198638,6.8159275,5
34,1.8206255,4.473328,6
35,3.809528,2.2348847,0
36,1.3642604,2.999227,1
37,7.0070353,2.898635,2
38,0.6415974,2.3723207,3
39,2.3461668,3.1408522,4
40,4.8936396,2.3374016,5
41,5.726299,2.0434864,6
42,1.623984,1.7817018,0
43,1.2447534,3.0691767,1
44,2.9820883,3.5315251,2
45,2.815278,5.5384536,3
46,1.2031558,3.1612787,4
47,2.209248,2.4903593,5
48,1.7804086,0.5438168,6
49,0.14141773,7.6064577,0
50,9.015711,1.5890758,1
51,1.0896511,2.896745,2
52,2.1862748,3.416004,3
53,2.8929756,3.6364758,4
54,1.7916901,3.1306217,5
55,0.23914772,1.7050861,6
56,4.995998,1.1668562,0
57,0.41942114,3.2383635,1
58,5.1572104,3.9358523,2
59,0.5050256,1.7705281,3
60,2.1157482,2.2608786,4
61,2.3849084,3.8597755,5
62,1.624474,3.5518556,6
63,3.429043,1.5477586,0
64,3.458278,3.1819744,1
65,6.3861,3.0850646,2
66,1.5195482,2.7452633,3
67,0.82083094,3.6449597,4
68,5.0565567,1.1623738,5
69,2.3673658,2.6892486,6
70,2.582195,2.1276875,0
71,2.6043222,2.976422,1
72,2.415495,3.8883162,2
73,3.423684,4.7768264,3
74,3.457708,2.1700976,4
75,0.7277668,4.8606157,5
76,1.7657676,4.8418303,6
77,0.16374323,5.9559135,0
78,1.858933,1.6057867,1
79,2.3225346,1.9501276,2
80,2.5886772,2.2476912,3
81,2.2363014,2.5883543,4
82,0.29945457,8.685141,5
83,2.3046618,1.1735545,6
84,1.5100482,3.3403082,0
85,1.551128,3.7592409,1
