,locs0,locs1,subject
0,-2.7484763,-0.6628853,0
1,-2.97706,-0.61924046,1
2,-2.958211,-1.262445,2
3,-3.271436,-0.49509838,3
4,-2.451446,-1.1601627,4
5,-2.5174308,-1.08923,5
6,-3.498593,-0.7732872,6
7,-3.3344064,-0.8623822,0
8,-2.621883,-0.93943965,1
9,-2.59938,-1.4114149,2
10,-2.7188003,-0.55320776,3
11,-2.677377,-1.1839979,4
12,-2.707416,-0.5755595,5
13,-2.6362631,-0.7619364,6
14,-2.6255968,-0.71933496,0
15,-3.0160723,-1.4582388,1
16,-2.9358964,-1.0182822,2
17,-2.829663,-1.2252073,3
18,-2.6749818,-1.1926962,4
19,-2.6212356,-0.84470344,5
20,-2.9803395,-0.22996694,6
21,-2.7052805,-1.2170465,0
22,-1.8151351,-0.7068126,1
23,-2.4525084,-0.40849537,2
24,-2.8101587,-0.34898973,3
25,-2.7614937,-1.0132378,4
26,-2.521241,-1.0721376,5
27,-2.3287933,-1.7981219,6
28,-3.292274,0.24536449,0
29,-3.0209076,-1.2389631,1
30,-3.5322526,-1.3673258,2
31,-2.9996998,-0.34778285,3
32,-3.0347583,-1.2864926,4
33,-2.8203237,-0.04152459,5
34,-3.0512538,-0.28899813,6
35,-3.2269938,-1.0200686,0
36,-2.8914564,-1.0322603,1
37,-3.2453766,-0.8211032,2
38,-2.7839627,-0.83193225,3
39,-2.3742795,-0.7106363,4
40,-2.4125872,-0.7820096,5
41,-2.759852,-1.073783,6
42,-3.0193422,-1.1936939,0
43,-2.4697864,-0.8837627,1
44,-2.798115,-0.8765577,2
45,-2.7865272,-1.1642396,3
46,-2.5403552,-1.225294,4
47,-2.74438,-0.28517178,5
48,-2.8383286,-0.77315795,6
49,-2.882089,-0.4920392,0
50,-3.264212,-0.9379667,1
51,-2.5943666,-1.0934241,2
52,-3.1153693,-0.2561394,3
53,-2.2596185,-0.9407365,4
54,-2.818474,-0.73438895,5
55,-3.2218611,-1.1692483,6
56,-3.326764,-1.7358747,0
57,-2.6713006,-0.9927365,1
58,-3.7392278,-0.9752909,2
59,-2.120289,-1.0088832,3
60,-2.6582022,-0.93626136,4
61,-2.9554222,-1.010097,5
62,-2.021625,-1.8386251,6
63,-3.0941691,-1.2071828,0
64,-3.0888515,-1.2052064,1
65,-2.329269,-0.39488047,2
66,-2.96602,-1.3895638,3
67,-3.121426,-1.4761927,4
68,-2.4097538,-0.5786381,5
69,-3.1425202,-1.1579208,6
70,-3.0255294,-0.8033222,0
71,-3.1888719,-1.0875716,1
72,-2.978832,-0.7956523,2
73,-2.5486388,-0.55598265,3
74,-2.3229594,-0.64852124,4
75,-2.7845612,-0.4932567,5
76,-3.758368,-0.6897408,6
77,-2.4973278,0.54862314,0
78,-2.5732017,-0.48257476,1
79,-3.7276487,-1.3801447,2
80,-2.6941507,-0.55737793,3
81,-2.5296133,-0.89838785,4
82,-2.7760468,-0.32402703,5
83,-2.9278784,-0.84860057,6
84,-2.6191049,-0.4510458,0
85,-3.0608623,-1.4756954,1
86,-3.0531125,-0.86094475,2
87,-2.560198,-0.5792531,3
88,-3.1085336,-1.1040616,4
89,-2.6967337,-0.596667,5
90,-2.6172633,-1.886342,6
91,-1.8947154,-0.06203538,0
92,-2.6471448,-0.53988045,1
93,-3.1103678,-0.64591587,2
94,-3.0701568,-0.39832243,3
95,-2.440252,-0.89162534,4
96,-3.622784,-1.3285942,5
97,-2.8769753,-0.5271957,6
98,-3.2889433,-0.8294336,0
99,-2.842954,-0.63436675,1
100,-3.2897835,-1.2339773,2
101,-2.915167,0.5323088,3
102,-2.2077909,-0.5356474,4
103,-2.681416,-0.46194074,5
104,-2.689645,-1.4309002,6
105,-3.4097939,-1.6250799,0
106,-2.9450736,-1.2198286,1
107,-2.940827,-1.4013623,2
108,-2.8317494,-0.7460192,3
109,-2.221855,-0.6949159,4
110,-2.5113661,-0.549684,5
111,-2.1960812,-1.2475027,6
112,-2.814524,-0.8141823,0
113,-2.6958609,-0.71195686,1
114,-3.019534,-1.5577927,2
115,-2.4841065,-1.2570496,3
116,-2.5622723,-0.8522384,4
117,-2.3834145,-0.23834884,5
118,-2.6576788,-1.3033366,6
119,-3.3704224,-0.028110623,0
120,-3.0999293,-0.95315564,1
121,-3.0191264,-1.2690794,2
122,-3.2081425,-0.74838346,3
123,-2.5660055,-0.9484769,4
124,-2.2639387,-0.45117837,5
125,-2.611818,-0.7433045,6
126,-2.872258,-0.44348425,0
127,-2.9552865,-1.7213924,1
128,-1.6652297,-0.53322005,2
129,-2.7283118,-1.1323327,3
130,-2.5210128,-0.492305,4
131,-3.0309658,-1.4668101,5
132,-2.4863324,-1.367394,6
133,-2.85423,-0.53268766,0
134,-2.6450624,-1.052092,1
135,-2.4539418,-0.8541852,2
136,-3.0526102,-0.6971253,3
137,-2.6952257,-0.818694,4
138,-3.1223226,-1.2610451,5
139,-2.7388318,-1.2214259,6
140,-2.672933,-0.53935826,0
141,-2.8285074,-1.2337906,1
142,-3.2228792,-0.44626957,2
143,-2.3819916,-1.3650227,3
144,-2.4626021,-0.9994599,4
145,-2.6367273,-0.8677112,5
146,-2.799618,-0.58528954,6
147,-3.0228825,-1.4610012,0
148,-2.9966836,-1.5643129,1
149,-2.7595618,-0.59470785,2
150,-2.9831882,-0.118293524,3
151,-2.4538136,-0.9316739,4
152,-2.933375,-0.9983506,5
153,-3.0633185,-1.271666,6
154,-2.905417,-1.0477266,0
155,-3.0411599,-0.66482466,1
156,-3.3509002,-1.2056376,2
157,-3.117403,-0.29150993,3
158,-2.6094396,-1.2613809,4
159,-2.398607,-1.0502394,5
160,-2.9166672,-0.59839475,6
161,-2.6602278,-0.99934983,0
162,-3.162508,-2.0890217,1
163,-2.094761,-0.4263695,2
164,-2.5586653,-1.0479636,3
165,-2.390409,-0.67071235,4
166,-2.390553,-0.26155418,5
167,-2.0666728,-1.263315,6
168,-2.6572187,-1.1989694,0
169,-3.1378818,-1.4854927,1
170,-2.8272736,-0.80053586,2
171,-2.8669224,-0.8549018,3
172,-2.8051803,-0.7088106,4
173,-3.2060494,-1.1403834,5
174,-2.3948693,-1.8168905,6
175,-2.1129508,-0.5093438,0
176,-3.0311463,-1.5347364,1
177,-2.7482603,-0.9041228,2
178,-2.856245,-0.4974268,3
179,-2.288381,-1.0367444,4
180,-2.8119957,-1.5204704,5
181,-2.8837836,-0.24506831,6
182,-2.5974245,-1.1033064,0
183,-2.946989,-0.901931,1
184,-2.8729265,-0.944844,2
185,-3.2082198,-0.08859688,3
186,-2.5537636,-0.8487781,4
187,-2.6997294,-0.40194947,5
188,-2.9626708,-2.0410542,6
189,-2.0459318,-0.08914012,0
190,-3.1791298,-0.5129755,1
