,locs0,locs1,subject
0,-1.7058674,-0.1828271,0
1,-2.4912298,-0.77585274,1
2,-1.6273166,-0.8422365,2
3,-2.290281,-1.4224117,3
4,-2.4895022,-2.2226758,4
5,-3.5838053,-1.1991284,5
6,-1.1980132,-0.13743013,6
7,-1.7962759,0.24978003,0
8,-2.2011023,-0.6719181,1
9,-2.4342082,-1.2600093,2
10,-1.9858357,-0.016167223,3
11,-2.5067933,-0.8822237,4
12,-2.8431306,-1.2232168,5
13,-2.6807914,0.1225214,6
14,-1.7958717,0.1147868,0
15,-2.3998027,-0.27892062,1
16,-2.1756349,-0.8487691,2
17,-1.9990486,-0.14760637,3
18,-3.1274886,-0.17417681,4
19,-3.14343,-1.4627879,5
20,-2.7294564,-1.1997386,6
21,-1.9190863,0.48638153,0
22,-2.067897,-1.3642168,1
23,-1.9038537,-0.8355019,2
24,-2.0263474,0.06017536,3
25,-2.6085474,-1.3606979,4
26,-1.808239,-0.97723705,5
27,-1.6492617,-0.053774714,6
28,-1.6950294,-0.79230577,0
29,-2.3718421,-0.85848343,1
30,-2.2816312,-1.0353389,2
31,-1.8997693,-0.23965764,3
32,-2.7442777,-1.4107263,4
33,-2.6559718,-1.384728,5
34,-2.7018845,-0.55371076,6
35,-1.6705532,-0.13964081,0
36,-1.7506863,-0.565735,1
37,-2.1338625,-0.9318238,2
38,-2.1154876,-0.6629287,3
39,-2.4969294,-1.580815,4
40,-2.9179454,-1.0179598,5
41,-2.6977177,-0.4313585,6
42,-1.3659734,0.41054308,0
43,-1.634568,-0.7947259,1
44,-1.7882478,-0.65146476,2
45,-2.325465,-0.24552149,3
46,-1.6498004,-2.3265553,4
47,-2.4500356,-1.5251405,5
48,-2.241836,0.30610728,6
49,-1.6823134,0.14471892,0
50,-2.5030544,-0.4850359,1
51,-1.8759898,-0.24093944,2
52,-1.6394083,-0.29219326,3
53,-2.3633878,-1.7152804,4
54,-3.417148,-0.6500732,5
55,-1.6970992,-0.55942625,6
56,-1.07318,1.3305073,0
57,-2.4602473,-0.7468105,1
58,-2.0081577,-0.57131743,2
59,-1.6853509,-0.4059577,3
60,-1.5682617,-1.9215627,4
61,-2.490273,-1.5061308,5
62,-2.9846473,-1.360839,6
63,-1.645874,0.029225543,0
64,-1.8850139,-1.0414163,1
65,-1.5896391,-0.7745869,2
66,-2.1710093,-0.22726113,3
67,-2.0365953,-3.1542733,4
68,-1.1002052,-0.7407406,5
69,-2.072452,0.7990638,6
70,-1.6173997,0.46286893,0
71,-2.0089867,-0.43843138,1
72,-1.9300293,-0.77311134,2
73,-1.6286805,-0.10207158,3
74,-2.6027522,-0.57373834,4
75,-0.17341614,0.16926146,5
76,-2.4329367,-0.38826123,6
77,-1.5166645,-0.12893635,0
78,-1.9765943,-0.2872208,1
79,-1.9683424,-1.0431702,2
80,-2.4841847,-0.90977216,3
81,-2.832684,-0.85530514,4
82,-1.5071844,-0.74490386,5
83,-1.0995153,-0.23768371,6
84,-1.1850173,0.07099593,0
85,-1.8948879,-0.12998867,1
86,-2.2960765,-1.9783746,2
87,-3.0190694,-1.5304306,3
88,-2.53736,-1.0492297,4
89,-3.7626462,-1.3242223,5
90,-2.5051634,-0.6644349,6
91,-1.9009067,-0.5213001,0
92,-2.3884552,-0.44359207,1
93,-2.3605177,-1.1987936,2
94,-1.8034011,-0.61276805,3
95,-2.4865522,-2.345386,4
96,-2.6700096,-1.8417171,5
97,-2.9743757,-1.2701378,6
98,-2.0251904,-0.13347203,0
99,-2.9102457,-0.8262013,1
100,-1.338459,-0.27807283,2
101,-2.2538729,0.25859112,3
102,-2.4708877,-1.7451446,4
103,-2.0484855,-3.1759348,5
104,-2.9894378,-0.1822069,6
105,-1.3331503,0.6825707,0
106,-1.9051279,-0.5080957,1
107,-1.8454063,-0.96181655,2
108,-2.303185,-0.25293708,3
109,-2.837447,-0.9687685,4
110,-1.2714934,-2.0359378,5
111,-2.7520406,0.7213104,6
112,-1.8839955,0.2858225,0
113,-3.0436428,-0.9623927,1
114,-1.8249813,-0.78850263,2
115,-2.2430332,-0.018032014,3
116,-2.732837,-2.6409903,4
117,-2.699928,-1.2957509,5
118,-1.9708569,-0.57901436,6
119,-2.2245276,-0.2674126,0
120,-2.0858192,-0.29995835,1
121,-2.0229225,-1.101559,2
122,-1.9550121,-0.5988635,3
123,-2.5643275,-1.3709693,4
124,-1.9466437,-1.334788,5
125,-3.5326672,-1.4071755,6
126,-1.6000494,0.4594472,0
127,-2.726944,-0.40675116,1
128,-1.6756179,0.11451304,2
129,-1.9458418,-0.6769555,3
130,-2.3689115,-1.7721447,4
131,-1.6575221,-2.235495,5
132,-4.0421185,-1.1290579,6
133,-1.3300229,0.60320807,0
134,-1.9382503,-0.86008143,1
135,-2.3700314,-1.8277829,2
136,-1.874716,-0.6582173,3
137,-2.7200327,-1.6766373,4
138,-2.151157,-1.2759463,5
139,-3.3129907,-1.0742188,6
140,-1.5706798,-0.8349741,0
141,-1.5823319,-0.69645464,1
142,-2.2585597,-1.2933736,2
143,-2.450458,-0.6648675,3
144,-2.977698,-0.3884275,4
145,-3.1091747,-0.5858517,5
146,-1.7671368,0.15151954,6
147,-1.4857556,-0.047398463,0
148,-2.0023172,0.36420697,1
149,-2.075438,-0.24095178,2
150,-2.6519883,-0.55759513,3
151,-2.502755,-1.3684336,4
152,-2.3718,-1.2470559,5
153,-1.5454903,0.38920164,6
154,-2.0528123,-0.11676651,0
155,-2.2014832,-0.7795166,1
156,-1.8288368,-0.4726187,2
157,-2.1263692,-1.6536937,3
158,-2.2243307,-0.8290281,4
159,-2.9853942,-0.82398677,5
160,-2.0785084,0.42935932,6
161,-1.9348022,0.02415149,0
162,-3.2652879,-0.20946509,1
163,-2.317973,-1.3479736,2
164,-2.2599103,-2.2176569,3
165,-2.1959386,-1.8626274,4
166,-3.5209587,-0.820541,5
167,-2.408464,-0.48032522,6
168,-1.8884863,-0.6060552,0
169,-1.6763068,-0.45565724,1
170,-2.2686498,-2.271119,2
171,-1.2796714,-0.3193983,3
172,-2.0275824,-1.2905328,4
173,-1.8981141,-3.2084944,5
174,-2.1697342,-1.1483113,6
175,-1.7867081,0.62468857,0
176,-2.08502,-0.87541556,1
177,-2.4194562,-0.7348448,2
178,-2.488805,-1.0356832,3
179,-2.6137605,-2.5348961,4
180,-2.843604,-1.6664939,5
181,-2.225357,-0.58522874,6
182,-1.5501375,-0.25175154,0
183,-2.8387706,-0.87312603,1
184,-2.3851495,-1.2005352,2
185,-2.05492,-0.6932966,3
186,-2.0023365,-2.4103236,4
187,-1.1202711,-0.32528514,5
188,-3.0548372,-1.6264575,6
189,-1.4635202,-0.47194186,0
190,-1.7913043,-0.038051486,1
191,-1.8943658,-1.3140562,2
192,-2.3683329,-0.279606,3
193,-2.4791381,-0.37171376,4
194,-1.8440588,-0.831057,5
195,-1.6020477,0.43756586,6
196,-2.5287068,-0.9221357,0
197,-1.6674095,-0.6497144,1
198,-1.7544998,-0.5608776,2
199,-1.7309501,-1.2209511,3
200,-2.8527904,-0.70897835,4
201,-1.8503313,-1.9885285,5
202,-1.7426091,-0.9957559,6
203,-1.6339984,-0.23135136,0
204,-2.1764607,0.026051939,1
205,-2.4123163,-1.8058523,2
206,-1.9909909,-0.33017248,3
207,-2.488674,-0.78986096,4
208,-1.4218712,-1.8854299,5
209,-2.1373634,-0.43472704,6
210,-1.8351946,0.44740665,0
211,-1.2224181,-0.04403639,1
212,-2.2155666,-1.059036,2
213,-1.8242646,-0.60891473,3
214,-2.7945228,-1.2161596,4
215,-2.8208432,-2.1561804,5
216,-3.6015844,-2.0266762,6
217,-2.0366762,-0.37285292,0
218,-2.3354337,-0.6428101,1
219,-2.1163068,-1.2038672,2
220,-2.4024765,-0.48341656,3
221,-2.6795857,-2.2014415,4
222,-0.7064998,-0.45335585,5
223,-3.86554,-0.82141924,6
224,-1.5263401,0.30330104,0
225,-2.066552,-0.69555664,1
226,-2.418272,-1.2434373,2
227,-1.9481045,-1.0801921,3
228,-2.8986135,-1.3646808,4
229,-3.7274823,-1.5373447,5
230,-2.06592,0.83073366,6
231,-1.7758331,-0.043925613,0
232,-2.0023482,-0.41160107,1
233,-1.9898142,-0.9290308,2
234,-1.7368138,0.0048729777,3
235,-2.4468765,-1.2962257,4
236,-3.9511824,-0.7863618,5
237,-1.2608641,0.8608552,6
238,-1.8631701,-0.11862177,0
239,-2.4544392,-0.54985136,1
240,-1.64744,-0.6054404,2
241,-2.1985698,-0.71263516,3
242,-3.157307,-0.9695347,4
243,-2.100406,-1.2923433,5
244,-2.0948536,0.078579396,6
245,-2.1147728,-0.2664574,0
246,-1.9787353,-1.3743474,1
247,-2.1975152,-1.5227163,2
248,-2.1345403,-0.19060782,3
249,-2.503012,-2.0862384,4
250,0.33382177,-0.014445901,5
251,-2.8692694,-0.6860753,6
252,-2.0585876,-0.091968864,0
253,-1.7771149,-0.9421625,1
254,-1.8148657,0.08811617,2
255,-1.4756253,-0.46705446,3
256,-2.4175797,-2.2329297,4
257,-1.9207613,-1.4470824,5
258,-2.5149932,0.9132955,6
259,-1.7384834,0.3313526,0
260,-2.508144,-0.07273966,1
261,-2.524047,-1.5177473,2
262,-2.280408,-1.0736265,3
263,-1.6060961,-2.8101645,4
264,-1.2263285,-0.5989013,5
265,-1.4274229,-0.03490457,6
266,-2.209425,-0.98887503,0
267,-1.96895,-0.6103686,1
268,-2.30409,-0.932491,2
269,-2.2589598,-0.49563682,3
270,-2.5081153,-2.1469247,4
271,-4.6678877,-1.2498982,5
272,-4.171717,-1.0734745,6
273,-2.1028311,-1.0596519,0
274,-2.7779384,-0.43231404,1
275,-1.9609557,-1.1362983,2
276,-2.8023443,0.20549291,3
277,-2.4708858,-1.8143721,4
278,-1.2676275,-0.37865102,5
279,-2.7957537,-0.8364053,6
280,-1.9495673,-0.16531932,0
281,-1.8452759,-0.72927094,1
282,-2.3779707,-1.0496583,2
283,-2.270548,-0.72826093,3
284,-2.7468224,-1.2447054,4
285,-3.2456656,-1.048786,5
286,-1.7142792,1.1280665,6
287,-1.6940831,-0.188995,0
288,-2.4837472,-0.63177514,1
289,-2.0537038,-0.62390006,2
290,-2.1745129,-0.6639239,3
291,-2.866787,-1.3964051,4
292,-3.8310018,-0.073099375,5
293,-2.1336026,-0.63359386,6
294,-1.8241124,0.10475701,0
295,-1.1476433,-0.713239,1
296,-2.0688043,-0.9774605,2
297,-1.6513103,-0.70154893,3
298,-1.8614098,-2.081737,4
299,-1.9524847,-1.1748264,5
300,-1.6784277,-0.677741,6
301,-1.7246547,-0.045285895,0
302,-2.1943867,-0.6811813,1
303,-2.1191244,-0.85860395,2
304,-2.80129,0.68730575,3
305,-2.262741,-1.1088967,4
306,-1.610151,-1.5744658,5
307,-2.8041062,-0.24910946,6
308,-1.4596968,0.22980368,0
309,-2.4742079,-0.90002304,1
310,-2.1119516,-0.80790025,2
311,-2.31846,-1.0589743,3
312,-2.5635214,-1.3097775,4
313,-1.2296911,-0.6003625,5
314,-2.310234,0.6545056,6
315,-1.7783918,-1.1238759,0
316,-2.147457,0.08838552,1
317,-1.9074652,-0.8588718,2
318,-2.3304691,0.45055348,3
319,-2.1609156,-0.77032524,4
320,-1.7922686,-1.2692479,5
321,-2.7612813,-0.31703538,6
322,-2.0112422,-1.3247108,0
323,-2.376444,-0.7762979,1
324,-1.8437159,-0.9911406,2
325,-2.2539377,-0.8780188,3
326,-2.554913,-1.5962689,4
327,-2.3195264,-1.3995525,5
328,-2.6201096,1.1815453,6
329,-1.6254039,-0.16162601,0
330,-1.3027442,0.17725492,1
331,-1.7183449,-1.1290798,2
332,-2.1951306,1.1519063,3
333,-2.2759655,-1.6965886,4
334,-1.5917196,-1.0492245,5
335,-1.6522014,-0.17018461,6
336,-2.0558922,-0.28592622,0
337,-2.517604,-0.8922703,1
338,-2.2295663,-1.2229116,2
339,-2.2473083,-1.2951818,3
340,-2.461474,-1.2413137,4
341,-0.75102675,-1.0837837,5
342,-2.2124562,-1.0076821,6
343,-1.4891847,0.67395586,0
344,-2.8414042,-0.60973346,1
345,-2.4425793,-1.9077464,2
346,-1.5675042,-0.5119951,3
347,-3.0524278,-1.8870058,4
348,-1.8789909,-2.4312267,5
349,-2.2217798,0.19982141,6
350,-1.7994679,0.0031123757,0
351,-1.033406,-0.23668697,1
352,-2.0621278,-1.0115026,2
353,-2.296976,-0.45912838,3
354,-2.4314222,-1.2469567,4
355,-1.0711486,-2.4455051,5
356,-4.064227,-1.1977482,6
357,-1.2924429,0.65943587,0
358,-1.9931976,-0.6373449,1
359,-2.5908966,-1.1312517,2
360,-2.5708823,0.61129004,3
361,-2.1905153,-1.674732,4
362,-2.5427127,0.3240024,5
363,-2.2353961,-0.24997231,6
364,-1.4458822,0.195611,0
365,-2.2998884,-0.7856138,1
366,-2.0891457,-0.8734956,2
367,-1.9759915,-0.6145881,3
368,-2.8797467,-1.1000128,4
369,-0.27467775,-0.99552166,5
370,-3.4186637,-0.294874,6
371,-1.0351546,1.027985,0
372,-2.2686644,-0.9476682,1
373,-2.2261536,-1.2264264,2
374,-2.1555443,-0.31010032,3
375,-3.2062845,-0.49252582,4
376,-3.0065308,-0.56798434,5
377,-1.9198706,-0.31958506,6
378,-2.0575895,0.42364627,0
