,dec temp,habitual tendency,subject
0,1.537005,4.5442014,0
1,0.764753,3.152144,1
2,1.6419829,3.0106397,2
3,0.9193109,1.9428378,3
4,0.765974,0.9773259,4
5,0.27019498,2.316303,5
6,2.3182883,4.656964,6
7,1.42305,5.6212234,0
8,0.9965155,3.380675,1
9,0.8060107,2.2097228,2
10,1.2069812,4.9595823,3
11,0.7538332,2.927172,4
12,0.5503749,2.2737088,5
13,0.6411637,5.3059206,6
14,1.4235435,5.2866526,0
15,0.83187747,4.307184,1
16,1.0195992,2.996911,2
17,1.1930285,4.6316524,3
18,0.4198751,4.565655,4
19,0.41350937,1.880413,5
20,0.61257416,2.3152173,6
21,1.2796348,6.1925364,0
22,1.1225643,2.035558,1
23,1.2967293,3.0248299,2
24,1.1646425,5.1503935,3
25,0.68590343,2.0412688,4
26,1.4085109,2.7344036,5
27,1.6120876,4.865596,6
28,1.5511558,3.1167378,0
29,0.8534523,2.976563,1
30,0.9265572,2.6205037,2
31,1.3013458,4.4037075,3
32,0.6041064,1.9611953,4
33,0.656219,2.0025074,5
34,0.6286225,3.6500394,6
35,1.5835044,4.651464,0
36,1.4796065,3.6222153,1
37,1.0584886,2.8255486,2
38,1.0760059,3.4008203,3
39,0.7607372,1.706801,4
40,0.51273555,2.65425,5
41,0.6310817,3.9380198,6
42,2.0327117,6.0121813,0
43,1.6320555,3.1115484,1
44,1.4328767,3.4265952,2
45,0.8903581,4.3892612,3
46,1.6113592,0.88947415,4
47,0.79435945,1.787058,5
48,0.96055996,5.7593484,6
49,1.5678937,5.361167,0
50,0.7564434,3.810637,1
51,1.3285017,4.4005485,2
52,1.6254557,4.2746706,3
53,0.860075,1.5248008,4
54,0.31763822,3.4297304,5
55,1.5484451,3.6368022,6
56,2.5479884,7.9092455,0
57,0.78692406,3.2151666,1
58,1.1834906,3.6093287,2
59,1.5638822,3.998818,3
60,1.7246435,1.2768741,4
61,0.765429,1.8151293,5
62,0.48124298,2.0410397,6
63,1.6166736,5.0730586,0
64,1.3181401,2.608768,1
65,1.6943468,3.1548772,2
66,1.0238423,4.43428,3
67,1.1541388,0.40923232,4
68,2.4970145,3.2284222,5
69,1.1180332,6.8977413,6
70,1.655638,6.1369457,0
71,1.182626,3.9211483,1
72,1.2674735,3.1580644,2
73,1.6401119,4.745042,3
74,0.689615,3.6037467,4
75,4.5675426,5.4221463,5
76,0.80695343,4.0413594,6
77,1.799532,4.6781054,0
78,1.2168236,4.2868443,1
79,1.2256705,2.6053877,2
80,0.76974344,2.8704646,3
81,0.55583334,2.9832115,4
82,1.8135644,3.2193274,5
83,2.4983072,4.4085727,6
84,2.3415127,5.177416,0
85,1.3068814,4.675485,1
86,0.91448426,1.2149222,2
87,0.46571776,1.779307,3
88,0.7328026,2.5937304,4
89,0.22695176,2.1011667,5
90,0.75497,3.3974407,6
91,1.3000588,3.725483,0
92,0.84057295,3.9088538,1
93,0.86233383,2.3168988,2
94,1.4143754,3.5142803,3
95,0.7680631,0.8743322,4
96,0.64766383,1.3684833,5
97,0.48597008,2.1923366,6
98,1.1658337,4.6668143,0
99,0.516494,3.0444887,1
100,2.077636,4.3092628,2
101,0.9501593,5.6428995,3
102,0.7792443,1.4866066,4
103,1.142055,0.40081447,5
104,0.47905326,4.5457387,6
105,2.0863874,6.6431227,0
106,1.2952921,3.7564003,1
107,1.3641316,2.7651465,2
108,0.90859526,4.371007,3
109,0.5533384,2.7512603,4
110,2.1900172,1.1548102,5
111,0.59971505,6.728955,6
112,1.3193061,5.709731,0
113,0.45492727,2.763994,1
114,1.3883723,3.1249025,2
115,0.959521,4.954921,3
116,0.610633,0.665465,4
117,0.62977606,2.1488104,5
118,1.2229688,3.5915945,6
119,0.9756943,4.3354235,0
120,1.1048278,4.2556767,1
121,1.1681713,2.4944792,2
122,1.2400786,3.5460377,3
123,0.7146983,2.024633,4
124,1.249198,2.083685,5
125,0.28396907,1.9667993,6
126,1.6797471,6.1288304,0
127,0.6140205,3.996914,1
128,1.5767659,5.2859697,2
129,1.2500749,3.3694115,3
130,0.85574275,1.4527582,4
131,1.600949,0.9660799,5
132,0.1725719,2.4433498,6
133,2.0915558,6.463899,0
134,1.258402,2.9732232,1
135,0.85486686,1.385026,2
136,1.3299698,3.4114015,3
137,0.6180157,1.5754126,4
138,1.0422316,2.1824105,5
139,0.35128212,2.5460162,6
140,1.721195,3.0259433,0
141,1.7046548,3.3259873,1
142,0.9461367,2.1528237,2
143,0.79405063,3.3964703,3
144,0.4844363,4.0409594,4
145,0.4273039,3.5758722,5
146,1.4589875,5.3780756,6
147,1.8455964,4.881526,0
148,1.1895983,5.900584,1
149,1.1150714,4.4005184,2
150,0.65866566,3.6410406,3
151,0.75665283,2.0287304,4
152,0.8534852,2.232102,5
153,1.7573857,5.960905,6
154,1.1376852,4.708415,0
155,0.9961737,3.1442406,1
156,1.383769,3.839966,2
157,1.0656016,1.6061037,3
158,0.97586757,3.0385063,4
159,0.48090094,3.0491803,5
