,dec temp,habitual tendency,subject
0,0.6483015,2.2348843,0
1,0.35555106,2.3993237,1
2,0.48030797,2.5499234,2
3,0.39729202,2.640686,3
4,1.1173115,2.6961818,4
5,1.303711,3.4265037,5
6,0.59593797,3.2182798,6
7,0.85774934,6.1804314,0
8,0.9488041,2.987869,1
9,0.66342086,3.5201569,2
10,0.5093015,3.951684,3
11,0.7675416,3.0577877,4
12,0.67330754,3.9573922,5
13,0.41150573,2.097474,6
14,1.3741548,2.950853,0
15,1.07197,2.8767421,1
16,0.73123455,2.79984,2
17,0.58276707,2.5649252,3
18,0.800387,2.8285522,4
19,1.0373402,3.4204679,5
20,0.59757674,4.255968,6
21,1.2872444,1.9444938,0
22,1.0338371,2.56599,1
23,1.1789678,3.750774,2
24,0.52570826,3.1029532,3
25,0.86346257,2.6467373,4
26,0.7839531,1.8337545,5
27,0.68316495,4.143389,6
28,0.65968955,3.3158765,0
29,0.6007055,1.7637092,1
30,1.1611556,3.3590138,2
31,0.7382016,2.6511283,3
32,0.73750436,3.2341733,4
33,0.4143037,3.9418826,5
34,0.7322457,1.5999573,6
35,0.4440916,2.9246545,0
36,0.8955661,3.7168021,1
37,0.4800635,3.2293816,2
38,0.79539526,2.864924,3
39,0.8329116,3.3635125,4
40,0.37409917,3.1997585,5
41,0.41235927,1.0556434,6
42,0.5472453,3.4011784,0
43,0.7489285,2.3014903,1
44,0.6462631,2.480284,2
45,0.5503165,1.9185019,3
46,0.89933044,4.0710893,4
47,0.47940624,6.1370506,5
48,0.95682776,2.5631943,6
49,0.46582642,2.9739861,0
50,0.44698328,4.4543605,1
51,0.46034658,3.7788086,2
52,0.4536653,6.8141775,3
53,0.76984435,2.993184,4
54,0.70528656,3.3065538,5
55,0.38865146,4.195142,6
56,0.90290606,2.3028097,0
57,1.04286,3.4342985,1
58,0.5729534,1.7855148,2
59,0.5663352,3.7426233,3
60,1.0783186,2.5719306,4
61,0.3598035,4.1602926,5
62,0.8229643,1.646983,6
63,0.66764426,2.102969,0
64,1.1706803,3.2580037,1
65,0.5363754,2.8879347,2
66,0.8423683,2.422109,3
67,1.5821089,3.9307377,4
68,0.57988125,2.6745245,5
69,1.1591358,2.9653895,6
70,0.85108376,5.9606323,0
71,1.3568218,3.4998071,1
72,1.3705556,3.268938,2
73,0.6529963,3.213016,3
74,0.97234285,3.6481962,4
75,0.8837548,2.701898,5
76,0.5025392,3.2178516,6
77,1.4210546,3.0621614,0
78,1.0975184,4.0201454,1
79,1.1116121,3.8086739,2
80,0.72801864,2.950408,3
81,0.5512136,1.8929899,4
82,1.3271556,3.1406026,5
83,0.7927626,1.9352503,6
84,1.5904988,2.834904,0
85,0.94379926,2.7085593,1
86,0.6527586,3.975266,2
87,0.8100234,2.100431,3
88,0.6040038,2.1864073,4
89,0.70606565,4.112306,5
90,1.4014338,1.828726,6
91,1.1478019,4.0137424,0
92,0.46955124,2.5809577,1
93,0.7000676,3.7870896,2
94,0.90738946,2.6976225,3
95,0.8535104,3.1296113,4
96,0.4213093,2.930202,5
97,0.6982372,2.0765696,6
98,0.992641,2.922556,0
99,0.36279827,3.8776743,1
100,0.79812217,2.678649,2
101,0.7136187,2.2769241,3
102,0.7437397,2.9357746,4
103,0.9131161,2.824197,5
104,0.73641115,1.7085081,6
105,0.92159045,2.5514731,0
106,0.7652536,3.9057138,1
107,0.40328228,3.0948277,2
108,0.6556722,3.7055292,3
109,0.5512919,2.6773062,4
110,0.47537,3.9037154,5
111,1.0452887,3.031044,6
112,0.3972457,2.3448281,0
113,0.54732835,1.6162456,1
114,0.5758581,3.0873313,2
115,0.9937965,3.3443527,3
116,0.7679914,2.8002162,4
117,1.3538975,2.501792,5
118,0.86097544,2.8458798,6
119,0.7923118,2.4201636,0
120,1.0167276,3.161716,1
121,1.0219605,4.500913,2
122,0.7412517,2.138676,3
123,0.7477725,3.2340984,4
124,1.0198152,3.0582323,5
125,0.859123,2.0319943,6
126,1.3024075,4.2446227,0
127,0.44353145,1.9731574,1
128,1.0732596,2.9694176,2
129,0.5512143,5.012721,3
130,0.5388898,2.583454,4
131,0.7342057,4.138152,5
132,0.6683544,1.9019732,6
133,0.4931956,2.6990075,0
134,0.97753495,2.2872653,1
135,0.5083475,3.2540977,2
136,0.38822597,1.9182208,3
137,0.40413433,1.6434132,4
138,0.7569366,4.167132,5
139,0.76745915,2.2515755,6
140,0.7224223,3.383316,0
141,0.38682982,1.8189496,1
142,0.7243085,2.2647433,2
143,0.581802,2.479199,3
