,locs0,locs1,subject
0,0.48967388,-0.8207972,0
1,-0.03338957,-0.2917352,1
2,-0.74043036,-0.72883904,2
3,-1.083266,0.19505832,3
4,-0.0085353255,-0.612213,4
5,0.8564173,0.20456076,5
6,1.2504752,-0.8055899,6
7,-0.6140115,-0.90570265,0
8,-1.0870353,0.3184535,1
9,2.3550644,-0.7117444,2
10,-1.2135355,-1.1832061,3
11,1.3673904,0.28063488,4
12,3.6024585,-0.20508426,5
13,-1.1659751,0.096013546,6
14,-1.745846,0.22534436,0
15,0.54243845,-0.57252526,1
16,-0.24410856,-0.026663452,2
17,-1.608382,-1.0944375,3
18,-1.126409,-1.6436067,4
19,-3.0340805,-0.07926422,5
20,0.8103219,-0.31454778,6
21,-1.2878397,-1.1310718,0
22,0.65988344,-0.8844223,1
23,-1.0570738,-0.26937857,2
24,0.8356571,1.1328899,3
25,0.21852839,-3.1543245,4
26,0.055228263,-0.3977663,5
27,-0.5747577,-0.94679815,6
28,-0.34781373,-0.33571956,0
29,-0.25953245,-1.0342867,1
30,1.0936722,-0.5887842,2
31,-0.5440931,1.4653527,3
32,0.41316307,-3.840516,4
33,0.15634665,-1.71624,5
34,-2.7377377,-0.32296586,6
35,1.5135368,0.4253567,0
36,-0.7140093,-0.3929227,1
37,-1.2047632,0.65090084,2
38,-0.12562707,-0.3154132,3
39,0.8949466,-1.3065488,4
40,2.1827593,1.9099435,5
41,-0.8787753,-0.625615,6
42,2.1886094,-3.0635583,0
43,-0.28803417,-0.7275902,1
44,2.1122108,-0.30493915,2
45,0.14355785,1.2057291,3
46,-1.1885988,-0.37466735,4
47,-2.8156912,1.2870347,5
48,-2.884005,0.1610601,6
49,1.6635394,-0.7783534,0
50,1.0702336,-0.35371026,1
51,0.23209041,-0.7879352,2
52,2.585997,0.3145681,3
53,-0.51529384,-1.4626799,4
54,-0.41864413,1.133466,5
55,-0.36565334,0.18233532,6
56,3.3666923,-1.7171762,0
57,-0.627714,-0.72411865,1
58,1.1719733,-1.2906004,2
59,-2.1997626,-1.1402987,3
60,-1.1903596,1.0868556,4
61,-1.3303221,-1.4549526,5
62,-1.9571364,-0.5826787,6
63,-0.7742194,-0.49789506,0
64,-2.169156,1.5289569,1
65,-1.1348374,-0.57347673,2
66,-1.0902743,-0.041295767,3
67,-0.19060501,-0.12243578,4
68,1.2154368,-0.2770487,5
69,0.14353275,-0.42063427,6
70,-1.277714,0.15842819,0
71,-0.025734574,-1.4176586,1
72,-0.5322685,-0.50193524,2
73,1.2389569,-1.2122401,3
74,-0.78444475,-0.09986138,4
75,1.3936527,-1.1096375,5
76,1.1218094,-1.051676,6
77,-0.9193934,0.04215461,0
78,-1.0505307,0.11857623,1
79,-1.2305925,0.4003657,2
