,dec temp,habitual tendency,subject
0,3.261039,3.8796017,0
1,0.8549719,4.381672,1
2,2.8482356,3.1880279,2
3,1.6801637,5.5629625,3
4,4.835169,6.4504404,4
5,1.363107,1.6077695,5
6,2.2417734,5.027123,6
7,2.6802316,3.7617385,0
8,5.7349515,3.07447,1
9,2.137714,2.136107,2
10,1.9321727,5.6744776,3
11,3.99658,2.633529,4
12,1.4054233,1.8817658,5
13,2.7975745,4.6202197,6
14,1.8352499,8.516342,0
15,1.6514784,3.87424,1
16,2.1168506,4.7473674,2
17,4.0564137,5.27678,3
18,6.84444,3.0321786,4
19,2.779155,7.054035,5
20,2.3154087,7.0294914,6
21,2.2827215,6.094041,0
22,2.866228,3.6256418,1
23,6.3933268,2.5428298,2
24,1.4131641,3.168168,3
25,1.565001,3.5249648,4
26,2.0467672,3.3710446,5
27,1.3225486,3.1372318,6
28,3.3127217,4.708033,0
29,6.279468,3.0701387,1
30,4.00963,2.9315152,2
31,7.5504065,5.6246967,3
32,4.436013,2.6001234,4
33,0.1798749,1.0696349,5
34,4.6586246,6.7045217,6
35,1.6295588,5.068615,0
36,1.7879114,3.1574214,1
37,2.3977783,5.2607594,2
38,3.108946,3.4681568,3
39,2.9524925,5.672597,4
40,1.8734376,2.1013732,5
41,0.30825254,6.8508835,6
42,1.5168929,8.926185,0
43,2.0255306,6.2595387,1
44,2.4460914,5.61393,2
45,5.016386,3.432783,3
46,4.7911167,3.2391582,4
47,0.5251845,4.346622,5
48,1.7402631,5.7442436,6
49,4.463793,6.6805916,0
50,2.1591868,4.0031657,1
51,3.3481908,2.616878,2
52,5.009945,3.2460012,3
53,0.26833642,2.2086258,4
54,9.18549,6.0221586,5
55,4.4085813,5.0401216,6
56,1.6373528,5.3586535,0
57,0.81350094,3.5698688,1
58,2.7903795,3.4298692,2
59,4.0355806,2.1863673,3
60,2.215814,2.4132934,4
61,1.3354707,3.629546,5
62,5.4605904,6.288102,6
63,2.7059793,2.699142,0
64,4.2545586,3.162784,1
65,2.3704042,2.9235249,2
66,1.3818163,4.2197685,3
67,7.7587566,3.8164246,4
68,2.3458462,2.2721214,5
69,4.641546,5.5714774,6
70,2.201309,6.017141,0
71,9.126738,3.3754473,1
72,3.941317,0.8037921,2
73,1.7621167,6.030314,3
74,1.1313591,2.7590086,4
75,0.7510965,2.010112,5
76,0.27419218,4.305158,6
77,3.2474751,6.5442142,0
78,1.2877177,3.7614086,1
79,2.5453234,2.4133391,2
80,3.5871255,4.248515,3
81,9.058457,4.052116,4
82,6.249437,1.2017844,5
83,4.3253284,4.3007364,6
84,4.6149497,3.0924902,0
85,2.73785,3.7842298,1
86,3.8108664,5.3322554,2
87,1.488871,3.6165836,3
88,6.921497,3.5830383,4
89,0.351269,2.5388389,5
90,3.507368,2.945282,6
91,2.248525,4.9371915,0
92,5.001647,2.435556,1
93,3.7855802,1.4397205,2
94,6.9038067,1.1471583,3
95,1.3731014,2.7795506,4
96,4.572105,4.7339625,5
97,6.601023,4.7829514,6
98,3.2699406,4.4300385,0
99,4.274746,4.095774,1
100,1.8677411,3.8350859,2
101,1.6032273,4.015192,3
102,0.29545766,2.853458,4
103,1.413002,1.0739486,5
104,0.8432342,6.461425,6
105,1.2078618,5.215511,0
106,3.1927123,2.1331975,1
107,2.9107952,2.5151727,2
108,3.4084501,4.012848,3
109,0.11958759,4.55576,4
110,8.546576,5.2092767,5
111,1.5453584,2.4941144,6
112,3.2250652,7.0147743,0
113,1.6133766,5.4876094,1
114,1.5415642,4.5622735,2
115,1.6215934,4.572545,3
116,3.4510362,5.3380256,4
117,2.835875,1.8246183,5
118,1.2800509,4.8422656,6
119,3.5477214,7.247264,0
120,2.0111585,2.933354,1
121,3.6016822,4.46722,2
122,1.9841677,3.5651803,3
123,6.4178557,4.430973,4
124,1.3914735,1.1971314,5
125,3.1386323,6.3945274,6
126,2.0455487,6.993437,0
127,3.2727706,2.5042644,1
128,1.588192,5.844984,2
129,4.4734297,7.004697,3
130,2.700703,1.5325873,4
131,2.2531967,5.14838,5
132,0.5512274,6.224251,6
