,dec temp,habitual tendency,subject
0,1.854207,0.550349,0
1,3.7567778,0.38270837,1
2,5.6670513,0.20436828,2
3,0.596248,0.39265928,3
4,2.4344668,0.49915054,4
5,3.4558628,0.20369864,5
6,2.1664624,0.79245615,6
7,0.6229131,0.21214703,7
8,1.0101087,0.25032252,8
9,2.1698363,0.0708422,9
10,0.74586755,0.8219802,0
11,4.701618,0.2637356,1
12,4.460618,0.46664092,2
13,0.60519147,0.30365402,3
14,3.2597616,0.10365143,4
15,4.7626143,0.39718834,5
16,4.412202,0.22553015,6
17,0.32419592,0.18866874,7
18,1.4574821,0.07440512,8
19,2.0814087,0.4013506,9
20,1.985938,0.3542943,0
21,2.416239,0.39809716,1
22,3.364674,0.5831272,2
23,0.578494,0.22040267,3
24,0.7576283,0.8093812,4
25,4.280026,0.43565103,5
26,3.7882361,0.23612355,6
27,0.23186566,0.20608118,7
28,0.833461,0.8278648,8
29,1.7271595,0.48211527,9
30,1.3738238,0.060591135,0
31,5.092496,0.5189542,1
32,3.5615633,0.26588398,2
33,0.7993946,0.11547756,3
34,1.0334028,0.5832814,4
35,3.5990646,0.23353492,5
36,5.605948,0.28958505,6
37,0.41265368,0.1583792,7
38,1.884454,0.12688272,8
39,2.3067107,0.39251474,9
40,1.1999462,0.78691304,0
41,5.2573133,0.321725,1
42,3.7854788,0.3303642,2
43,0.6006571,0.2671536,3
44,1.4087412,0.26018485,4
45,5.511746,0.26049972,5
46,4.41587,0.56565505,6
47,0.23293552,0.33331972,7
48,1.0509114,0.62871003,8
49,4.1500435,0.4723311,9
50,1.333616,0.38169634,0
51,5.4397564,0.43539432,1
52,4.168696,0.75033545,2
53,0.7625272,0.28464946,3
54,1.6842718,0.20604461,4
55,3.8449736,0.24477907,5
56,4.5368824,0.26996255,6
57,0.23833843,0.19923761,7
58,1.3437684,0.13520716,8
59,5.101966,0.44658843,9
60,1.1499312,0.42880678,0
61,5.330601,0.66186875,1
62,5.16536,0.2486219,2
63,0.8637595,0.34426466,3
64,2.614079,0.39346325,4
65,3.7521627,0.19095191,5
66,4.16918,0.23372461,6
67,0.43637815,0.3390806,7
68,1.8142581,0.22538367,8
69,2.3091612,0.32128125,9
70,2.0157042,0.02885432,0
71,5.470057,0.21110584,1
72,2.7458298,0.068844676,2
73,0.7469564,0.4342979,3
74,2.021388,0.15039238,4
75,3.9277763,0.15665717,5
76,2.4113796,0.29051417,6
77,0.3373533,0.21307363,7
78,1.2542713,0.6857269,8
79,2.5170536,0.6578417,9
80,1.4104344,0.48310465,0
81,6.5232606,0.22927411,1
82,3.7206147,0.15701917,2
83,0.50075173,0.40880898,3
84,2.8109584,0.08122169,4
85,3.8791294,0.23251697,5
86,3.6276946,0.14066842,6
87,0.25389576,0.3107272,7
88,1.5045701,0.39110756,8
89,4.05664,0.5392615,9
90,1.5846379,0.11333501,0
91,4.227004,0.20910116,1
92,2.588647,0.178479,2
93,0.4587525,0.7200458,3
94,1.8716754,0.60522425,4
95,6.130348,0.39735517,5
96,3.8192196,0.6098754,6
97,0.28277704,0.16525872,7
98,1.6743277,0.10548772,8
99,3.37013,0.748631,9
100,1.2029239,0.50700504,0
101,5.003577,0.55873644,1
102,2.7013726,0.32402262,2
103,0.92847943,0.07390852,3
104,2.2343748,0.36017337,4
105,3.4327981,0.32100132,5
106,3.3094473,0.29220262,6
107,0.5313298,0.10130257,7
108,1.623302,0.22075178,8
109,3.6315022,0.27098015,9
110,1.1330507,0.37382534,0
111,5.894072,0.34554368,1
112,5.697295,0.873958,2
113,0.43276235,0.060246058,3
114,1.599813,0.24289632,4
115,5.8826165,0.4909066,5
116,4.063744,0.20212731,6
117,0.34301764,0.3177313,7
118,1.4365451,0.3960627,8
119,3.4540198,0.5712116,9
120,1.7054932,0.2537218,0
121,3.5099053,0.34038422,1
122,2.3913207,0.44414145,2
123,0.5253206,0.46612555,3
124,2.4602373,0.10646041,4
125,3.486147,0.260712,5
126,3.5518427,0.38243586,6
127,0.29951692,0.19544576,7
128,1.6165466,0.09710668,8
129,1.9718499,0.4337643,9
130,1.964951,0.08623728,0
131,4.930834,0.684808,1
132,2.6798277,0.9206442,2
133,0.9219129,0.2369648,3
134,1.1607836,0.5262861,4
135,6.3123136,0.6394346,5
136,1.6606365,0.08340249,6
137,0.28983656,0.42331806,7
138,0.90587443,0.66574895,8
139,2.443019,0.4717911,9
140,1.5664964,0.4392117,0
141,5.5774984,0.46788964,1
142,4.974743,0.3499919,2
143,0.76772875,0.36978406,3
144,1.5594532,0.4524101,4
145,2.8095746,0.34720612,5
146,3.80052,0.55020535,6
147,0.296262,0.43689775,7
148,1.2678784,0.35596237,8
149,2.3914545,0.5115333,9
150,2.0705411,0.119651146,0
151,5.4228897,0.42796314,1
152,3.1722312,0.37588537,2
153,1.0214759,0.15884407,3
154,0.72550905,0.88234675,4
155,4.426917,0.63575846,5
156,3.6188555,0.25041762,6
157,0.49044862,0.12643479,7
158,1.3061928,0.16096959,8
159,3.5412052,0.2504152,9
160,1.272559,0.33009762,0
161,5.138614,0.73803127,1
162,3.983448,0.35807973,2
163,0.35991454,0.3962423,3
164,2.3232036,0.21716762,4
165,3.967461,0.22190155,5
166,4.964624,0.015757598,6
167,0.27169076,0.31480718,7
168,0.6631875,0.6058821,8
169,2.6120017,0.22351831,9
170,1.6038952,0.16718452,0
171,3.066703,0.30372557,1
172,4.141086,0.26899916,2
173,0.552072,0.19271663,3
174,2.04717,0.47073686,4
175,3.5937831,0.37845504,5
176,3.282889,0.24543066,6
177,0.17777693,0.2055274,7
178,1.1605495,0.45702162,8
179,4.1911836,0.07351509,9
180,1.0559132,0.44290668,0
181,5.5317507,0.38486195,1
182,3.286824,0.3596492,2
183,0.33370045,0.2484696,3
184,2.866198,0.15117049,4
185,4.488787,0.20957139,5
186,5.7726746,0.010585436,6
187,0.5646521,0.068681285,7
188,1.2166301,0.53654045,8
189,1.9618148,0.25262707,9
190,1.4707154,0.27066582,0
191,6.037841,0.45501998,1
192,5.42604,0.6846592,2
193,1.1516776,0.1500378,3
194,1.5138006,0.3643043,4
195,2.8861823,0.5967815,5
196,6.5804987,0.41548282,6
197,0.2833597,0.19806266,7
198,1.072053,0.14839599,8
199,2.7984383,0.45298153,9
200,2.0575914,0.1330723,0
201,2.179494,0.3715945,1
202,3.4617352,0.25337583,2
203,1.0774667,0.05408849,3
204,1.4742479,0.6884376,4
205,4.3601885,0.47789207,5
206,4.1312437,0.18305281,6
207,0.398711,0.11255863,7
208,0.9673852,0.5462719,8
209,5.2969527,0.3457173,9
210,0.9045237,0.41786873,0
211,1.6124856,0.64151067,1
212,4.2778234,0.85050374,2
213,0.31356227,0.6100022,3
214,3.0868993,0.122480184,4
215,4.0206394,0.618876,5
216,4.0017023,0.5374241,6
217,0.24839431,0.151143,7
218,1.4836949,0.53318965,8
219,5.2334304,0.10409373,9
220,1.4074267,0.8182642,0
221,1.9050814,0.47655722,1
222,3.747699,0.341854,2
223,0.5884194,0.12163233,3
224,1.2808007,0.44788277,4
225,3.2067542,0.29791564,5
226,3.1998768,0.48891163,6
227,0.49711555,0.15958998,7
228,1.2121265,0.107968666,8
229,4.5470448,0.2988436,9
230,1.1918778,0.13973995,0
231,4.6598,0.497555,1
232,3.3488524,0.43434367,2
233,0.7888245,0.3254622,3
234,1.134631,0.70807624,4
235,3.69522,0.19174176,5
236,5.3634744,0.7577047,6
237,0.6611947,0.081548855,7
238,1.4705834,0.16677713,8
239,3.2028303,0.30360347,9
240,1.2961242,0.32275388,0
241,6.298537,0.2722985,1
242,4.321725,0.4480096,2
243,0.5328148,0.22318856,3
244,2.8146276,0.11533919,4
245,5.993397,0.22858359,5
246,4.3742948,0.07021304,6
247,0.65598315,0.36559632,7
248,1.5531443,0.4574982,8
249,4.3168097,0.44037545,9
250,1.0776238,0.3640887,0
251,6.689843,0.38787714,1
252,2.1489,0.5833881,2
253,0.51599497,0.61473507,3
254,0.9734925,0.34519288,4
255,1.6300935,0.254052,5
256,4.950953,0.18484296,6
257,0.22183618,0.10729307,7
258,0.7774187,0.36485583,8
259,5.174091,0.21387725,9
260,0.58069515,0.26236886,0
261,3.4799309,0.83765733,1
262,4.411648,0.32493004,2
263,0.5072864,0.5266911,3
264,2.0659165,0.36774898,4
265,3.6994245,0.38288072,5
266,2.5664995,0.13370688,6
267,0.45046085,0.10330972,7
268,1.0683863,0.53150165,8
269,1.8726386,0.45577008,9
270,1.588098,0.18658167,0
271,6.4684277,0.5076342,1
272,3.904272,0.3255445,2
273,0.8800539,0.3262309,3
274,2.2144427,0.10219543,4
275,4.0315123,0.18697807,5
276,5.927969,0.19308394,6
277,0.42557046,0.32108006,7
278,1.1985276,0.30913872,8
279,4.642753,0.4922465,9
280,1.3122606,0.38180858,0
281,6.9476395,0.34522536,1
282,4.1851482,0.20326032,2
283,0.6449878,0.23505645,3
284,1.0242803,0.6242864,4
285,1.7352192,0.48932928,5
286,2.6410067,0.40725923,6
287,0.21117961,0.30093205,7
288,1.2840965,0.2316546,8
289,3.753489,0.44173872,9
290,0.8741653,0.38194162,0
291,4.6898775,0.25438434,1
292,2.472005,0.3200013,2
293,0.35692328,0.5971593,3
294,1.9059585,0.405899,4
295,4.63402,0.33378816,5
296,4.5187397,0.81432796,6
297,0.41519704,0.17487021,7
298,0.9764855,0.6878909,8
299,4.292774,0.3415793,9
300,1.3518264,0.6684684,0
301,5.4396586,0.49861002,1
302,3.393307,0.7270706,2
303,0.6621133,0.15893711,3
304,1.0307572,0.70194846,4
305,3.7495637,0.30732724,5
306,4.4977126,0.17887405,6
307,0.23870768,0.1279593,7
308,1.9765257,0.08467433,8
309,1.7766697,0.35585487,9
310,1.2452583,0.4865256,0
311,6.482263,0.6156116,1
