,dec temp,habitual tendency,subject
0,4.9646144,2.083593,0
1,1.5967796,2.0707357,1
2,0.24471717,3.6093807,2
3,1.4995744,5.243044,3
4,1.7290853,3.824456,4
5,1.1167405,3.0366495,5
6,0.64910066,2.8046439,6
7,2.7986593,1.6575016,0
8,2.231154,2.845028,1
9,1.6829419,4.025518,2
10,0.9285723,3.862997,3
11,1.764909,1.7617321,4
12,0.913052,2.9458332,5
13,1.0768212,3.4833133,6
14,1.5743794,3.4735796,0
15,1.4639361,2.6302385,1
16,1.7323079,1.9979893,2
17,0.9151251,6.542741,3
18,1.253896,1.9447939,4
19,1.0540755,5.456743,5
20,3.4118094,2.9699383,6
21,3.9459972,1.0567532,0
22,3.3561466,3.2364712,1
23,2.3837109,3.4499576,2
24,2.1646576,4.730603,3
25,1.2680395,3.3818426,4
26,1.2844896,4.9477954,5
27,1.0298617,2.6438527,6
28,1.4354608,1.6904867,0
29,2.4786396,3.7841506,1
30,6.232765,3.5376441,2
31,0.6219267,1.9330823,3
32,1.4718127,4.2937727,4
33,0.8049581,5.5277677,5
34,0.49550563,2.5390508,6
35,2.0561025,2.5842104,0
36,1.2791643,3.5696282,1
37,1.157179,2.672734,2
38,3.4183552,4.314916,3
39,2.0070264,3.1660318,4
40,3.7632847,1.1400349,5
41,0.6408805,1.2164384,6
42,3.0848193,2.144778,0
43,1.2234418,3.5152328,1
44,0.9382831,2.9178472,2
45,2.2910697,3.2681725,3
46,0.8908341,4.4735703,4
47,1.7886208,2.7137268,5
48,0.89944565,3.5633273,6
49,1.772367,1.5441456,0
50,0.31377983,4.39624,1
51,1.3820009,2.3434834,2
52,2.0494027,3.8649406,3
53,1.1233108,4.8570127,4
54,0.9341482,3.483957,5
55,0.9841788,1.8316664,6
56,1.4072245,3.3746746,0
57,2.0856924,2.8528001,1
58,1.5982835,4.842777,2
59,1.1367317,3.3267722,3
60,1.714344,3.5124633,4
61,1.2283018,5.0779524,5
62,1.8876909,4.401758,6
63,2.958181,1.4748955,0
64,1.1649798,2.9787784,1
65,0.9643649,3.6055884,2
66,1.1030307,1.3640037,3
67,2.154691,2.5104885,4
68,0.8853694,4.019454,5
69,3.6031222,2.1747198,6
70,6.117857,0.8112922,0
71,1.3446511,3.3488057,1
72,1.1618422,3.009439,2
73,0.7951393,1.9404993,3
74,0.9966295,4.7361765,4
75,1.8762833,4.675395,5
76,0.73245573,5.512747,6
77,3.3817828,1.2544454,0
78,0.8299324,2.9919806,1
79,2.5305388,3.052572,2
80,1.015552,3.5199225,3
81,1.433519,4.1774564,4
82,1.8210535,4.4241705,5
83,1.294225,3.2145035,6
84,1.6347291,2.0530698,0
85,2.75498,3.0321412,1
86,1.2827528,3.696833,2
87,0.9044135,2.760014,3
88,1.90292,3.1204057,4
89,0.75911945,3.5507324,5
90,3.3787777,2.2615342,6
91,0.15663081,5.147213,0
92,4.0476665,3.1310298,1
93,2.6496806,2.5765917,2
94,1.6555288,3.6197937,3
95,0.94444835,3.046505,4
96,1.6053221,2.6701074,5
97,3.7111986,2.7510598,6
98,2.5760608,1.4170275,0
99,1.4282353,4.712519,1
100,2.479306,3.4819098,2
101,0.91494864,3.4130964,3
102,1.0420318,2.592795,4
103,1.0964371,4.827341,5
104,1.1372635,3.7138698,6
105,1.133416,1.6136181,0
106,1.1690636,2.4459805,1
107,0.78350806,2.2413495,2
108,2.3368793,3.6380553,3
109,1.1258991,4.6108065,4
110,1.1145939,4.777853,5
111,0.56912357,4.6672673,6
112,0.505752,2.91407,0
113,0.32652038,4.933556,1
114,3.6940427,2.6686978,2
115,1.737637,2.5141943,3
116,1.7424201,4.0805855,4
117,0.8580506,4.5624747,5
118,2.5348809,3.1688008,6
119,1.5819777,2.3331096,0
120,4.678603,3.6826587,1
121,0.4328906,2.8004594,2
122,1.0948238,2.4528227,3
123,0.9309146,3.8347986,4
124,1.6077889,4.6735225,5
125,1.8103642,2.8493466,6
126,1.0798726,4.176366,0
127,0.7933943,2.609347,1
