,locs0,locs1,subject
0,-1.9875854,-0.9051318,0
1,-1.3339101,-0.64057606,1
2,-1.8899438,-1.4547265,2
3,-2.3169205,0.16405591,3
4,-2.1862414,-1.757173,4
5,-1.9543177,-1.3809493,5
6,0.56318617,0.13861865,6
7,-0.7225511,0.5546498,0
8,-1.6078696,-0.7268321,1
9,-1.7865388,-0.6999329,2
10,-1.9224148,-0.20926231,3
11,-2.5683506,-0.65853244,4
12,-1.7719334,-0.8929137,5
13,-2.5258698,-0.19515435,6
14,-1.1204644,1.4413468,0
15,-1.8364643,-0.4847232,1
16,-1.7216821,-0.75092554,2
17,-1.6726441,-0.19457096,3
18,-1.8059561,-1.0594147,4
19,-2.7200508,-2.2275097,5
20,-1.2272406,0.2907793,6
21,-0.9536137,1.230031,0
22,-2.6040416,-0.1305911,1
23,-2.0665987,-0.77392864,2
24,-1.1957464,-1.9204199,3
25,-1.6685354,-1.7378733,4
26,-1.1302598,-2.3663568,5
27,-2.2462301,-0.49869198,6
28,-1.3671758,0.49587804,0
29,-1.7668884,0.040750444,1
30,-2.139502,-0.38783246,2
31,-2.0448635,0.5282872,3
32,-1.7525729,-2.1684325,4
33,-2.7929633,-0.78556466,5
34,-2.3521566,0.91438,6
35,-1.8530723,0.26401865,0
36,-2.5927823,-1.0619626,1
37,-2.2101133,-0.26210517,2
38,-1.5900489,-1.5458376,3
39,-1.8979064,-1.264082,4
40,-0.111240506,-1.5931952,5
41,-2.3946567,-0.7991128,6
42,-1.7218966,-0.59551054,0
43,-2.0142417,-0.5053324,1
44,-1.6508679,-0.79090333,2
45,-2.0686831,-0.40346098,3
46,-1.8161776,-2.227561,4
47,-1.6662028,-1.4860528,5
48,-3.6516738,-0.01705128,6
49,-1.7103957,0.70239913,0
50,-0.97822905,-0.6885821,1
51,-2.3645256,-1.4993829,2
52,-1.9017267,-1.4431514,3
53,-2.1016033,-0.66857713,4
54,-3.5845237,-1.3547223,5
55,-3.8590987,-1.5841908,6
56,-0.9524655,1.206662,0
57,-2.0738754,-0.5776501,1
58,-1.9125131,-0.5726972,2
59,-1.569252,-0.452906,3
60,-2.052028,-1.1576707,4
61,-0.68241,-1.2222998,5
62,-1.0715041,-0.9383765,6
63,-1.7041503,0.44593143,0
64,-1.629946,-0.24933875,1
65,-2.715992,-1.0374601,2
66,-2.0623474,-0.81629014,3
67,-1.9743861,-1.6416373,4
68,-2.3065627,-1.868196,5
69,-0.7948514,-0.5417279,6
70,-1.264003,-0.012110874,0
71,-1.8102304,-0.15865248,1
72,-1.9490811,-1.1639823,2
73,-2.1585667,-0.4927645,3
74,-2.3356757,-2.6269336,4
75,-1.761753,-0.9161807,5
76,-3.474492,-1.016861,6
77,-1.4923556,0.16570882,0
78,-2.1341796,-0.933882,1
79,-1.6760845,-0.55412495,2
80,-1.4213758,0.09416816,3
81,-1.5924928,-0.98033607,4
82,-3.3678036,-0.41054183,5
83,-0.93551266,-0.8615626,6
84,-1.2715166,-0.6998054,0
85,-1.2214165,-0.3345197,1
86,-1.9331871,-1.058767,2
87,-1.2592546,-1.1842704,3
88,-2.3506703,-0.6490655,4
89,-1.8806247,0.03772497,5
90,-2.3496184,-0.5346715,6
91,-1.7335181,0.14281651,0
92,-2.3556964,-0.8573582,1
93,-2.1816993,-0.84327316,2
94,-2.5769644,-1.2244403,3
95,-2.7664418,-0.7906641,4
96,-2.05977,-1.9251201,5
97,-2.265347,-0.94413316,6
98,-1.0050836,-0.3865108,0
99,-1.4469151,-1.2474573,1
100,-2.254275,-0.7777346,2
101,-1.9128693,-1.0092092,3
102,-0.88489485,-1.7142369,4
103,-1.1304195,-0.9763144,5
104,-1.9342775,0.22309446,6
105,-1.797059,-0.8395939,0
106,-1.6057413,-0.19473767,1
107,-1.7768325,-1.3791223,2
108,-1.7264687,-1.1092278,3
