,locs0,locs1,subject
0,-1.7389202,-0.06438431,0
1,-1.6934298,-0.04202366,1
2,-1.9462287,-0.7722149,2
3,-1.3483465,-0.5022921,3
4,-2.483377,-1.3958824,4
5,-1.0619045,-0.48339915,5
6,-3.4352813,-0.4572276,6
7,-1.5597751,-0.28845647,0
8,-1.8395574,-0.3387512,1
9,-2.5380583,-1.3850017,2
10,-1.2238503,0.43275815,3
11,-2.9575071,-0.78687227,4
12,-2.3022366,-0.7554971,5
13,-3.608038,-1.4332113,6
14,-1.6643977,0.018581785,0
15,-2.237551,-1.0864203,1
16,-2.237727,-0.921662,2
17,-2.175696,-0.71370876,3
18,-2.7827015,-1.8503342,4
19,-2.5072622,-0.57885045,5
20,-3.6420093,-0.7647254,6
21,-1.8076351,-0.72020674,0
22,-1.6663064,-0.6166238,1
23,-2.2472422,-0.86016035,2
24,-1.801866,-0.5560761,3
25,-1.436666,-2.7623272,4
26,-2.060756,-0.6358516,5
27,-1.9168097,-0.9923167,6
28,-1.4965141,-0.5857813,0
29,-2.281695,-0.37694764,1
30,-1.5887504,-0.4416322,2
31,-2.6924813,-1.1201577,3
32,-2.5735373,-0.9760042,4
33,-2.3270488,-1.2103593,5
34,-1.1362313,0.00400272,6
35,-2.5508173,-0.5271907,0
36,-1.9850422,-0.88229245,1
37,-2.2500057,-0.7288058,2
38,-1.4186547,-0.49569476,3
39,-2.2312045,-1.5912349,4
40,-2.2676218,-0.9787446,5
41,-2.049404,0.48695987,6
42,-1.5625892,0.6947132,0
43,-2.160768,-0.31881112,1
44,-2.047127,-0.6974627,2
45,-2.2052956,-0.84886706,3
46,-2.4392838,-0.834116,4
47,-1.6508927,-1.2788554,5
48,-2.8323624,-0.8581983,6
49,-2.0263076,-0.27347687,0
50,-1.9871408,-0.23973033,1
51,-1.8866849,-0.9561397,2
52,-2.0246403,-1.1017089,3
53,-2.0727496,-2.210973,4
54,-2.541247,-1.7240052,5
55,-1.593942,0.6692615,6
56,-1.2967613,0.6504267,0
57,-2.0090084,0.17302221,1
58,-2.2314239,-1.6080918,2
59,-2.3329248,0.22654164,3
60,-1.9529788,-2.8172045,4
61,-1.2864108,-1.1712146,5
62,-1.5273261,-0.031128913,6
63,-1.4894469,0.14940688,0
64,-2.2942874,-0.21975055,1
65,-2.1345892,-1.2853595,2
66,-2.3341146,-0.08043164,3
67,-1.9319575,-1.784808,4
68,-2.7921853,-1.4570719,5
69,-1.2795649,0.24953198,6
70,-2.264112,-1.2466576,0
