,dec temp,habitual tendency,subject
0,4.684596,1.5459294,0
1,0.64632785,5.262754,1
2,1.9220031,5.038106,2
3,4.653246,3.4638717,3
4,1.7735305,2.4643798,4
5,8.157602,2.5623565,5
6,4.99006,4.419892,6
7,3.8983285,5.8778167,0
8,1.0487626,3.7322135,1
9,1.7955416,6.318412,2
10,3.3985064,4.4780383,3
11,2.8541164,4.9856653,4
12,3.5223076,4.8644857,5
13,5.7718763,3.4942737,6
14,1.9905101,7.4297338,0
15,3.0957074,5.72588,1
16,3.4951189,4.2527704,2
17,3.5140812,2.8974824,3
18,2.3644772,4.8925805,4
19,5.8673115,7.2236733,5
20,7.4877186,6.814576,6
21,1.0800124,7.272539,0
22,3.9422104,3.6528883,1
23,3.1011796,3.894627,2
24,0.7506111,6.2050867,3
25,2.1800258,3.1566892,4
26,8.363093,6.6265793,5
27,0.2275599,5.991987,6
28,2.873627,8.060822,0
29,2.8069293,4.338005,1
30,4.7814918,3.0197468,2
31,2.3812613,3.83021,3
32,3.3158495,3.5789847,4
33,4.989254,3.2246602,5
34,2.1205027,3.112836,6
35,3.1297407,6.004023,0
36,5.5417776,1.6332887,1
37,1.0491937,3.7693167,2
38,2.144897,5.343438,3
39,3.3317704,2.4160392,4
40,2.0492296,5.875386,5
41,4.9189844,3.6828806,6
42,2.5413013,8.699682,0
43,3.3078876,4.3740077,1
44,2.3674586,3.6756139,2
45,3.1642818,6.0231447,3
46,0.27198967,5.336481,4
47,0.8321332,3.1484735,5
48,1.4439648,6.0320215,6
49,3.255466,6.7066865,0
50,0.9225826,3.8717523,1
51,3.2579348,4.0451794,2
52,5.155521,6.752185,3
53,4.8189597,5.142145,4
54,1.9542931,3.3316784,5
55,4.7836146,5.2161555,6
56,2.5674539,1.4773161,0
57,3.3645394,5.3614674,1
58,2.5237937,4.519492,2
59,3.7347546,2.7395973,3
60,6.6740365,2.6541343,4
61,0.25070083,2.6237128,5
62,1.7789414,3.6226048,6
63,2.6854544,7.0879135,0
64,1.0122079,3.020401,1
65,2.3153768,1.6554128,2
66,4.8456507,1.9285548,3
67,0.9450818,3.9407625,4
68,5.537099,4.7235713,5
69,3.0744483,5.559593,6
70,4.5288353,2.0373714,0
71,5.7503514,3.553937,1
72,1.8151449,3.1073666,2
73,1.2748201,4.4761863,3
74,1.4125043,2.119013,4
75,0.6382415,1.2128222,5
76,1.5723933,2.1141934,6
77,1.8789762,3.6680744,0
78,4.1712055,2.013481,1
79,0.67982674,4.7468233,2
80,0.6299819,4.1827636,3
81,0.20690879,2.2834494,4
82,0.82176197,3.24783,5
83,1.0608565,2.9825335,6
84,5.0573664,7.857402,0
85,3.8938427,4.731363,1
86,4.7921786,2.8700995,2
87,0.989641,5.6669564,3
88,7.847436,2.3088226,4
89,6.0395927,2.9859252,5
90,8.067216,8.813632,6
91,2.135534,4.875057,0
92,0.35424235,4.753516,1
93,3.4803464,2.0360222,2
94,1.0880158,5.575621,3
95,7.2411566,3.530877,4
96,7.3825364,4.5097866,5
97,0.21935463,3.0768535,6
98,3.1526704,6.6554875,0
99,4.104516,3.8789773,1
100,3.148993,2.2228346,2
101,8.277399,1.9118781,3
102,3.8357453,1.8482239,4
103,3.06983,2.4717674,5
104,1.9744058,5.157154,6
105,1.5186721,5.163839,0
106,5.452221,3.39469,1
107,4.605815,2.5874472,2
108,5.8517003,1.291274,3
109,3.776842,4.804986,4
110,7.509244,7.724299,5
111,4.2542515,2.7701852,6
112,5.1643295,3.9949102,0
113,4.930459,1.7775505,1
114,3.3334413,2.4852045,2
115,8.841923,3.5762284,3
116,8.690044,4.5915947,4
117,4.372049,2.137967,5
118,2.021199,6.7771606,6
119,2.030854,8.388934,0
120,1.608294,4.708119,1
121,4.5849032,4.8421793,2
122,7.4386387,3.0004306,3
123,2.08114,3.9673886,4
124,1.5582423,3.3082166,5
125,2.8804443,6.895285,6
126,4.1677437,6.7962723,0
127,1.5126787,5.0328784,1
128,3.1366873,3.975909,2
129,3.7131786,8.07125,3
130,7.592041,3.2482388,4
131,9.481308,3.204908,5
132,1.5733682,2.7353165,6
133,1.4420476,6.254168,0
134,6.584561,3.2308948,1
135,1.8590516,1.940717,2
136,5.4358435,4.8626013,3
137,0.7856872,2.6863468,4
138,5.6788244,2.7681282,5
139,7.7373285,6.22575,6
140,1.6395057,7.908278,0
141,3.5358832,3.94665,1
142,3.2304125,4.4197707,2
143,2.734911,7.27993,3
144,1.0819355,3.905417,4
145,2.278257,2.6799097,5
146,4.3445463,6.1197753,6
147,2.1040533,6.4794884,0
148,4.752032,3.0710518,1
149,3.975382,1.4613786,2
150,2.6717532,6.2370615,3
151,1.4064788,2.7656963,4
152,4.4571266,2.6999476,5
153,0.45785543,7.463794,6
154,1.1738057,5.2802854,0
155,3.4504418,3.9213278,1
156,1.2174629,5.500099,2
157,4.4382057,1.8547143,3
158,5.4550133,6.815812,4
159,0.26005107,5.8614783,5
160,7.6242776,5.6307592,6
161,3.6136765,5.8864803,0
162,5.3981876,3.3409104,1
163,4.325863,3.297486,2
164,6.8558984,6.3156366,3
165,8.593766,3.187447,4
166,5.059061,2.7429342,5
167,5.1448417,4.039423,6
168,2.5073242,1.5985495,0
169,1.2440418,4.4301896,1
170,5.2765074,3.901402,2
171,7.2112846,3.4830666,3
172,5.741499,4.9397125,4
173,3.5169718,2.247357,5
174,3.306479,5.2924542,6
175,2.318999,7.017355,0
176,2.1541538,3.4360743,1
177,2.431063,3.6828425,2
178,1.8618478,6.895216,3
179,0.5743997,1.6582146,4
180,2.0844545,3.6222875,5
181,6.8961363,4.0885835,6
182,3.0567334,7.9003816,0
183,1.5867605,6.4479294,1
184,1.9320326,3.0977595,2
185,4.524574,4.409249,3
186,1.520731,1.3882555,4
187,2.9682362,1.3816144,5
188,2.8003554,6.653416,6
189,4.8030796,6.4631104,0
190,5.577241,2.9732573,1
191,5.399088,4.6087384,2
192,7.101908,7.3713107,3
193,1.4487932,2.5606022,4
194,5.8018456,4.301813,5
195,1.1171191,4.1712694,6
196,2.0331302,8.316004,0
197,2.618713,3.9127314,1
198,2.1243207,4.0873413,2
199,3.718193,1.9284778,3
200,0.87577367,1.314425,4
201,1.5522931,3.748674,5
202,7.0914226,5.7391186,6
203,0.6968554,5.009407,0
204,5.117672,5.5065937,1
205,4.5402317,0.9071193,2
206,2.6586676,5.2490377,3
207,1.4357493,2.7096453,4
208,7.826995,6.243533,5
209,2.3884518,6.1199436,6
210,2.1609473,8.973395,0
211,2.1072774,4.015132,1
212,1.6126477,5.190923,2
213,1.0458333,6.1078286,3
214,5.323138,3.1015801,4
215,7.3151803,2.6153994,5
216,3.8329988,2.2225294,6
217,2.7652397,7.058584,0
218,1.2448344,3.6050274,1
219,2.5033572,3.742978,2
220,1.1144775,3.224359,3
221,8.195172,3.4630303,4
222,5.039823,6.5153093,5
223,3.9199896,6.3886776,6
224,1.5916607,6.5779467,0
225,3.790201,2.8011286,1
226,3.561583,0.6499468,2
227,1.9471931,4.055552,3
228,4.9798923,1.9896089,4
229,9.330713,4.6436114,5
230,5.83418,5.1246953,6
231,1.8170558,2.2735372,0
232,1.7847335,2.500776,1
233,5.607745,2.6874278,2
234,1.4292054,3.6373081,3
235,3.9415762,1.6756856,4
236,3.447115,2.5025482,5
237,2.3160114,7.2695823,6
238,2.3756623,6.9528008,0
239,6.6025705,2.8125432,1
240,4.6750174,2.8035142,2
241,0.64479107,2.8242114,3
242,2.193543,2.2972355,4
243,6.346222,5.5138803,5
244,5.449396,5.4611278,6
245,2.143667,5.0851765,0
246,4.6265497,3.8634553,1
247,3.4496446,1.9903682,2
248,1.0403763,6.346075,3
249,1.6923665,4.672357,4
250,4.1683645,4.898179,5
251,0.8080602,3.1285744,6
252,2.9186268,5.746944,0
253,3.625606,4.335889,1
254,3.7340643,2.8725612,2
255,6.621105,4.08601,3
256,0.34980163,3.2459698,4
257,5.213788,4.2512264,5
258,8.030945,5.305148,6
259,1.4916532,7.733466,0
260,7.468204,4.1249447,1
261,4.2386694,3.587708,2
262,8.336419,3.010081,3
263,0.8845829,3.9205036,4
264,3.460026,3.5710046,5
265,0.7321494,2.5830202,6
266,3.8458223,2.8670585,0
267,2.5162044,3.8067894,1
268,1.6632801,6.8594575,2
269,0.81634253,7.743468,3
270,1.7917584,4.660895,4
271,2.9773555,4.079413,5
272,0.97868013,6.6800156,6
273,2.3983192,5.1296015,0
274,1.4450837,5.866484,1
275,1.8262262,4.267072,2
276,2.7861679,4.6483927,3
277,5.685789,4.1176124,4
278,0.09180412,2.8568065,5
279,8.747596,8.924708,6
280,2.2102108,4.0962734,0
281,3.2135515,4.8383417,1
282,1.9800608,4.0993586,2
283,3.7806072,2.632084,3
284,2.5494192,2.3837068,4
285,4.9278293,1.4719547,5
286,6.8323956,3.612392,6
287,1.3007802,4.444993,0
288,4.6840296,3.7698822,1
289,1.5562493,1.6079749,2
290,1.4518375,2.5841541,3
291,6.6721635,3.0767865,4
292,5.6155562,4.0565495,5
293,0.443944,6.0658717,6
294,3.3952177,8.636273,0
295,2.4232402,3.359901,1
296,1.1918995,3.3746095,2
297,0.40185687,2.75547,3
298,2.7765079,4.26061,4
299,9.651524,6.069183,5
300,0.57909536,3.8679516,6
301,3.7252152,6.7937474,0
302,5.33564,3.0844092,1
303,2.6255963,5.2870708,2
304,1.7261447,4.4985557,3
305,1.179877,2.673067,4
306,7.6298113,7.227082,5
307,6.3823347,3.5137887,6
308,2.320546,3.0240061,0
309,7.2278433,2.7094822,1
310,3.4685192,2.257985,2
311,1.8704183,3.231783,3
312,8.392214,5.6452913,4
313,1.1881732,3.4962204,5
314,1.5477226,4.3745522,6
315,3.1825495,5.588044,0
316,5.6176324,2.1340728,1
317,1.1003646,6.234141,2
318,0.2447766,8.307854,3
319,1.1919769,2.3352692,4
320,2.7626615,7.1410365,5
321,2.8028874,4.4609284,6
322,1.8415307,4.73266,0
323,5.0946493,2.555177,1
324,3.9144351,1.4586027,2
325,1.7997576,4.048099,3
326,1.2424834,2.377449,4
327,2.1563663,1.1071622,5
328,3.2483137,6.911793,6
329,1.6739398,2.3908415,0
330,4.7625346,3.2264833,1
331,2.6762648,2.162957,2
332,5.271593,1.868086,3
333,4.3934994,2.1586266,4
334,1.0862056,2.136155,5
335,7.0280714,6.7131763,6
336,1.1441021,5.20074,0
337,7.6969967,2.7454102,1
338,3.0037627,3.6540399,2
339,3.4575555,5.963399,3
340,0.5769216,1.8831141,4
341,2.1035683,6.923189,5
342,1.2007794,3.9080307,6
343,2.5284073,3.9784985,0
344,2.636874,4.587166,1
345,4.512804,1.499927,2
346,2.950087,3.4045074,3
347,0.35336357,1.2498437,4
348,9.25161,5.5308905,5
349,2.810345,2.4316041,6
350,5.1756043,6.024269,0
351,5.372319,3.824109,1
352,4.838361,4.420242,2
353,0.58976,7.461486,3
354,1.0740275,2.6985388,4
355,3.3643413,5.780837,5
356,5.7536297,4.6007047,6
357,1.5185475,2.7932513,0
358,0.8138789,3.1479554,1
359,6.002306,3.971881,2
360,2.1240396,4.0163856,3
361,1.2707282,2.8117561,4
362,4.4315224,3.298912,5
363,5.4674506,6.7871804,6
364,3.534203,4.3283844,0
365,0.8998158,2.3779776,1
366,2.2915354,0.96231365,2
367,1.700651,2.9242973,3
368,0.41320467,2.4541066,4
369,2.2154758,6.692565,5
370,2.6360548,2.8753352,6
371,3.2925186,5.0974464,0
372,6.653574,4.3770523,1
373,2.426912,5.3803425,2
374,2.850795,3.567274,3
375,2.511222,1.7030017,4
376,4.072831,4.921285,5
377,2.547681,2.6557968,6
378,2.5554798,7.0353365,0
379,6.347272,2.309102,1
380,1.2446674,5.942624,2
381,1.600838,4.434987,3
382,1.3734016,1.719684,4
383,5.5305057,2.753868,5
384,0.29358518,3.1095293,6
385,2.150206,5.6054597,0
386,3.4864407,5.3017216,1
387,4.3942623,1.1939932,2
388,2.579248,2.426392,3
389,0.2186474,4.063657,4
390,0.8008272,4.7580533,5
391,4.9645863,4.696383,6
392,3.8430073,8.037604,0
393,0.35678107,5.2348323,1
394,3.2364826,3.753356,2
395,5.2271943,5.875169,3
396,1.3314317,3.0588367,4
397,0.4927371,4.2265754,5
398,5.6780787,4.8947015,6
399,0.95357174,1.6868904,0
400,2.918351,2.1599908,1
401,5.2469926,1.4382885,2
402,1.2371755,3.7815952,3
403,3.180431,2.7517798,4
404,2.586927,1.6224113,5
405,9.4608555,7.426463,6
406,2.667867,5.223436,0
407,5.9192824,3.8758144,1
408,2.9563026,4.9203396,2
409,2.2635872,7.9231663,3
410,5.4360895,4.824099,4
411,0.93471897,4.0825505,5
412,6.117427,5.964553,6
413,3.038467,1.9732012,0
414,2.587997,3.441665,1
415,2.1427913,3.007926,2
416,3.844326,5.043605,3
417,4.9152822,4.0267234,4
418,1.4630848,2.2687533,5
419,7.618538,7.4465046,6
420,3.2176733,6.9812784,0
421,3.8163078,3.2065132,1
422,4.1940885,2.5053785,2
423,2.8604217,2.7499757,3
424,0.45831293,4.667932,4
425,0.7946936,1.2936497,5
426,0.23529094,1.6497368,6
427,1.8106713,8.753743,0
428,1.334091,3.0421855,1
429,2.9377174,2.8409095,2
430,0.57962203,5.390716,3
431,7.2849827,3.1434846,4
432,0.6013851,2.142565,5
433,4.9123697,5.376234,6
434,3.465352,2.2470932,0
435,1.059242,4.249022,1
436,2.3287199,5.1083307,2
437,3.507321,4.09562,3
438,5.9714394,2.1971948,4
439,0.81069237,3.6232672,5
440,6.799088,4.1619515,6
441,1.4733888,1.2254645,0
442,5.173099,2.5647578,1
443,3.5008311,1.1935631,2
444,2.3828783,2.7353928,3
445,4.526894,3.9287024,4
446,2.623713,1.6554897,5
447,5.272111,6.775687,6
448,2.1641707,8.570606,0
449,4.5675497,3.0431843,1
450,4.191775,2.0077224,2
451,4.346216,4.396331,3
452,3.1364474,2.6797416,4
453,1.3786218,4.611676,5
454,3.9543006,3.6943758,6
455,1.9724286,8.47728,0
456,1.0132866,4.679497,1
457,1.822009,3.1371915,2
458,1.8036163,5.3098783,3
459,5.2596874,1.6884159,4
460,1.3969035,2.1599054,5
461,0.7558369,2.8003297,6
462,4.0156307,7.3540936,0
463,5.6403284,3.6080575,1
464,2.0339966,3.1888952,2
465,1.4574875,2.5462418,3
466,8.507527,6.6265965,4
467,2.2172859,1.3344992,5
468,0.38206133,2.1134171,6
469,3.180862,4.3386407,0
470,3.002336,3.8435676,1
