,locs0,locs1,subject
0,-2.012332,-1.1456612,0
1,-2.6372151,-0.78801847,1
2,-2.159067,-1.0171597,2
3,-2.2515688,1.1166916,3
4,-2.698644,-2.6421702,4
5,-3.2435107,-1.6536497,5
6,-2.9665115,-0.60756475,6
7,-2.0672472,0.112909645,0
8,-2.0146177,-0.20647761,1
9,-2.4468582,-0.7555455,2
10,-2.3927414,-0.24397501,3
11,-2.6180847,-1.9577041,4
12,-2.4738734,-2.2370179,5
13,-2.3361573,0.032381356,6
14,-1.9448038,0.114778906,0
15,-2.2349212,-0.7860544,1
16,-2.620874,-1.2992384,2
17,-2.0815704,-0.87513006,3
18,-3.2600436,-0.4632883,4
19,-2.9918938,-0.7979701,5
20,-3.3320835,-0.26487902,6
21,-1.5044541,0.78791964,0
22,-2.1271758,-0.6728233,1
23,-2.6298344,-1.622776,2
24,-2.164359,-0.9992275,3
25,-3.1711392,-0.8855047,4
26,-2.6771789,-1.0832729,5
27,-2.2254574,1.9427134,6
28,-1.866313,0.37961832,0
29,-1.8746624,-0.53784835,1
30,-2.238467,-1.2121654,2
31,-1.940375,-0.26714072,3
32,-2.6644695,-1.0696495,4
33,-2.7158465,-2.1957757,5
34,-3.093999,-1.1731043,6
35,-1.8712268,-0.45565182,0
36,-2.7704463,-1.2331767,1
37,-2.2201123,-0.8098043,2
38,-2.5220084,-0.8641858,3
39,-2.618659,-1.428416,4
40,-2.429178,-2.273797,5
41,-2.7155447,-0.52541816,6
42,-1.7359449,-0.10078792,0
43,-3.3777223,-1.0791023,1
44,-2.3451319,-1.113735,2
45,-2.8908854,-0.41597793,3
46,-2.9974551,-1.4752399,4
47,-3.2801132,-2.532794,5
48,-2.764277,-1.5622399,6
49,-2.0514827,-1.4419487,0
50,-2.5366316,-0.6431564,1
51,-2.2182295,-1.4464579,2
52,-1.9985145,0.057917893,3
53,-2.8509972,-0.9316856,4
54,-2.5730884,-0.6108712,5
55,-2.0598702,0.40873885,6
56,-1.6789393,-0.77303016,0
57,-3.0689557,-0.87615514,1
58,-2.7118666,-0.8181445,2
59,-2.1353812,-0.45028713,3
60,-2.6396036,-2.0083795,4
61,-2.019932,-0.29250073,5
62,-2.9652774,-0.76033556,6
63,-1.8961374,-0.5280411,0
64,-2.0889812,-0.32921374,1
65,-2.0942025,-0.9154129,2
66,-2.7238338,-1.1333061,3
67,-3.214757,-0.7778439,4
68,-1.7173064,-1.3778465,5
69,-3.446368,-1.523402,6
70,-1.3215854,0.6229844,0
71,-2.2159038,-0.78382534,1
72,-2.2717566,-0.88255906,2
73,-1.9435259,-1.313233,3
74,-2.906611,-0.6553714,4
75,-2.565934,-1.3488646,5
76,-2.6423504,-0.57845944,6
77,-1.9650677,-0.10322553,0
78,-1.6035937,-0.65838856,1
79,-2.400948,-1.3502686,2
80,-2.1431649,0.4141258,3
81,-2.4619417,-0.95254743,4
82,-2.8597193,-0.5656866,5
83,-2.9226441,-0.9401618,6
84,-1.776113,0.45812353,0
85,-2.4038255,-0.3736576,1
86,-2.4125688,-1.1670016,2
87,-2.9009404,-0.49029377,3
88,-3.8572025,-0.06620431,4
89,-2.461212,-0.9480291,5
90,-3.2562716,-0.107111335,6
91,-2.0423176,0.15177026,0
92,-2.476769,-0.46630836,1
93,-2.2307482,-1.3458155,2
94,-2.4835737,-1.5120804,3
95,-3.1808925,-0.6853479,4
96,-3.4521947,-1.3297791,5
97,-2.9749634,-0.4455312,6
98,-1.9698594,-0.56699276,0
99,-2.5520234,-0.2059519,1
100,-2.127805,-0.88308454,2
101,-1.2073511,-0.8254403,3
102,-2.5700345,-1.0314131,4
103,-2.2832077,-1.4158412,5
104,-3.3392687,-0.8797055,6
105,-1.6279657,-0.38715503,0
106,-1.792736,-0.6690648,1
107,-2.6841192,-1.5621239,2
108,-1.9761562,-1.8712416,3
109,-1.8405633,-2.71076,4
110,-2.397465,-0.97832924,5
111,-3.328317,-1.2234555,6
112,-2.262785,-0.68925697,0
113,-2.2537508,-1.2113012,1
114,-2.054974,-0.7652238,2
115,-2.4416041,-1.025267,3
116,-2.5633304,-0.8684493,4
117,-2.909036,-0.6298836,5
118,-3.0312145,-0.52588654,6
119,-1.7062684,0.036578268,0
120,-2.6416852,-0.9458631,1
121,-2.5275333,-1.0091536,2
122,-1.7014267,-0.07628685,3
123,-2.833449,-0.7896468,4
124,-2.8821852,-1.1307111,5
125,-2.94404,-1.8003587,6
126,-1.456581,-0.042316988,0
127,-2.7289834,-0.44394904,1
128,-2.1219866,-1.0167778,2
129,-1.9777224,-1.0753343,3
130,-3.08898,-1.0586023,4
131,-2.5240297,-1.2253568,5
132,-2.9063017,-0.5280392,6
133,-1.8468953,-0.28479397,0
134,-3.1324735,-1.0831366,1
135,-2.5998287,-1.3022574,2
136,-2.4506843,-1.1376002,3
137,-2.7178392,-1.4253187,4
138,-3.0042348,-2.3993094,5
139,-2.4805367,-0.841359,6
140,-1.7984841,0.21701309,0
141,-2.7534153,-0.69640815,1
142,-2.438939,-1.2024258,2
143,-2.4992967,-0.91556454,3
144,-2.4151177,-2.4467702,4
145,-2.5105727,-0.9065014,5
146,-2.8397338,-0.5049124,6
147,-1.6987116,-0.15730384,0
148,-2.554941,-0.7197853,1
149,-2.3655903,-1.0850025,2
150,-2.3564079,-0.8814429,3
151,-2.3436756,-1.172166,4
152,-3.3001957,-1.763613,5
153,-2.8755233,-0.73503643,6
154,-2.1878796,-0.028046846,0
155,-1.9524933,-0.762481,1
156,-1.897003,-0.9057247,2
157,-1.9717542,-0.54471874,3
158,-2.28438,-2.1412911,4
159,-2.6377873,-2.049206,5
160,-2.409049,-0.051263392,6
161,-2.2314823,-0.92276645,0
162,-2.32276,-1.0618879,1
163,-2.75494,-1.5846262,2
164,-2.5142856,-0.2786474,3
165,-2.4672744,-1.1053606,4
166,-2.1542265,-1.7552873,5
167,-2.8323433,-0.33909184,6
168,-2.0132895,-1.2247295,0
169,-1.8947742,-0.5316502,1
170,-2.1544983,-0.6245188,2
171,-1.8669084,-0.4659058,3
172,-2.6886632,-0.7611743,4
173,-3.162381,-1.552066,5
174,-3.335832,-1.0984011,6
175,-1.3637164,0.88407636,0
176,-2.2309394,-0.3381161,1
177,-2.4216914,-1.0886931,2
178,-2.144854,-2.1208048,3
179,-2.6846256,-1.5351732,4
180,-2.7074547,-0.65720636,5
181,-3.6486986,-0.79155916,6
182,-2.3859255,-0.7546482,0
183,-2.479693,-1.1964883,1
184,-2.3445795,-0.6796566,2
185,-2.7382407,-1.0857382,3
186,-2.9047637,-0.83789665,4
187,-4.3310275,-0.72340524,5
188,-3.1327806,-1.5013936,6
189,-2.019793,-1.2048632,0
190,-2.9270408,-0.47113892,1
191,-2.165168,-0.9954399,2
192,-2.4865818,-0.8798201,3
193,-2.5613766,-2.7089694,4
194,-3.144806,-0.89616907,5
195,-3.4524758,-2.1699867,6
196,-1.7211285,-0.4109599,0
197,-2.1274035,-0.65320325,1
