,locs0,locs1,subject
0,-2.6689575,-1.2454519,0
1,-3.300469,-1.1530502,1
2,-2.9866903,-1.0721611,2
3,-3.185129,-1.024928,3
4,-2.073179,-0.9965606,4
5,-1.8976815,-0.6515055,5
6,-2.7587605,-0.7453838,6
7,-2.36635,0.48125046,0
8,-2.2554498,-0.8530812,1
9,-2.6442857,-0.6101908,2
10,-2.9250274,-0.42563814,3
11,-2.487288,-0.8199289,4
12,-2.6284335,-0.42325038,5
13,-3.1484962,-1.3264487,6
14,-1.8369241,-0.87081224,0
15,-2.1196978,-0.9067068,1
16,-2.5396712,-0.9445409,2
17,-2.782509,-1.0642792,3
18,-2.4418213,-0.9303427,4
19,-2.156407,-0.65418625,5
20,-2.75584,-0.29983902,6
21,-1.9122843,-1.4213542,0
22,-2.1601806,-1.063721,1
23,-2.0124996,-0.5104954,2
24,-2.8915908,-0.7987391,3
25,-2.3590863,-1.0218164,4
26,-2.4643524,-1.4936438,5
27,-2.6128418,-0.34605694,6
28,-2.6503255,-0.7010131,0
29,-2.7502851,-1.541131,1
30,-2.0297403,-0.6816131,2
31,-2.5294366,-1.0195615,3
32,-2.5304568,-0.73811114,4
33,-3.141428,-0.4297408,5
34,-2.5381804,-1.6582599,6
35,-3.0688841,-0.8834399,0
36,-2.3190608,-0.5250154,1
37,-2.987225,-0.74030185,2
38,-2.44862,-0.91248107,3
39,-2.3984475,-0.6795971,4
40,-3.2476919,-0.75388277,5
41,-3.1463351,-2.1368723,6
42,-2.8491642,-0.6627691,0
43,-2.5138512,-1.2074698,1
44,-2.6723244,-1.1091553,2
45,-2.843243,-1.4380326,3
46,-2.3144526,-0.37592992,4
47,-2.9886642,0.46291327,5
48,-2.246142,-1.0651871,6
49,-3.0188248,-0.8597162,0
50,-3.062091,-0.21912831,1
51,-3.0312328,-0.49855244,2
52,-3.046553,0.7602947,3
53,-2.484043,-0.85054576,4
54,-2.5785968,-0.70522237,5
55,-3.2080169,-0.32476807,6
56,-2.3100917,-1.2067254,0
57,-2.150484,-0.6480466,1
58,-2.8005338,-1.5261923,2
59,-2.8128538,-0.5139742,3
60,-2.1130815,-1.0606092,4
61,-3.2881386,-0.3390953,5
62,-2.4115467,-1.6236776,6
63,-2.6374872,-1.3231368,0
64,-2.020493,-0.7272415,1
65,-2.8703763,-0.901251,2
66,-2.3861256,-1.1405964,3
67,-1.6716006,-0.4344098,4
68,-2.7877796,-1.0075865,5
69,-2.03171,-0.863834,6
70,-2.37488,0.38908857,0
71,-1.8516253,-0.6191239,1
72,-1.8399639,-0.72226775,2
73,-2.6612396,-0.7477966,3
74,-2.2283397,-0.554506,4
75,-2.3336337,-0.99365973,5
76,-2.939106,-0.74558,6
77,-1.7979118,-0.8178693,0
78,-2.0932784,-0.39707816,1
79,-2.0789344,-0.48586825,2
80,-2.5444257,-0.8710263,3
81,-2.841519,-1.4545716,4
82,-1.8771589,-0.78120494,5
83,-2.4522214,-1.427266,6
84,-1.6653144,-0.92721343,0
85,-2.2612915,-0.99028426,1
86,-2.6616292,-0.41578174,2
87,-2.4288056,-1.3246657,3
88,-2.7444584,-1.2736052,4
89,-2.577409,-0.35888025,5
90,-1.8140997,-1.4970052,6
91,-2.042817,-0.39974225,0
92,-3.0104697,-1.0558895,1
93,-2.5865855,-0.49503154,2
94,-2.3046455,-0.99582916,3
95,-2.3717678,-0.78631186,4
96,-3.123929,-0.88076067,5
97,-2.5894003,-1.339107,6
98,-2.2054281,-0.88445437,0
99,-3.279539,-0.4567064,1
100,-2.4449012,-1.0054824,2
101,-2.5659554,-1.2213871,3
102,-2.5213642,-0.87807196,4
103,-2.2977242,-0.93249047,5
104,-2.5320582,-1.5796094,6
105,-2.2875533,-1.0713454,0
106,-2.4905212,-0.44491103,1
107,-3.1695397,-0.8025386,2
108,-2.656864,-0.5298456,3
109,-2.841369,-1.0061672,4
110,-2.9975429,-0.44575077,5
111,-2.1478868,-0.8325583,6
112,-3.1852503,-1.1831694,0
113,-2.8490038,-1.6461898,1
114,-2.7951686,-0.80604875,2
115,-2.2041364,-0.6881925,3
116,-2.4866533,-0.9443545,4
117,-1.8541212,-1.0976568,5
118,-2.362243,-0.92181623,6
119,-2.4528391,-1.1416564,0
120,-2.178775,-0.77142197,1
121,-2.1730587,-0.20030183,2
122,-2.524984,-1.3017682,3
123,-2.5155208,-0.73814523,4
124,-2.175399,-0.8197194,5
125,-2.3645995,-1.3664163,6
126,-1.8988318,-0.30448163,0
127,-3.0702047,-1.4031563,1
128,-2.118351,-0.86190367,2
129,-2.841518,0.0050884485,3
130,-2.865434,-1.0545862,4
131,-2.5352957,-0.3482155,5
132,-2.636348,-1.4487286,6
133,-2.9588573,-0.99512625,0
134,-2.2224388,-1.2155159,1
135,-2.9270027,-0.72902024,2
136,-3.2091565,-1.438214,3
137,-3.1673403,-1.6262748,4
138,-2.5023491,-0.33628088,5
139,-2.4874043,-1.2358593,6
140,-2.5527458,-0.67073804,0
141,-3.2129045,-1.5035614,1
142,-2.549935,-1.2283272,2
143,-2.7842689,-1.1097372,3
144,-2.2595701,-1.0933778,4
145,-3.1974015,-0.72525567,5
146,-2.9205647,-0.9298863,6
147,-2.555052,-0.602157,0
148,-3.1076403,-1.0596648,1
149,-1.1349733,-0.5118957,2
150,-2.0545964,-2.5523405,3
151,-2.3679857,-0.78010964,4
152,-3.157138,-0.79989326,5
153,-2.8841128,-0.31405604,6
154,-3.5829408,-0.7905054,0
155,-2.7658765,-1.0955436,1
156,-2.4758065,-0.62294143,2
157,-2.4541423,-1.0962733,3
158,-2.6139953,-0.84700215,4
159,-2.290001,-0.66382694,5
160,-2.1316867,-1.6240485,6
161,-2.4291239,-0.06838566,0
162,-2.1665854,-0.8769737,1
163,-2.6367095,-0.35133523,2
164,-2.51939,-1.0243446,3
165,-2.239754,-0.4100221,4
166,-1.9745927,-0.51444787,5
167,-2.7990992,-0.12157464,6
168,-2.735485,0.7216038,0
169,-3.1137645,-1.2792574,1
170,-2.5167212,-1.3471483,2
171,-2.1196308,-0.74133915,3
172,-2.1947577,-1.0357838,4
173,-2.6564453,-0.16889673,5
174,-3.3625085,-0.91734827,6
175,-2.0467057,-1.124763,0
176,-2.7994735,-0.25375575,1
177,-2.448027,-0.9557085,2
178,-2.573704,-0.41437006,3
179,-2.451081,-0.8830031,4
180,-2.8243241,-0.3204441,5
181,-3.0787823,-0.5602645,6
182,-2.8773205,-0.42027986,0
183,-3.0164645,-0.8989254,1
184,-2.8188133,-1.4535629,2
185,-2.6365626,-1.107965,3
186,-2.2781975,-0.7256104,4
187,-2.4783025,-1.635964,5
188,-3.222577,-0.24391055,6
189,-3.4963298,-0.6147554,0
190,-1.7330422,-0.15255082,1
191,-2.9826663,-1.4171968,2
192,-2.3191476,-0.8918797,3
193,-2.4154541,-0.8590497,4
194,-2.5754645,-0.3695431,5
195,-3.191309,-0.93938375,6
196,-2.997183,-1.9060473,0
197,-2.3516855,-0.92270535,1
198,-2.0412614,-0.4290995,2
199,-1.9261307,-1.7123439,3
200,-2.5624177,-0.98270667,4
201,-2.5609243,-0.827505,5
202,-2.9928222,0.1258018,6
203,-2.986156,-0.14099902,0
204,-1.9103808,-0.8669258,1
205,-2.5854936,-0.98546433,2
206,-2.3804085,-0.9907391,3
207,-2.5880427,-1.221665,4
208,-1.378013,-1.0796938,5
209,-2.7310603,-0.9977274,6
210,-2.2287745,-0.29619026,0
211,-2.891342,-0.874358,1
212,-1.972576,-0.4620179,2
213,-2.421643,-0.73461336,3
214,-2.3487191,-0.5423465,4
215,-2.797368,-0.75392616,5
216,-2.8470895,-0.7762846,6
217,-2.6865056,-1.4840794,0
218,-2.961884,-0.48233506,1
219,-1.7647927,-0.7326664,2
220,-3.1004014,-0.72919685,3
221,-2.534118,-0.90373176,4
222,-2.8099258,-1.2050089,5
223,-2.7981327,-0.49771714,6
224,-3.0427325,-0.8431432,0
225,-1.9944539,-0.34622425,1
226,-1.9356835,-0.7059284,2
227,-2.1798484,-1.2848681,3
228,-2.4157143,-0.8805236,4
229,-2.6814516,-0.69374526,5
230,-2.4025936,-1.9032894,6
231,-2.1872559,-1.1351055,0
232,-2.1161838,-0.6196987,1
233,-2.6013315,-0.5686343,2
234,-2.059759,-2.2688751,3
235,-2.4355102,-1.1987689,4
236,-2.680669,-0.36591667,5
237,-2.3044045,-0.5650729,6
238,-2.5206423,-1.7716529,0
239,-2.227919,-1.292376,1
240,-1.7226775,-0.8712584,2
241,-2.966882,-1.1369382,3
242,-2.17709,-0.87679595,4
243,-2.6710482,-1.1488954,5
244,-2.6960099,-0.95537925,6
245,-2.9639745,-0.16422898,0
246,-2.7805784,-1.1813043,1
247,-3.825838,-1.108608,2
248,-2.539977,-0.7519883,3
249,-2.784506,-1.1941237,4
250,-2.6218004,-0.35538742,5
251,-2.4807143,-0.7773874,6
252,-3.6048827,-0.6485864,0
253,-2.7079153,-1.2410038,1
254,-1.5626749,-1.0225952,2
255,-2.3140256,0.7178856,3
256,-2.7798626,-0.95314497,4
257,-3.0028434,-0.57738143,5
258,-2.7430701,-1.4167564,6
259,-2.7888138,-0.6633619,0
260,-2.9225862,-1.3998748,1
261,-2.7541502,-0.9530517,2
262,-2.4406724,-0.8922098,3
263,-2.395199,-0.57721734,4
264,-2.2153609,-0.48516586,5
265,-1.4362537,-2.2847972,6
266,-2.2709916,-1.4050214,0
267,-2.6118226,-0.35759285,1
268,-3.875419,-0.8535842,2
269,-2.5634866,-0.4347157,3
270,-2.176059,-0.9513793,4
271,-2.3950315,-0.9784887,5
272,-2.2372673,-1.62111,6
273,-2.6396427,-1.0152148,0
274,-2.4018092,-0.56686336,1
275,-2.7673788,-1.0148029,2
276,-2.4153872,-1.480169,3
277,-2.562209,-0.8207533,4
278,-2.2849486,-0.84060484,5
279,-3.0936275,-0.3475616,6
280,-3.1756828,-0.4974538,0
281,-2.7409148,-1.173569,1
282,-1.9359503,-0.41180295,2
283,-2.150968,-1.263231,3
284,-2.1380515,-0.68284756,4
285,-3.0344763,-0.21553144,5
286,-3.1510406,-1.0340793,6
287,-3.3682733,-0.4798092,0
288,-2.8828645,-1.2735267,1
289,-2.5803306,-1.1147923,2
290,-2.315791,-1.0980223,3
291,-2.526501,-0.6617263,4
292,-3.6595387,0.045003355,5
293,-2.9662566,-0.06258714,6
294,-2.718681,-1.2614688,0
295,-2.6966105,-0.42844954,1
296,-2.9409723,-0.6500423,2
297,-3.698511,-0.14146161,3
298,-2.0323448,-0.4730569,4
299,-2.601375,-0.9677588,5
300,-2.5578866,-0.9092598,6
301,-2.7229705,-0.76569694,0
302,-3.1460748,-1.0656304,1
303,-2.526212,-1.0774416,2
304,-3.070593,-1.3620973,3
305,-2.7274342,-1.1284567,4
306,-3.2283354,-0.8307551,5
307,-2.3387372,-0.81539965,6
308,-3.0391958,-1.142082,0
309,-2.848105,-1.3448229,1
310,-3.1632738,-0.30343562,2
311,-2.2293508,-1.9032812,3
312,-2.362591,-1.0769475,4
313,-1.662719,-0.6753059,5
314,-2.923656,-1.6002499,6
315,-2.9644177,-0.5014472,0
316,-3.1850135,-1.0976276,1
317,-3.2340624,-1.0417365,2
318,-2.5009975,-1.7721139,3
319,-2.0823421,-0.47603726,4
320,-1.6135576,-0.8491182,5
321,-2.418699,-1.4556445,6
322,-2.0819788,-1.0838202,0
323,-2.945095,-0.684645,1
324,-3.390188,-0.72541255,2
325,-3.4006345,-0.16899824,3
326,-2.9434505,-1.139445,4
327,-2.6373801,-0.84362054,5
328,-3.0929713,-0.71678597,6
329,-2.471323,-0.047851264,0
330,-2.814975,-1.120149,1
331,-2.5607114,-0.6350721,2
332,-1.7677944,-0.7280254,3
333,-2.5720127,-0.9142584,4
334,-2.6552658,-1.2818394,5
335,-2.1533008,-1.3034298,6
336,-3.5623085,-0.71752226,0
337,-2.0120115,-0.66833884,1
338,-1.908104,0.017841518,2
339,-2.448008,-1.0769857,3
340,-2.241592,-0.5520257,4
341,-2.1921108,-0.9641579,5
342,-3.1077917,-0.6853308,6
343,-3.228814,-1.3156643,0
344,-3.2624905,-0.4763604,1
345,-2.3841958,-1.0911657,2
346,-2.8559988,0.13455677,3
347,-2.3268616,-0.98329693,4
348,-2.5236964,-0.56362534,5
349,-2.3352978,-1.205941,6
350,-2.685144,-0.6766227,0
351,-2.8365345,-0.583658,1
352,-2.4776492,-0.60884345,2
353,-2.9430714,-0.6155292,3
354,-2.3301668,-1.0635377,4
355,-2.06704,-0.7870345,5
356,-2.9017859,-1.1089046,6
357,-2.7403738,-1.5361032,0
358,-2.932581,-1.3934283,1
359,-2.7263,-1.3312838,2
360,-2.730241,-1.014947,3
361,-2.391321,-0.6896567,4
362,-2.0048463,-0.988845,5
363,-2.7618692,-0.5562026,6
364,-2.3149018,-0.9461451,0
365,-2.881866,-1.139844,1
366,-2.9450245,-1.0947458,2
367,-2.7212374,-1.152958,3
368,-2.8230321,-0.98145384,4
369,-2.9579353,-0.3165273,5
370,-3.699741,-0.03796494,6
371,-2.2250657,-0.8231371,0
372,-2.0878718,-0.8947535,1
373,-2.6805284,-0.6183242,2
374,-2.477167,-1.3545468,3
375,-3.1951723,-1.0226212,4
376,-2.830053,-0.39471945,5
377,-2.4337935,-0.39620256,6
378,-2.5881305,-1.5309194,0
379,-2.5530167,-1.2183535,1
380,-2.6370494,-0.9676255,2
381,-2.7414272,-0.6904067,3
382,-2.3708465,-1.0649018,4
383,-2.1450896,-1.2333379,5
384,-2.0199604,-1.2422851,6
385,-2.719929,-0.5101892,0
386,-2.8908448,-0.5579559,1
387,-2.5906827,0.2121281,2
388,-2.0394962,-1.4855475,3
389,-2.5954356,-0.74753356,4
390,-2.2094839,-0.38403955,5
391,-2.293332,-0.6965945,6
392,-2.4492176,-0.54317594,0
393,-2.4197552,-1.0095531,1
394,-2.6119206,-0.762506,2
395,-2.7726874,-0.15447402,3
396,-2.4827654,-0.8185193,4
397,-2.3521283,-0.5742925,5
398,-1.6092691,-1.318019,6
399,-2.1172836,-1.216554,0
400,-1.8814439,-0.29747045,1
401,-3.176929,-0.7521177,2
402,-2.4710243,-1.3994198,3
403,-2.5182793,-1.12565,4
404,-2.224392,-0.45323163,5
405,-2.3539863,-1.0522498,6
406,-3.3830352,-0.31603235,0
407,-2.7199745,-0.46656585,1
408,-1.5631144,-0.25323856,2
409,-2.5835452,-1.1894828,3
410,-2.503159,-1.0648873,4
411,-2.288166,-0.6243732,5
412,-2.341064,-1.862081,6
413,-2.0598245,-0.7577372,0
414,-2.7163565,-1.0345911,1
415,-2.4670718,-1.1777976,2
416,-2.8449986,-1.0934832,3
417,-2.4008112,-0.8528486,4
418,-3.362689,-0.50401676,5
419,-3.3045466,-1.0733806,6
420,-2.6542645,-0.6299519,0
421,-2.5466247,-0.606644,1
422,-3.4485633,-1.0705692,2
423,-2.494507,-1.1962242,3
424,-2.3681486,-0.76891595,4
425,-2.2080045,-0.8290512,5
426,-2.1236653,-2.5398183,6
427,-2.202919,-0.8776212,0
428,-3.1215885,-1.4014311,1
429,-2.1890416,-0.81574214,2
430,-2.5115325,-1.7026329,3
431,-2.032969,-0.6519939,4
432,-2.4084754,-0.86126554,5
433,-2.4295135,-0.8147534,6
434,-2.948146,-1.6651572,0
435,-2.484758,-0.84834033,1
436,-1.9400845,-0.06652486,2
437,-2.627399,-1.1776986,3
438,-2.5869732,-1.4424273,4
439,-2.1127942,-0.72725856,5
440,-2.261827,-1.8062203,6
441,-3.3338032,-0.46845332,0
442,-2.437231,-0.79425997,1
443,-3.0352104,-1.1603129,2
444,-2.6325588,0.25343704,3
445,-2.564282,-1.0598304,4
446,-2.7640126,0.36151242,5
447,-2.1969585,-2.1874356,6
448,-2.9904065,-0.73842615,0
449,-2.5838487,-0.655252,1
450,-3.4756875,-1.0590432,2
451,-2.748447,-0.7969161,3
452,-2.4464707,-1.1149595,4
453,-3.0266798,-0.4479294,5
454,-3.3114228,-0.8840966,6
455,-1.9338999,-1.0895071,0
456,-2.1474216,-0.7849465,1
457,-2.6192286,-1.0188503,2
458,-2.7252548,-0.8535806,3
459,-2.0064769,-0.54648876,4
460,-3.513996,-0.37033594,5
461,-2.0577252,-1.9802479,6
462,-2.7352,-0.7336613,0
463,-3.0534472,-0.3474782,1
464,-2.1422849,-1.01428,2
465,-2.3577595,-0.9319972,3
466,-2.820461,-0.9570369,4
467,-3.0193615,-0.5102453,5
468,-2.60196,-0.9983964,6
469,-2.979926,-1.1177162,0
470,-2.2303517,-1.0298402,1
471,-2.1344762,-0.96720064,2
472,-2.4652512,-1.6734033,3
