,dec temp,habitual tendency,subject
0,6.2002964,3.0559447,0
1,4.916534,4.275791,1
2,3.2291005,3.2544956,2
3,2.5288846,5.486106,3
4,4.978662,3.5155458,4
5,7.0191164,5.5096254,5
6,7.773821,3.0883107,6
7,3.5114465,2.8788,0
8,2.5217698,5.789473,1
9,9.133359,3.292135,2
10,2.2907608,2.3447623,3
11,7.9695816,5.6970186,4
12,9.734666,4.489079,5
13,2.375833,5.2398496,6
14,1.4857191,5.560989,0
15,6.323795,3.6065435,1
16,4.3927407,4.9333453,2
17,1.6681337,2.5078359,3
18,2.4482439,1.619749,4
19,0.45909762,4.801943,5
20,6.9217806,4.220051,6
21,2.162187,2.4396336,0
22,6.5923424,2.922622,1
23,2.5786903,4.3305964,2
24,6.9754977,7.563718,3
25,5.544157,0.40921217,4
26,5.1380353,4.0184917,5
27,3.6013973,2.795292,6
28,4.139127,4.168496,0
29,4.3547864,2.6225388,1
30,7.490726,3.5691385,2
31,3.6723595,8.1235,3
32,6.018461,0.21030718,4
33,5.3900723,1.523561,5
34,0.6078293,4.199531,6
35,8.1958475,6.047644,0
36,3.2871354,4.030139,1
37,2.3062894,6.5721345,2
38,4.686345,4.21794,3
39,7.099099,2.1306493,4
40,8.986906,8.710129,5
41,2.9343162,3.485055,6
42,8.99222,0.44635716,0
43,4.284852,3.2572377,1
44,8.920843,4.243505,2
45,5.358279,7.695424,3
46,2.3350964,4.074137,4
47,0.5648211,7.8364487,5
48,0.5294994,5.4017825,6
49,8.407125,3.1467488,0
50,7.446413,4.12483,1
51,5.5776353,3.1261218,2
52,9.299549,5.779999,3
53,3.7395334,1.8805779,4
54,3.9684126,7.5647793,5
55,4.0959177,5.4545794,6
56,9.666472,1.5223526,0
57,3.480291,3.2648668,1
58,7.6350155,2.157512,2
59,0.9977181,2.422655,3
60,2.3319464,7.477892,4
61,2.0910606,1.8924053,5
62,1.237773,3.5831645,6
63,3.1556706,3.7803545,0
64,1.0255469,8.218537,1
65,2.432695,3.6043499,2
66,2.5156662,4.8967752,3
67,4.5249248,4.694292,4
68,7.7125955,4.311775,5
69,5.358217,3.9636495,6
70,2.179396,5.3952436,0
71,4.935667,1.950289,1
72,3.6998794,3.7708597,2
73,7.753824,2.2930493,3
74,3.1336272,4.750554,4
75,8.011747,2.479385,5
76,7.5432415,2.5890338,6
77,2.850815,5.105371,0
78,2.591232,5.296094,1
79,2.2607777,5.987755,2
80,8.332972,7.026031,3
81,3.6366282,5.7326593,4
82,8.48827,1.8972335,5
83,6.7163897,2.6513517,6
84,0.44799936,5.458585,0
85,2.5021973,6.2101,1
86,3.18432,5.759267,2
87,1.252517,4.8309107,3
88,7.2143803,1.7945986,4
89,0.56344503,6.027474,5
90,5.5288415,3.5183544,6
91,1.1538999,4.1340127,0
92,4.798537,2.5600324,1
93,7.6682854,2.1471508,2
94,8.891458,4.511238,3
95,6.2802672,4.6568117,4
96,0.58489555,8.568711,5
97,6.762409,5.3829374,6
98,0.64727986,2.1433887,0
99,7.9141617,2.1046848,1
100,8.263515,2.1836476,2
101,2.6038127,6.244091,3
102,2.630336,6.93188,4
103,8.629333,2.9775968,5
104,3.7707376,1.5793682,6
105,5.344787,3.119156,0
106,3.3260293,2.648684,1
107,8.717646,4.510407,2
108,5.4750896,6.1916213,3
109,3.7594864,2.0219502,4
110,5.417442,4.9951673,5
111,6.7080064,5.0247717,6
112,5.6540914,1.3195707,0
113,6.743926,2.6257312,1
114,2.4787853,5.4615836,2
115,4.651938,3.2947824,3
116,4.2940803,4.4983115,4
117,3.7262897,4.4236903,5
118,7.5836935,2.6226091,6
119,1.8518513,2.7728856,0
120,2.9010787,4.139369,1
121,0.9842305,7.5986834,2
122,2.2657797,2.7366228,3
123,4.5528994,4.292793,4
124,5.8244543,6.3705106,5
125,0.5175129,2.7481315,6
126,8.65769,5.9655766,0
127,5.714202,7.0582066,1
128,2.0295892,1.6344918,2
129,1.066662,1.5364387,3
130,2.2275784,1.9262134,4
131,7.1965623,4.170636,5
132,1.6926075,7.3015223,6
133,9.285282,0.6744828,0
134,1.2154567,3.231031,1
135,7.7394876,3.7823296,2
136,5.8490343,2.4638548,3
137,7.120981,1.4131172,4
138,2.334782,2.843112,5
139,5.835334,1.5335157,6
140,2.5487735,2.6364315,0
141,5.133095,5.1149774,1
142,3.23856,5.2115183,2
143,4.1455703,4.3378897,3
144,3.3028884,8.121572,4
145,6.7958965,2.2927518,5
146,4.3370757,7.4918156,6
147,2.3832881,3.191833,0
148,2.2045221,4.305847,1
149,3.5879633,4.3250723,2
150,1.4218551,3.0119038,3
151,2.699958,6.369576,4
152,1.7149847,4.5545073,5
153,5.0606127,5.8754687,6
154,8.213036,0.7343304,0
155,2.3911457,3.1977143,1
156,7.9826636,1.9379776,2
157,1.8857032,7.0928674,3
158,2.588228,4.95026,4
159,3.8005736,3.2223582,5
160,1.5699948,4.91211,6
161,4.035486,1.5284405,0
162,2.8695383,0.94189537,1
163,3.992982,3.693797,2
164,0.12919518,3.1001177,3
165,3.6478796,7.4837847,4
166,8.788379,2.07947,5
167,5.0574355,3.6686707,6
168,6.546307,3.5210123,0
169,1.3529516,5.1231804,1
170,2.0887601,3.8171473,2
171,2.0151513,5.1265316,3
172,1.6725497,1.1390325,4
173,2.9269357,4.927587,5
174,3.565486,4.8602214,6
175,8.867542,2.6658325,0
176,3.5597787,3.8519418,1
177,5.7916446,4.910043,2
178,1.1438456,6.2182093,3
179,4.834107,4.8512344,4
180,3.1787016,3.3304138,5
181,8.00788,4.8071985,6
182,1.968364,1.7952459,0
183,0.38274896,5.0849204,1
184,5.557632,2.1123693,2
185,6.5673094,7.3212,3
186,5.0393534,2.2237256,4
187,4.8930583,5.283094,5
188,1.7456927,4.299551,6
189,3.4633722,0.84087276,0
190,0.76248384,4.870665,1
191,6.2091017,2.8685675,2
192,6.502278,3.3881543,3
193,4.050387,2.9988477,4
194,3.144624,6.480983,5
195,0.5255839,5.850704,6
196,2.7335043,1.3078703,0
197,5.790815,4.113421,1
198,3.4321191,6.7796273,2
199,0.39163306,6.287898,3
200,4.6565437,1.4346664,4
201,3.7090287,2.8307548,5
202,1.6597689,2.9298642,6
203,3.0798707,2.1997027,0
204,4.7518854,3.4276032,1
205,1.6655813,4.7355986,2
206,6.2917776,6.3311214,3
207,4.9265556,2.9134574,4
208,1.7777789,5.1794477,5
209,2.7561212,5.2009087,6
210,2.0427341,3.674407,0
211,3.3223758,4.464504,1
212,5.9542875,3.5308032,2
213,2.4948826,4.173442,3
214,7.9709044,7.215987,4
215,7.4054794,1.6260659,5
216,4.836859,2.2990122,6
217,0.6337577,8.948514,0
218,1.3609581,6.533866,1
219,5.4539447,3.321686,2
220,4.403568,3.4825392,3
221,5.2544713,2.1461396,4
222,4.974667,5.695014,5
223,1.6593325,1.3036385,6
224,0.9881141,3.7859657,0
225,5.8229837,2.5457094,1
226,3.758705,3.7048242,2
227,0.7330699,1.9677,3
228,3.5716832,1.061951,4
229,1.6119704,1.7940186,5
230,2.976545,5.8988256,6
231,1.5702401,6.389883,0
232,5.6992197,4.7419767,1
233,4.001346,3.357727,2
234,2.2114937,4.2725716,3
235,3.899627,1.0017474,4
236,4.438602,8.53263,5
237,3.4991293,3.2436776,6
