,dec temp,habitual tendency,subject
0,2.4542198,4.819085,0
1,1.6173499,3.121789,1
2,1.5003003,2.8241687,2
3,2.690039,4.5091424,3
4,4.6080627,2.860588,4
5,2.5939772,0.8985185,5
6,8.230694,6.5081983,6
7,4.1039586,7.189572,0
8,1.9674385,2.8338628,1
9,1.8296392,3.4920359,2
10,2.4158444,2.4843698,3
11,1.061566,2.5049253,4
12,4.969366,3.3948836,5
13,1.3904235,3.482146,6
14,2.7392392,7.3835707,0
15,0.9583693,4.857138,1
16,2.7677555,2.7711296,2
17,5.110493,3.443911,3
18,2.9425588,2.8552735,4
19,9.48691,5.325852,5
20,4.209071,3.6048331,6
21,2.1972485,7.3157926,0
22,1.5195072,3.0245087,1
23,2.4823477,4.88448,2
24,2.6847374,4.0096655,3
25,3.085661,4.2536793,4
26,1.668011,2.3012464,5
27,1.0511265,5.416852,6
28,2.5001702,6.564556,0
29,0.2984461,3.54066,1
30,0.9986888,3.6872454,2
31,0.9827817,4.210635,3
32,6.6705823,1.9284456,4
33,0.7442241,2.499932,5
34,2.8969586,4.2304654,6
35,2.3105545,4.991028,0
36,1.9407475,4.3447685,1
37,2.0106933,2.2350674,2
38,1.2742422,5.144975,3
39,5.399458,4.3446927,4
40,2.5940518,2.3538175,5
41,3.943027,3.772237,6
42,1.4451498,4.6295037,0
43,2.997262,3.501724,1
44,2.597926,2.7095156,2
45,4.141504,1.8586936,3
46,0.42624894,2.0858376,4
47,0.46940327,1.9956594,5
48,2.3318026,4.0221868,6
49,1.424787,7.156,0
50,0.60264313,3.1410444,1
51,2.0610523,4.00116,2
52,3.341457,4.4178114,3
53,4.196672,1.5414441,4
54,3.7705593,6.323806,5
55,0.57647353,3.5478587,6
56,2.8782108,6.8151026,0
57,2.3166754,2.3915193,1
58,2.3172307,3.1028466,2
59,1.3663566,5.3335886,3
60,3.5015883,1.3519442,4
61,1.9146049,4.084799,5
62,2.1247232,4.1949544,6
63,2.8082395,7.7993064,0
64,3.2992136,2.1144593,1
65,1.9683665,2.1979837,2
66,3.5860908,2.6159022,3
67,1.0764567,2.1072762,4
68,1.685587,1.3258755,5
69,6.4103703,5.70483,6
70,1.9462898,8.21686,0
71,1.2008867,2.719122,1
72,1.7516875,3.6309555,2
73,2.9315507,4.748549,3
74,0.7009113,1.7118026,4
75,1.6214013,5.682924,5
76,3.0985355,6.202831,6
77,1.7104183,4.620338,0
78,2.2990646,4.803627,1
79,0.875771,3.2230213,2
80,5.014568,3.1399317,3
81,1.3924813,1.9369693,4
82,2.5470905,2.537552,5
83,2.8458574,7.640704,6
84,1.9500699,3.6899283,0
85,1.1999115,4.507826,1
86,1.7488061,2.5041506,2
87,3.701633,3.9921522,3
88,0.30667368,1.4847528,4
89,1.0700284,4.395292,5
90,1.2056742,4.3750124,6
91,2.9966645,7.6346416,0
92,2.920568,4.0548773,1
93,2.682448,1.9182041,2
94,1.0255979,4.0664964,3
95,0.75989723,2.3452578,4
96,3.9512334,3.399509,5
97,7.486834,6.7003,6
98,1.9275248,6.7370796,0
99,3.4549344,3.7630925,1
100,1.9074061,3.1419013,2
101,2.8230243,2.5813673,3
102,0.57094383,1.8680582,4
103,0.7280349,1.645204,5
104,0.45028204,3.876862,6
105,2.2575562,6.674235,0
106,1.7211324,2.660524,1
107,2.9252024,1.8000481,2
108,2.0577555,5.8243103,3
109,0.74237156,0.7869083,4
110,3.0944753,5.2597075,5
111,6.4534497,6.3671203,6
112,2.8244565,5.218813,0
113,1.4768945,1.8986003,1
114,1.1358343,3.2725778,2
115,0.85119116,2.617974,3
116,1.3017685,2.2535512,4
117,2.6335278,6.2852583,5
118,0.86852217,1.6316634,6
119,1.5610204,2.708483,0
120,1.3231515,2.7531767,1
121,1.7706944,3.7101853,2
122,4.273654,6.3631716,3
123,0.48063588,2.7360497,4
124,1.708066,3.6680768,5
125,3.4781642,3.272687,6
126,1.8837631,5.346328,0
127,0.48498994,3.9944763,1
128,1.3326972,2.1926756,2
129,2.6174948,1.5460496,3
130,3.0030515,2.1077774,4
131,0.50348824,2.464839,5
132,1.874583,6.322097,6
133,1.1486055,5.7980194,0
134,0.44269237,4.94428,1
135,2.8379395,2.5911112,2
136,4.4530644,3.1303635,3
137,1.9819068,2.5672195,4
138,1.2031235,0.8830557,5
139,1.7632453,3.5956616,6
140,2.0129538,6.760662,0
141,1.1947467,3.2125196,1
142,1.8365623,2.693234,2
143,1.9697553,5.9814253,3
144,0.98563486,1.0615484,4
145,0.2709584,1.0666026,5
146,5.006301,5.4972076,6
147,1.9649612,1.8732545,0
148,1.5506094,4.3108373,1
149,1.316119,2.5731924,2
150,2.242424,4.258689,3
151,3.5162482,2.8917894,4
152,0.8715993,4.99745,5
153,0.8049594,2.0505536,6
154,2.3743052,3.8766778,0
155,2.7964678,3.891827,1
156,1.3017546,3.334321,2
157,1.0364218,4.538219,3
158,3.3857708,0.91782796,4
159,2.1753745,2.5163026,5
160,4.3177886,5.6578403,6
161,2.7224472,6.1654434,0
162,1.378869,2.178978,1
163,2.8344073,3.4886372,2
164,1.5714365,4.154722,3
165,6.1024194,2.1803522,4
166,1.5460126,4.3829637,5
167,0.10446766,4.220359,6
168,1.3450153,4.721379,0
169,2.464843,2.8105264,1
170,1.42195,3.1637697,2
171,1.666326,5.387615,3
172,7.058063,2.018103,4
173,2.2873383,3.992685,5
174,4.4025364,5.4541283,6
175,1.8504045,5.6402783,0
176,1.1683586,2.3657198,1
177,1.817563,3.4031699,2
178,1.4783609,4.3678184,3
179,1.4939895,1.6290774,4
180,1.0554025,3.991704,5
181,1.3374709,2.9066327,6
182,1.7764475,7.142503,0
183,0.9354267,3.6564827,1
184,2.1451268,1.9535137,2
185,5.3750505,4.3301067,3
186,2.740468,3.084711,4
187,2.9212787,4.9461565,5
188,7.2975283,6.524332,6
189,1.7815377,4.085291,0
190,3.5262237,5.6472588,1
191,0.7822002,3.9260027,2
192,1.9862926,2.3375497,3
193,1.2201444,4.801911,4
194,8.288154,7.903469,5
195,0.6504291,5.7513075,6
196,2.241719,6.682834,0
197,0.41112038,3.4256868,1
198,2.7131877,3.3237472,2
199,1.1813723,2.4082613,3
200,3.0285335,1.4861852,4
201,8.402515,3.9530807,5
202,8.151812,5.491245,6
203,2.2194996,6.964734,0
204,1.153834,4.413858,1
205,2.8315458,3.2643225,2
206,1.1372504,3.1582427,3
207,2.9274013,4.827039,4
208,3.7449644,5.4569726,5
209,4.172809,3.2508073,6
210,1.0559161,4.158307,0
211,4.632086,3.8386345,1
212,1.7200416,2.9456015,2
213,7.699714,3.511086,3
214,3.192155,1.1808281,4
215,7.1436543,1.4729929,5
216,0.46528012,1.3255222,6
217,3.288148,7.0325775,0
218,1.537271,2.782581,1
219,1.9690241,3.3375576,2
220,1.7573447,6.317993,3
221,1.315862,0.9828397,4
222,0.47414392,2.5191903,5
223,1.3615937,2.428713,6
224,1.6091717,2.019033,0
225,1.5027144,4.4165454,1
226,3.1626778,2.177334,2
227,4.9448705,2.4994044,3
228,4.247396,2.4711392,4
229,2.610234,2.2652528,5
230,0.15382421,0.86481035,6
231,2.0537057,3.3390248,0
232,1.6167039,2.0362923,1
233,1.9264425,3.1419973,2
234,5.666408,3.5939093,3
235,3.7116046,3.4636216,4
236,5.606966,2.2473848,5
237,2.11354,2.08513,6
238,1.8993527,2.8272936,0
239,1.2347375,3.374473,1
240,2.3843737,3.5462003,2
241,4.4502773,4.9953456,3
242,3.6521611,1.5037162,4
243,1.4288765,5.502374,5
244,1.517781,5.0068426,6
245,1.6200817,2.3869958,0
246,1.6195364,3.6068163,1
247,1.3735597,2.6658092,2
248,3.3393507,4.020824,3
