,locs0,locs1,subject
0,-1.7927055,-0.45837945,0
1,-2.1367304,-0.5012733,1
2,-1.9326333,-0.74820656,2
3,-2.0915074,-1.1392483,3
4,-3.3500888,-1.3060718,4
5,-3.288778,-0.5935454,5
6,-2.2831175,0.7153852,6
7,-1.8441279,0.48102513,0
8,-1.6496515,-0.5785371,1
9,-2.7463744,-1.2681906,2
10,-2.567834,-1.0437903,3
11,-2.0881696,-1.6075351,4
12,-2.6843991,-0.7732941,5
13,-3.6011608,-1.7813092,6
14,-2.1956265,-1.0797254,0
15,-1.937278,-0.81590325,1
16,-2.7088566,-0.9366183,2
17,-3.0694058,-0.7024198,3
18,-3.1825647,-0.35602188,4
19,-2.7595196,-1.8248167,5
20,-3.1867285,-1.6810968,6
21,-2.3949876,-0.87707627,0
22,-2.976548,-1.1881026,1
23,-2.6755052,-1.2789838,2
24,-2.145422,-0.990316,3
25,-2.449481,-0.7898271,4
26,-2.8090851,-1.2179735,5
27,-3.5390353,-1.1362797,6
28,-2.247209,-0.5548448,0
29,-2.3123376,-0.45824152,1
30,-2.2384188,-1.0028098,2
31,-2.2901819,-0.69445324,3
32,-2.6744423,-2.3327847,4
33,-2.812572,-2.114121,5
34,-3.344768,-1.7011781,6
35,-2.307138,-1.1552255,0
36,-2.6583004,-0.44772664,1
37,-1.9315529,-0.7640792,2
38,-2.5994778,-0.51623994,3
39,-2.9110584,-1.4011045,4
40,-2.1681776,-2.6409786,5
41,-3.7491746,-2.2289503,6
42,-1.9458946,0.036801845,0
43,-2.7624974,-1.0204724,1
44,-2.6854482,-1.4131804,2
45,-2.4746563,-1.1866426,3
46,-3.1417544,-0.79019296,4
47,-2.50487,-1.2228847,5
48,-3.9750652,-1.3503706,6
49,-1.8147331,-0.35455158,0
50,-2.0988514,-0.73299545,1
51,-2.5858765,-0.65709347,2
52,-2.05008,-1.5831819,3
53,-3.1054304,-0.24083614,4
54,-3.8113818,-0.44029224,5
55,-3.6311216,-2.2869658,6
56,-2.1063805,-0.40373173,0
57,-2.2275655,-0.6271894,1
58,-2.3860586,-0.7910217,2
59,-2.6671607,-1.4643185,3
60,-2.6560118,-1.6528543,4
61,-2.9268126,-1.0142454,5
62,-2.6476471,-0.5973369,6
63,-2.3039331,-0.29593337,0
64,-2.1674416,-0.52631754,1
65,-2.5712304,-1.0324883,2
66,-2.4666052,-1.1704178,3
67,-2.7530081,-1.6729792,4
68,-3.4891143,-0.5518125,5
69,-2.5302906,-0.47703344,6
70,-1.6517627,-0.06973505,0
71,-1.9880006,-0.96582407,1
72,-2.316688,-1.2364628,2
73,-2.3691564,-1.407682,3
74,-1.9769839,-1.9801205,4
75,-2.7673187,-1.2002474,5
76,-2.4729586,-1.6052873,6
77,-1.8653793,-0.46119696,0
78,-2.6554615,-1.1035693,1
79,-2.1603966,-1.2504283,2
80,-2.8661618,-1.4868915,3
81,-2.110216,-1.8196088,4
82,-2.8609996,-2.020475,5
83,-2.7639406,0.29757237,6
84,-2.5160956,-0.65132666,0
85,-2.6125402,-1.3428621,1
86,-2.4867918,-1.2126994,2
87,-1.7481604,0.3604098,3
88,-3.0131683,-0.4878341,4
89,-2.8722403,-0.68062073,5
90,-2.5410109,0.000151515,6
91,-1.5752008,0.3314046,0
92,-2.2122688,-0.09230363,1
93,-2.1979532,-0.8775368,2
94,-2.0562148,-0.9778466,3
95,-2.0845165,-1.8297799,4
96,-2.5958462,-1.6029013,5
97,-2.6628408,-0.3561474,6
98,-1.8772402,-0.66317976,0
99,-2.9640465,-0.7912842,1
100,-2.4622643,-1.3387228,2
101,-2.1902676,-0.030799687,3
102,-2.586848,-0.5517367,4
103,-2.8017976,-1.0353425,5
104,-3.544444,-0.69352126,6
105,-2.143395,-0.50298,0
106,-2.2957873,-0.8840525,1
107,-2.706374,-1.1173396,2
108,-2.6019647,-1.0292046,3
109,-2.6407213,-1.7206267,4
110,-2.2622828,-1.739626,5
111,-2.3768566,-0.0054545403,6
112,-1.5809957,0.1622177,0
113,-3.0816076,-1.2067928,1
114,-2.2530048,-0.9263763,2
115,-1.9028541,-0.5050896,3
116,-2.22587,-1.642556,4
117,-2.3878217,-1.3580364,5
118,-2.5154173,0.35432363,6
119,-2.1178198,-0.88965726,0
120,-2.5596313,-1.41014,1
121,-2.3338523,-0.62456346,2
122,-2.6930275,-1.3771222,3
123,-2.2441993,-1.9931796,4
124,-2.7665107,-1.301906,5
125,-3.329827,0.0047852993,6
126,-2.1404707,0.365014,0
