,locs0,locs1,subject
0,-0.5580337,1.062876,0
1,-0.82621527,-0.21165514,1
2,0.00080788136,0.11902845,2
3,-1.442214,0.17602503,3
4,-1.5112659,-0.7962711,4
5,-1.5788351,-1.0689843,5
6,1.3102262,1.0612898,6
7,-0.07028723,-0.15507072,7
8,-0.22424778,-0.4611894,8
9,-1.5302703,-1.1986722,9
10,-0.043695867,-1.3223578,0
11,-0.65443337,1.1023228,1
12,0.88615274,-0.20125988,2
13,-0.7970677,0.6472937,3
14,-1.4870111,-1.399605,4
15,0.16359961,-2.342026,5
16,-0.1178903,-0.45449495,6
17,0.7678744,-0.9521205,7
18,0.034929752,-1.5114105,8
19,-1.2432346,-0.72280216,9
20,-0.30125797,-1.3147027,0
21,-0.8278619,1.0737573,1
22,-0.22541264,1.414908,2
23,-0.32650515,-2.6867118,3
24,-1.8555092,-0.64916515,4
25,-0.9659404,-0.7187325,5
26,0.9905015,2.4565516,6
27,0.63701874,-1.8489003,7
28,-0.51997876,0.050434887,8
29,-1.2526977,-1.346546,9
30,-0.54723656,-1.1733347,0
31,-0.73825914,0.53613365,1
32,0.8458934,-1.0304984,2
33,-0.34141517,-0.59276724,3
34,-1.6382568,-0.2355007,4
35,-1.7268546,-0.7566722,5
36,0.09941277,1.0008618,6
37,-0.09292914,0.61507624,7
38,-0.4321245,1.3366334,8
39,-1.7430611,0.16260284,9
40,0.077038765,-1.4275615,0
41,-0.66982484,1.4332812,1
42,1.4786297,-0.5070913,2
43,-0.35302478,-0.6965344,3
44,-1.8550588,0.47138056,4
45,-1.5706197,-0.3241479,5
46,1.0513546,1.3879114,6
47,-0.41532183,-0.87043726,7
48,-1.0288637,0.81988364,8
49,-1.3296376,-0.3641489,9
50,-0.22730258,-1.750102,0
51,-0.47350365,0.6796364,1
52,1.1412878,-0.67899215,2
53,-0.49413988,-0.81569684,3
54,-1.7905425,0.11409393,4
55,0.2575611,-2.1176045,5
56,0.6545906,1.9709197,6
57,-0.709452,1.634779,7
58,-0.4582301,-0.17980313,8
59,-1.1152943,-0.8025545,9
60,-1.0021179,-1.3093433,0
61,-1.0764272,0.85631424,1
62,1.8213851,-0.40244424,2
63,-0.8352859,0.06530249,3
64,-0.8712148,-0.1468173,4
65,-0.6601442,-1.1703547,5
66,0.8842368,2.6340802,6
67,-0.45608884,0.5545822,7
68,-0.43570653,-0.63532096,8
69,-1.2313482,-0.74564606,9
70,-0.8153451,-1.3722789,0
71,-0.41823745,1.9344585,1
72,-0.3923435,-0.27543423,2
73,-1.1984568,-0.9275181,3
74,-1.6143603,0.40382484,4
75,-1.1416943,-1.07939,5
76,1.1002094,0.03540188,6
77,-0.32333156,-0.2198947,7
78,-0.56079304,-1.3348908,8
79,-1.2750891,0.5791457,9
80,-0.55748403,-2.0548263,0
81,-0.3682898,2.1312902,1
82,0.94130397,-1.7759149,2
83,-0.5666674,-0.049333066,3
84,-1.7447988,0.0906878,4
85,-3.1216302,0.13589138,5
86,0.06734553,1.6638654,6
87,-0.4251058,-1.5148915,7
88,0.008249342,-0.49328113,8
89,-0.7519307,-1.3952944,9
90,-0.3139777,-0.6663492,0
91,-0.757117,-0.29506212,1
92,0.27084073,-0.4478365,2
93,-0.83140105,-0.083424,3
94,-1.9548091,0.7072669,4
95,-0.4981879,-1.5891681,5
96,1.0126712,0.006981015,6
97,0.20751187,0.6432877,7
98,-0.35298306,-0.9403916,8
99,-1.3635756,-1.2551132,9
100,-0.6923079,-0.38507366,0
101,-0.028729558,0.28988183,1
102,-0.035003573,-2.4175763,2
103,-0.9434026,-1.6559614,3
104,-1.756455,0.5808568,4
105,-2.2466738,0.08360922,5
106,0.48467532,0.24445105,6
107,-0.18545221,-0.3631423,7
108,-0.2619583,-0.6984498,8
109,-1.2271477,-1.2906506,9
110,-0.08677077,-0.9072323,0
111,-0.6989665,0.44954607,1
112,-0.18219393,1.3505825,2
113,-0.17558098,0.7670231,3
114,-1.8907107,-0.831998,4
115,-3.0866518,-0.94717276,5
116,0.3020645,1.2329766,6
117,-0.18225655,-1.0497727,7
118,-0.23908228,-0.037293047,8
119,-0.9272932,-2.2236714,9
120,-0.6902329,0.18681878,0
121,-1.1860838,0.8248757,1
122,-0.8382082,-0.9994141,2
123,-1.1712111,-0.09666991,3
124,-1.2076277,-1.1025441,4
125,-3.308156,-0.73922014,5
126,2.084014,1.4661659,6
127,-0.41008186,-0.5304288,7
128,-0.9114101,1.0422716,8
129,-0.87953335,0.008725405,9
130,-0.71587455,-1.3238516,0
131,-0.31588325,0.32144958,1
132,-0.24884358,-1.0191222,2
133,-0.8396528,-1.5075624,3
134,-1.6746325,-0.783316,4
135,-1.6938846,-1.5647182,5
136,1.220405,1.6555334,6
137,-1.1702781,0.4626009,7
138,0.14912724,-1.8134708,8
139,-1.7989393,-0.0153512955,9
140,-0.64005315,-0.84757197,0
141,-0.7476696,1.9713097,1
142,0.64662397,-0.085203916,2
143,-0.2853203,0.00026971102,3
144,-1.5064161,1.4797834,4
145,-1.9981352,-0.6705177,5
146,0.2055729,0.19577762,6
147,0.76344955,-1.4624119,7
148,-0.3611364,0.19413215,8
149,-0.6890715,-0.64975315,9
150,-0.6057426,-1.0028245,0
151,-0.942028,0.06994337,1
152,0.06732553,-0.038291574,2
153,-0.76045334,-2.8671818,3
154,-1.9509386,-0.6118614,4
155,-2.1844237,-0.9690748,5
156,0.2619837,-0.29679114,6
157,-0.54231423,-1.192455,7
158,-0.3506829,1.2139881,8
159,-1.2279582,-1.6436038,9
160,-1.2748798,-0.26096368,0
161,-1.3961536,1.0004286,1
162,0.033253938,-1.0777886,2
163,-0.6181328,-1.6187152,3
164,-1.8466399,0.084790945,4
165,-3.1499918,-0.45933592,5
166,1.1221675,1.3857671,6
167,-0.25480285,0.06994456,7
168,-0.9744562,-0.088960975,8
169,-1.4542428,-0.40728903,9
170,-0.098934054,-0.23080605,0
171,-1.0647317,-0.31256908,1
172,-0.30986276,0.768087,2
173,-0.6022011,-0.19974661,3
174,-1.712848,-0.99313986,4
175,-3.2993188,-0.7682332,5
176,-0.7415437,0.83361167,6
177,0.854541,-1.1088228,7
178,-1.0131562,0.07230878,8
179,-1.240732,-1.3839822,9
180,-0.61599594,-1.0691328,0
181,-0.70185524,1.0706906,1
182,0.7195343,-1.116209,2
183,-1.0671518,-0.64537907,3
184,-1.8403219,0.3597732,4
185,0.30492127,-1.4757373,5
186,0.48383397,1.3467853,6
187,-0.53031677,-0.25041443,7
188,-0.72171795,-1.3985233,8
189,-1.3741874,-0.3738667,9
190,-0.42435127,-1.7812738,0
191,-0.4477417,-0.29366797,1
192,1.3208443,1.3428643,2
193,-0.36071903,-0.76985073,3
194,-1.296539,-1.24555,4
195,-2.999552,-0.002184689,5
