,dec temp,habitual tendency,subject
0,0.7684554,0.39743176,0
1,5.0168114,0.5426781,1
2,5.260219,0.6005553,2
3,1.0111852,0.12180592,3
4,1.172679,0.33059278,4
5,3.8914113,0.39840603,5
6,4.401114,0.31792468,6
7,3.58305,0.2658553,7
8,1.1096424,0.72947717,8
9,3.3737648,0.574838,9
10,1.8669822,0.3224327,0
11,5.789861,0.708142,1
12,6.8356204,0.9107067,2
13,1.0755484,0.24783026,3
14,1.6307385,0.42572948,4
15,7.1672544,0.2954397,5
16,6.6697526,0.3830568,6
17,3.4931426,0.68186253,7
18,1.1276902,0.43495977,8
19,2.9294853,0.5827484,9
20,0.6371064,0.74842054,0
21,7.1665087,0.39149642,1
22,4.240836,0.5198511,2
23,1.0719776,0.31267953,3
24,0.8789825,0.6823664,4
25,5.366596,0.25926456,5
26,2.7884355,0.6872918,6
27,0.19388609,0.2815658,7
28,1.7993865,0.28995657,8
29,2.341988,0.5385618,9
30,1.3227247,0.35664296,0
31,7.3328075,0.40143073,1
32,5.7012515,0.7477836,2
33,0.72557795,0.22937743,3
34,2.528459,0.25809848,4
35,6.694558,0.054263722,5
36,4.2224464,0.55241865,6
37,3.1205454,0.8349181,7
38,1.6258998,0.46475157,8
39,3.5551496,0.6704144,9
40,1.2519349,0.3560642,0
41,7.2900934,0.58618855,1
42,3.461361,0.6735141,2
43,0.5252882,0.5320639,3
44,0.8899201,0.7958282,4
45,6.097044,0.30549312,5
46,6.767726,0.15795349,6
47,1.0187433,0.7165753,7
48,1.9218495,0.2535197,8
49,3.1531973,0.79772234,9
50,1.3804798,0.7453515,0
51,5.475468,0.43389383,1
52,4.860734,0.259912,2
53,2.7816567,0.078673534,3
54,1.1936389,0.69439983,4
55,8.049332,0.10855062,5
56,3.4556656,0.44371098,6
57,2.9512646,0.46251976,7
58,1.958481,0.48235106,8
59,3.6909451,0.7137681,9
60,0.76723504,0.7680117,0
61,5.922373,0.50085825,1
62,4.4339623,0.49369925,2
63,0.8523143,0.4996843,3
64,2.051302,0.20899196,4
65,6.427955,0.053272314,5
66,4.5194144,0.47586218,6
67,8.691234,0.76303875,7
68,1.3370973,0.6008121,8
69,2.192158,0.57453674,9
70,1.7355908,0.75246394,0
71,6.9308558,0.34584227,1
72,5.6042624,0.43849924,2
73,1.9289975,0.71185535,3
74,2.1742008,0.35600382,4
75,1.3361787,0.47587648,5
76,5.856303,0.10715083,6
77,9.843726,0.96348655,7
78,0.975504,0.25580752,8
79,2.5965877,0.6123033,9
80,0.9294137,0.6908038,0
81,5.568847,0.74691117,1
82,5.128739,0.6482836,2
83,2.3021336,0.18054807,3
84,2.2108564,0.23256375,4
85,5.3005915,0.5081348,5
86,5.8791327,0.0733958,6
87,0.048669692,0.3821635,7
88,1.6016138,0.31483942,8
89,2.5460348,0.39611462,9
90,1.9581199,0.16232753,0
91,7.5627155,0.5279246,1
92,4.3555226,0.28418988,2
93,1.093101,0.47963303,3
94,1.9576145,0.5466478,4
95,3.561707,0.13717337,5
96,2.6995466,0.89953095,6
97,3.5234354,0.25005946,7
98,1.1190628,0.28605002,8
99,2.0598867,0.6707034,9
100,1.3464557,0.5712701,0
101,6.026083,0.27651238,1
102,2.8638577,0.1874594,2
103,0.7051836,0.6388902,3
104,1.0683535,0.72439677,4
105,5.7848353,0.117087275,5
106,4.9547176,0.33604926,6
107,1.27075,0.061156362,7
108,2.545439,0.17149135,8
109,5.3075724,0.07245071,9
110,0.9034164,0.53459924,0
111,3.6460876,0.4919401,1
112,5.063624,0.73972696,2
113,2.6741605,0.43604556,3
114,0.8929745,0.6576293,4
115,4.02135,0.26737794,5
116,6.227608,0.04799622,6
117,3.7873526,0.6458315,7
118,1.6124358,0.10328032,8
119,3.124819,0.71965015,9
120,1.6833407,0.39646998,0
121,7.1611423,0.6023023,1
122,3.7281024,0.22885281,2
123,0.9199479,0.48563245,3
124,1.9807799,0.41990793,4
125,4.9760647,0.4378787,5
126,3.7502303,0.6781821,6
127,0.4675223,0.5294417,7
128,1.5098588,0.4808141,8
129,5.2620964,0.5578393,9
130,1.8093212,0.027732244,0
131,6.64633,0.49627185,1
132,3.0040405,0.7935901,2
133,1.2841036,0.16590297,3
134,1.9132462,0.08249498,4
135,7.553351,0.50614184,5
136,4.8139067,0.349899,6
137,3.3165874,0.5118846,7
138,1.60024,0.49328196,8
139,3.0654244,0.5429146,9
140,2.160557,0.44234437,0
141,5.3986053,0.23703401,1
142,6.1155787,0.48101836,2
143,1.5049193,0.22306205,3
144,1.1891968,0.6747752,4
145,6.778921,0.34975836,5
146,5.7759438,0.07742639,6
147,0.12051667,0.058971923,7
148,1.5354925,0.1441854,8
149,3.2020364,0.43570104,9
150,1.33169,0.60300297,0
151,7.7329354,0.47287235,1
152,6.0530853,0.2882161,2
153,0.73529726,0.16754863,3
154,2.556326,0.14126946,4
155,6.3438234,0.32214925,5
156,3.59088,0.5116333,6
157,0.1085736,0.13752517,7
158,1.2601659,0.56533265,8
159,3.9669576,0.69836265,9
160,1.8428955,0.25466666,0
161,7.2210417,0.2300908,1
162,2.187002,0.3221661,2
163,2.8069594,0.6329023,3
164,2.0142076,0.62001824,4
165,4.7060924,0.18644899,5
166,5.4886265,0.28950128,6
